"PORT","SP","DATE","SAMPLEID","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB","CAS","COMMENTS"
"Homer",142,2025-05-31,"2 053125 8 8",3,13,"M","52",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 9",3,14,"F","50",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 10",3,15,"","49",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0","Gonads removed"
"Homer",142,2025-05-31,"2 053125 8 11",3,16,"F","54",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 13",3,18,"F","48",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 14",3,19,"M","39",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 15",3,20,"F","48",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 16",3,21,"M","37",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 17",3,22,"F","39",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-05-31,"2 053125 8 18",3,23,"M","39",,,,,,"Charter","SNOW GOOSE II","515903",,2025,5,31,,"Black","Pelagic","0",
"Homer",142,2025-06-06,"2 060625 1 1",4,1,"F","50",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1","Corresponds to interview 30 on 06/06/2025"
"Homer",142,2025-06-06,"2 060625 1 2",4,2,"F","47",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 3",4,3,"M","50",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 4",4,4,"M","44",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 5",4,5,"M","41",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 6",4,6,"M","49",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 7",4,7,"F","59",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 8",4,8,"F","51",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 9",4,9,"M","47",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 10",4,10,"M","45",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 11",4,11,"F","47",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-06,"2 060625 1 12",4,12,"F","51",,,,,,"Charter","ARCTIC ADDICTION","515905",,2025,6,6,,"Black","Pelagic","1",
"Homer",142,2025-06-10,"2 061025 8 1",5,1,"F","47","2.1",,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 8 2",5,2,"M","52",,,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 8 3",5,3,"F","50",,,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 8 4",5,4,"M","51",,,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 8 5",5,5,"F","51",,,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 8 6",5,6,"M","51","2.5",,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 8 7",5,7,"","52","2.5",,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0","Gonads removed"
"Homer",142,2025-06-10,"2 061025 8 8",5,8,"F","48","1.9",,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 8 9",5,9,"F","51",,,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0","one oto"
"Homer",142,2025-06-10,"2 061025 8 10",5,10,"F","51","2.4",,,,,"Private","P8","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 9 1",5,11,"F","43","1.9",,,,,"Private","P9","515935",,2025,6,10,,"Black","Pelagic","0","Spawning"
"Homer",142,2025-06-10,"2 061025 9 2",5,12,"F","48","2",,,,,"Private","P9","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 9 3",5,13,"M","46","2",,,,,"Private","P9","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 9 4",5,14,"F","47","2",,,,,"Private","P9","515935",,2025,6,10,,"Black","Pelagic","0",
"Homer",142,2025-06-10,"2 061025 10 1",5,15,"F","52",,,,,,"Private","P10","515905",,2025,6,10,,"Black","Pelagic","0","EARLY RISER"
"Homer",142,2025-06-10,"2 061025 10 2",5,16,"F","49",,,,,,"Private","P10","515905",,2025,6,10,,"Black","Pelagic","0","EARLY RISER"
"Homer",142,2025-06-10,"2 061025 10 3",5,17,"F","53",,,,,,"Private","P10","515905",,2025,6,10,,"Black","Pelagic","0","EARLY RISER"
"Homer",142,2025-06-10,"2 061025 10 8",5,18,"M","52",,,,,,"Private","P10","515905",,2025,6,10,,"Black","Pelagic","0","EARLY RISER"
"Homer",142,2025-06-10,"2 061025 11 1",5,19,"M","49",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 2",5,20,"F","46",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 3",5,21,"M","53",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 4",5,22,"M","49",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 5",5,23,"F","51",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 6",5,24,"F","48",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 7",5,25,"M","48",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 8",5,26,"M","50",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 9",5,27,"F","48",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 10",5,28,"M","42",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 11",5,29,"M","43",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook"
"Homer",142,2025-06-10,"2 061025 11 12",5,30,"F","46",,,,,,"Charter","LONGSHOT","515906",,2025,6,10,,"Black","Pelagic","0","Deckhand reported stat area, may not match logbook, broken"
"Homer",142,2025-06-12,"2 061225 3 1",6,1,"F","45",,,,,,"Private","P3","515907",,2025,6,12,,"Black","Pelagic","0",
"Homer",142,2025-06-12,"2 061225 3 2",6,2,"F","49",,,,,,"Private","P3","515907",,2025,6,12,,"Black","Pelagic","0",
"Homer",142,2025-06-12,"2 061225 3 3",6,3,"F","49",,,,,,"Private","P3","515907",,2025,6,12,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 5 11",7,1,"M","39",,,,,,"Private","P5","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 5 12",7,2,"F","40",,,,,,"Private","P5","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 5 13",7,3,"F","37","1.25",,,,,"Private","P5","515907",,2025,6,15,,"Black","Pelagic","0","Spawning"
"Homer",142,2025-06-15,"2 061525 5 14",7,4,"F","46","1.75",,,,,"Private","P5","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 5 15",7,5,"F","39","1",,,,,"Private","P5","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 6 7",7,6,"F","49","2.25",,,,,"Private","P6","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 6 8",7,7,"F","49","2.25",,,,,"Private","P6","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 6 9",7,8,"M","48","1.2",,,,,"Private","P6","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 6 10",7,9,"F","48","2.2999999999999998",,,,,"Private","P6","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 6 11",7,10,"F","48","2.1",,,,,"Private","P6","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-15,"2 061525 6 12",7,11,"F","46","1.75",,,,,"Private","P6","515907",,2025,6,15,,"Black","Pelagic","0",
"Homer",142,2025-06-17,"2 061725 4 1",8,1,"F","49",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,17,,"Black","Pelagic","1",
"Homer",142,2025-06-17,"2 061725 4 2",8,2,"M","49",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,17,,"Black","Pelagic","1",
"Homer",142,2025-06-17,"2 061725 4 3",8,3,"F","47",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,17,,"Black","Pelagic","1",
"Homer",142,2025-06-17,"2 061725 4 4",8,4,"F","51",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,17,,"Black","Pelagic","1",
"Homer",142,2025-06-17,"2 061725 4 5",8,5,"F","51",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,17,,"Black","Pelagic","1",
"Homer",142,2025-06-17,"2 061725 4 6",8,6,"F","50",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,17,,"Black","Pelagic","1",
"Homer",142,2025-06-17,"2 061725 4 7",8,7,"F","45",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,17,,"Black","Pelagic","1",
"Homer",142,2025-06-20,"2 062025 5 10",9,1,"M","48","2.5",,,,,"Private","P5","525901",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 5 11",9,2,"F","51","2.25",,,,,"Private","P5","525901",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 5 12",9,3,"F","50","2.5",,,,,"Private","P5","525901",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 5 13",9,4,"F","49","2.25",,,,,"Private","P5","525901",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 5 14",9,5,"M","43","0.75",,,,,"Private","P5","525901",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 1",9,6,"F","50",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 2",9,7,"M","47",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 3",9,8,"M","48",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 4",9,9,"F","52",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 5",9,10,"M","46",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 6",9,11,"F","46",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 7",9,12,"M","52",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 8",9,13,"M","54",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 9",9,14,"M","56",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 10",9,15,"M","51",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 11",9,16,"F","51",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 12",9,17,"","44",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0","Gonads removed"
"Homer",142,2025-06-20,"2 062025 7 13",9,18,"F","48",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 14",9,19,"F","40",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 15",9,20,"M","49",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 16",9,21,"F","48",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 17",9,22,"M","58",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 18",9,23,"F","40",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 19",9,24,"M","39",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 20",9,25,"F","49",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 21",9,26,"M","49",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-20,"2 062025 7 22",9,27,"M","50",,,,,,"Charter","CURRENT LADY","515903",,2025,6,20,,"Black","Pelagic","0",
"Homer",142,2025-06-24,"2 062425 3 1",10,1,"F","48",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 3 2",10,2,"F","50",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 3 3",10,3,"F","50",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 3 4",10,4,"M","51",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 3 5",10,5,"M","47",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 3 6",10,6,"F","52",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 3 7",10,7,"F","48",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 3 8",10,8,"F","48",,,,,,"Charter","ARCTIC ADDICTION","515907",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 5 1",10,9,"M","56",,,,,,"Charter","STELLA","515905",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 5 2",10,10,"M","49",,,,,,"Charter","STELLA","515905",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 5 3",10,11,"M","48",,,,,,"Charter","STELLA","515905",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 5 4",10,12,"F","51",,,,,,"Charter","STELLA","515905",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 5 5",10,13,"M","47",,,,,,"Charter","STELLA","515905",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-24,"2 062425 5 6",10,14,"F","52",,,,,,"Charter","STELLA","515905",,2025,6,24,,"Black","Pelagic","1",
"Homer",142,2025-06-25,"2 062525 4 1",11,1,"","52",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0","Gonads removed, 1 broken oto"
"Homer",142,2025-06-25,"2 062525 4 2",11,2,"F","51",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 3",11,3,"F","44",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 4",11,4,"","42",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0","Gonads removed"
"Homer",142,2025-06-25,"2 062525 4 5",11,5,"F","54",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0","broken otos"
"Homer",142,2025-06-25,"2 062525 4 6",11,6,"F","53",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 7",11,7,"M","42",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 8",11,8,"F","50",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 9",11,9,"M","51",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 10",11,10,"F","47",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 11",11,11,"M","45",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0",
"Homer",142,2025-06-25,"2 062525 4 12",11,12,"","48",,,,,,"Charter","EARLY RISER","515903",,2025,6,25,,"Black","Pelagic","0","Gonads removed"
"Homer",142,2025-06-25,"2 062525 7 1",11,13,"M","35",,,,,,"Charter","ENDURANCE","515907",,2025,6,25,,"Black","Pelagic","1",
"Homer",142,2025-06-25,"2 062525 7 2",11,14,"M","38",,,,,,"Charter","ENDURANCE","515907",,2025,6,25,,"Black","Pelagic","1",
"Homer",142,2025-06-25,"2 062525 7 3",11,15,"F","42",,,,,,"Charter","ENDURANCE","515907",,2025,6,25,,"Black","Pelagic","1",
"Homer",142,2025-06-26,"2 062625 1 7",12,1,"F","38",,,,,,"Charter","WEST WIND","525902",,2025,6,26,,"Black","Pelagic","1",
"Homer",142,2025-06-26,"2 062625 1 8",12,2,"","36",,,,,,"Charter","WEST WIND","525902",,2025,6,26,,"Black","Pelagic","1","Gonads removed"
"Homer",142,2025-06-26,"2 062625 1 9",12,3,"M","34",,,,,,"Charter","WEST WIND","525902",,2025,6,26,,"Black","Pelagic","1",
"Homer",142,2025-06-26,"2 062625 1 10",12,4,"F","36",,,,,,"Charter","WEST WIND","525902",,2025,6,26,,"Black","Pelagic","1",
"Homer",142,2025-07-04,"2 070425 8 1",13,1,"F","50",,,,,,"Charter","MAJESTIC","515903",,2025,7,4,,"Black","Pelagic","1",
"Homer",142,2025-07-04,"2 070425 8 2",13,2,"F","45",,,,,,"Charter","MAJESTIC","515903",,2025,7,4,,"Black","Pelagic","1",
"Homer",142,2025-07-04,"2 070425 8 3",13,3,"M","44",,,,,,"Charter","MAJESTIC","515903",,2025,7,4,,"Black","Pelagic","1",
"Homer",142,2025-07-04,"2 070425 8 4",13,4,"M","45",,,,,,"Charter","MAJESTIC","515903",,2025,7,4,,"Black","Pelagic","1",
"Homer",142,2025-07-04,"2 070425 8 5",13,5,"M","46",,,,,,"Charter","MAJESTIC","515903",,2025,7,4,,"Black","Pelagic","1",
"Homer",142,2025-07-04,"2 070425 8 6",13,6,"F","45",,,,,,"Charter","MAJESTIC","515903",,2025,7,4,,"Black","Pelagic","1",
"Homer",142,2025-07-04,,13,7,"F","45",,,,,,"Charter","CASINO","525834",,2025,7,4,,"Black","Pelagic","0","Sampled w/o tablet"
"Homer",142,2025-07-04,,13,8,"F","50",,,,,,"Charter","CASINO","525834",,2025,7,4,,"Black","Pelagic","0","Sampled w/o tablet"
"Homer",142,2025-07-04,,13,9,"M","48",,,,,,"Charter","CASINO","525834",,2025,7,4,,"Black","Pelagic","0","Sampled w/o tablet"
"Homer",142,2025-07-04,,13,10,"F","45",,,,,,"Charter","CASINO","525834",,2025,7,4,,"Black","Pelagic","0","Sampled w/o tablet"
"Homer",142,2025-07-04,,13,11,"F","46",,,,,,"Charter","CASINO","525834",,2025,7,4,,"Black","Pelagic","0","Sampled w/o tablet"
"Homer",142,2025-07-04,,13,12,"M","49",,,,,,"Charter","CASINO","525834",,2025,7,4,,"Black","Pelagic","0","Sampled w/o tablet"
