"SITE","DATE","BIWEEK","SAMPLER","HARBOR","SEX","LENGTH","CLASSN","OTOLITH","LOGBOOK_AREA","Stat_Area_label","GF_area","AGE","AGE2","AGECONF","OTOLITH_WT","SPECIES","YEAR","MONTH","DAY"
"SITKA",2016-06-08,12,12,6,"M",450,"Charter",112,113450,"113-45","CSEO",10,10,3,0.26,142,2016,6,8
"SITKA",2016-06-09,12,11,1,"M",590,"Charter",113,113450,"113-45","CSEO",21,NA,2,0.59,142,2016,6,9
"SITKA",2016-06-09,12,11,1,"M",550,"Charter",114,113450,"113-45","CSEO",32,32,2,NA,142,2016,6,9
"SITKA",2016-06-09,12,11,1,"F",490,"Charter",115,113450,"113-45","CSEO",14,NA,3,0.35,142,2016,6,9
"SITKA",2016-06-09,12,11,1,"M",545,"Charter",116,113450,"113-45","CSEO",26,NA,2,0.56,142,2016,6,9
"SITKA",2016-06-09,12,11,1,"M",520,"Charter",117,113450,"113-45","CSEO",19,NA,3,0.5,142,2016,6,9
"SITKA",2016-06-10,12,9,8,"M",510,"Private",118,113417,"113-41","CSEO",13,NA,3,0.32,142,2016,6,10
"SITKA",2016-06-10,12,9,8,"M",560,"Private",119,113417,"113-41","CSEO",24,NA,3,0.48,142,2016,6,10
"SITKA",2016-06-11,12,12,8,"",420,"Charter",120,113450,"113-45","CSEO",10,NA,3,0.3,142,2016,6,11
"SITKA",2016-06-15,12,9,5,"F",370,"Charter",121,365701,"365-70","CSEO",9,NA,3,0.23,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",490,"Charter",122,365701,"365-70","CSEO",27,27,3,0.45,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",460,"Charter",123,365701,"365-70","CSEO",19,19,3,0.33,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",450,"Charter",124,365701,"365-70","CSEO",24,NA,3,0.32,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",440,"Charter",125,365701,"365-70","CSEO",14,NA,2,0.33,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",425,"Charter",126,365701,"365-70","CSEO",19,NA,3,0.29,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",450,"Charter",127,365701,"365-70","CSEO",20,19,2,0.3,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",480,"Charter",128,365701,"365-70","CSEO",29,NA,2,0.38,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",430,"Charter",129,365701,"365-70","CSEO",17,NA,2,0.32,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",440,"Charter",130,365701,"365-70","CSEO",14,15,3,0.32,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",465,"Charter",131,365701,"365-70","CSEO",24,24,2,0.32,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",460,"Charter",132,365701,"365-70","CSEO",14,NA,3,0.29,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",450,"Charter",133,113313,"113-31","CSEO",17,NA,3,0.31,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",320,"Charter",134,113313,"113-31","CSEO",8,NA,3,0.11,154,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",495,"Charter",135,113313,"113-31","CSEO",19,NA,2,0.33,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"M",465,"Charter",136,113313,"113-31","CSEO",25,NA,2,0.42,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"F",470,"Charter",137,113313,"113-31","CSEO",18,NA,3,0.32,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"F",360,"Charter",138,113313,"113-31","CSEO",5,NA,2,0.17,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"F",455,"Charter",139,113313,"113-31","CSEO",10,NA,2,0.31,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"F",510,"Charter",140,113313,"113-31","CSEO",15,15,2,0.36,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",500,"Charter",141,355631,"355-63","CSEO",19,NA,2,0.41,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",440,"Charter",142,355631,"355-63","CSEO",13,13,3,0.33,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",410,"Charter",143,355631,"355-63","CSEO",9,NA,3,0.23,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",445,"Charter",144,113450,"113-45","CSEO",16,NA,3,0.36,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",395,"Charter",145,113450,"113-45","CSEO",11,NA,3,0.24,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",410,"Charter",146,113450,"113-45","CSEO",10,10,3,0.25,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",425,"Charter",147,113450,"113-45","CSEO",11,NA,3,0.24,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",450,"Charter",148,113450,"113-45","CSEO",11,11,3,0.32,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",460,"Charter",149,113450,"113-45","CSEO",21,NA,3,0.37,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",NA,"Charter",150,113450,"113-45","CSEO",10,NA,2,0.29,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",445,"Charter",151,113450,"113-45","CSEO",17,NA,3,0.35,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",405,"Charter",152,113450,"113-45","CSEO",10,10,3,0.26,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",425,"Charter",153,113450,"113-45","CSEO",11,11,3,0.31,142,2016,6,15
"SITKA",2016-06-15,12,9,5,"",425,"Charter",154,113450,"113-45","CSEO",13,NA,3,0.32,142,2016,6,15
"SITKA",2016-06-16,12,12,5,"",455,"Charter",155,113450,"113-45","CSEO",10,NA,3,NA,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"",510,"Charter",156,113450,"113-45","CSEO",25,25,3,0.45,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"F",480,"Charter",157,113417,"113-41","CSEO",25,NA,2,0.38,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"M",420,"Charter",158,113417,"113-41","CSEO",17,NA,3,0.31,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"M",450,"Charter",159,113417,"113-41","CSEO",19,NA,3,0.34,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"M",460,"Charter",160,113417,"113-41","CSEO",15,15,3,0.33,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"F",375,"Charter",161,113417,"113-41","CSEO",8,NA,2,0.23,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"M",450,"Charter",162,113417,"113-41","CSEO",13,NA,3,0.29,142,2016,6,16
"SITKA",2016-06-16,12,12,5,"M",420,"Charter",163,113417,"113-41","CSEO",11,NA,3,0.29,142,2016,6,16
"SITKA",2016-06-16,12,11,1,"F",490,"Charter",164,113417,"113-41","CSEO",15,15,3,0.34,142,2016,6,16
"SITKA",2016-06-16,12,11,1,"F",475,"Charter",165,113417,"113-41","CSEO",13,NA,3,0.35,142,2016,6,16
"SITKA",2016-06-16,12,11,1,"M",550,"Charter",166,113417,"113-41","CSEO",31,NA,3,0.58,142,2016,6,16
"SITKA",2016-06-16,12,11,1,"F",530,"Charter",167,113417,"113-41","CSEO",29,29,2,0.56,142,2016,6,16
"SITKA",2016-06-16,12,11,1,"F",580,"Charter",168,113417,"113-41","CSEO",14,14,2,0.55,142,2016,6,16
"SITKA",2016-06-17,12,11,4,"M",490,"Private",169,113412,"113-41","CSEO",13,NA,3,0.31,142,2016,6,17
"SITKA",2016-06-19,12,12,3,"M",490,"Charter",170,113417,"113-41","CSEO",25,NA,3,0.52,142,2016,6,19
"SITKA",2016-06-19,12,12,3,"M",425,"Charter",171,113417,"113-41","CSEO",11,NA,3,0.26,142,2016,6,19
"SITKA",2016-06-19,12,12,3,"M",460,"Charter",172,113417,"113-41","CSEO",13,13,3,0.33,142,2016,6,19
"SITKA",2016-06-19,12,12,3,"F",490,"Charter",173,113417,"113-41","CSEO",11,NA,3,0.3,142,2016,6,19
"SITKA",2016-06-19,12,12,3,"M",400,"Charter",174,113417,"113-41","CSEO",9,NA,2,0.2,142,2016,6,19
"SITKA",2016-06-19,12,12,3,"F",515,"Charter",175,113417,"113-41","CSEO",17,16,2,0.41,142,2016,6,19
"SITKA",2016-06-19,12,12,3,"M",430,"Charter",176,113417,"113-41","CSEO",10,NA,3,0.27,142,2016,6,19
"SITKA",2016-06-19,12,12,3,"F",410,"Charter",177,113417,"113-41","CSEO",11,NA,2,0.26,142,2016,6,19
"SITKA",2016-06-22,13,11,1,"M",390,"Charter",178,113311,"113-31","CSEO",9,NA,2,0.24,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",430,"Charter",179,113311,"113-31","CSEO",17,NA,3,0.29,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",440,"Charter",180,113311,"113-31","CSEO",20,NA,2,NA,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",440,"Charter",181,113311,"113-31","CSEO",23,21,2,0.35,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",435,"Charter",182,113311,"113-31","CSEO",17,NA,2,0.33,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",380,"Charter",183,113311,"113-31","CSEO",10,NA,3,0.22,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"F",400,"Charter",184,113311,"113-31","CSEO",8,NA,2,0.22,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",420,"Charter",185,113311,"113-31","CSEO",10,NA,3,0.24,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",410,"Charter",186,113311,"113-31","CSEO",10,NA,3,0.24,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"F",385,"Private",187,113417,"113-41","CSEO",7,8,2,0.2,142,2016,6,22
"SITKA",2016-06-22,13,11,1,"M",405,"Private",188,113417,"113-41","CSEO",9,NA,2,0.26,142,2016,6,22
"SITKA",2016-06-23,13,9,6,"F",370,"Charter",189,113417,"113-41","CSEO",8,NA,3,0.22,142,2016,6,23
"SITKA",2016-06-23,13,9,6,"F",480,"Charter",190,113417,"113-41","CSEO",14,NA,3,0.31,142,2016,6,23
"SITKA",2016-06-23,13,9,6,"F",465,"Charter",191,113417,"113-41","CSEO",11,NA,3,0.32,142,2016,6,23
"SITKA",2016-06-25,13,11,8,"M",465,"Private",192,113311,"113-31","CSEO",19,NA,3,0.38,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"M",440,"Private",193,113311,"113-31","CSEO",19,NA,2,0.33,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"F",390,"Private",194,113311,"113-31","CSEO",11,NA,3,0.24,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"M",485,"Private",195,113311,"113-31","CSEO",21,21,3,0.39,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"M",465,"Private",196,113311,"113-31","CSEO",24,NA,3,0.42,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"",450,"Charter",197,113313,"113-31","CSEO",16,NA,3,0.31,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"",410,"Charter",198,113313,"113-31","CSEO",7,NA,3,0.2,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"M",440,"Charter",199,113313,"113-31","CSEO",19,NA,3,0.38,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"",480,"Charter",200,113313,"113-31","CSEO",10,10,3,0.26,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"",440,"Charter",201,113313,"113-31","CSEO",11,NA,3,0.31,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"",NA,"Charter",202,113313,"113-31","CSEO",16,NA,3,0.36,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"",360,"Charter",203,113311,"113-31","CSEO",6,NA,3,0.18,142,2016,6,25
"SITKA",2016-06-25,13,11,8,"M",435,"Charter",204,113311,"113-31","CSEO",21,NA,3,0.36,142,2016,6,25
"SITKA",2016-06-29,13,12,3,"F",540,"Charter",205,113416,"113-41","CSEO",15,NA,1,0.53,142,2016,6,29
"SITKA",2016-06-29,13,12,3,"M",450,"Charter",206,113416,"113-41","CSEO",13,NA,3,0.32,142,2016,6,29
"SITKA",2016-06-29,13,12,3,"M",505,"Charter",207,113416,"113-41","CSEO",18,19,1,0.44,142,2016,6,29
"SITKA",2016-06-29,13,12,3,"F",420,"Charter",208,113416,"113-41","CSEO",11,NA,2,0.22,142,2016,6,29
"SITKA",2016-06-30,13,10,8,"M",460,"Charter",209,113450,"113-45","CSEO",20,20,2,0.33,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"F",390,"Charter",210,113450,"113-45","CSEO",8,8,3,0.24,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"M",460,"Charter",211,113450,"113-45","CSEO",27,NA,3,0.37,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"M",465,"Charter",212,113450,"113-45","CSEO",22,NA,3,0.34,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"M",440,"Charter",213,113450,"113-45","CSEO",11,11,3,0.29,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"M",435,"Charter",214,113450,"113-45","CSEO",19,19,2,0.28,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"M",445,"Charter",215,113450,"113-45","CSEO",11,NA,3,0.28,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"M",475,"Charter",216,113450,"113-45","CSEO",26,NA,3,0.43,142,2016,6,30
"SITKA",2016-06-30,13,10,8,"F",465,"Charter",217,113450,"113-45","CSEO",10,NA,3,0.3,142,2016,6,30
