"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","GENETICS_CARD_NUM","GENETICS_SLOT_NUM","GONAD_SAMPLE","SAMPLEID","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"Homer",142,2021-05-08,1,10,"M",41,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,11,"M",40,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,12,"F",45,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,13,"F",44,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,14,"F",41,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,15,"F",43,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,16,"F",44,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,17,"F",44,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,18,"F",37,NA,5,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,19,"F",41,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,20,"F",39,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,21,"F",49,NA,7,7,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,22,"F",43,NA,7,7,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,23,"F",31,NA,6,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,24,"F",41,NA,7,7,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,25,"F",45,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,26,"F",40,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,27,"F",44,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,28,"",40,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,29,"F",39,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-08,1,30,"F",43,NA,7,NA,2,"","Charter","MISTY",515907,NA,NA,NA,NA,2021,5,8,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,1,"M",40,0.9,7,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,2,"M",43,1,7,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,3,"F",39,0.8,7,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,4,"F",44,0.9,7,7,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,5,"F",52,1,7,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,6,"F",39,0.8,7,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,7,"F",47,1.6,8,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,8,"F",36,0.5,7,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-10,2,9,"F",42,1,7,NA,2,"","Private","P3",515908,NA,NA,NA,NA,2021,5,10,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,1,"M",43,NA,8,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,2,"M",40,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,3,"M",41,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,4,"M",38,NA,7,7,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,5,"M",41,NA,7,7,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,6,"M",41,NA,7,7,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,7,"M",45,NA,8,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,8,"M",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,9,"M",41,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,10,"M",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,11,"M",41,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,12,"M",41,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,13,"M",37,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,14,"M",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,15,"F",41,NA,7,7,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,16,"F",42,NA,8,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,17,"F",37,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,18,"F",41,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,19,"F",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,20,"F",42,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,21,"F",40,NA,7,7,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,22,"F",42,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,23,"F",38,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,24,"F",42,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,25,"F",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,26,"F",NA,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,27,"F",43,NA,7,7,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,28,"F",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,29,"F",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,30,"F",NA,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,31,"F",42,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,32,"F",42,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,33,"F",39,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,34,"F",45,NA,7,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,35,"F",45,NA,7,7,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,36,"F",45,NA,8,8,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,37,"F",48,NA,8,NA,2,"","Charter","SHAKA",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,38,"",41,NA,7,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,39,"",43,NA,8,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,40,"",NA,NA,7,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,41,"",39,NA,7,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,42,"",34,NA,7,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,43,"M",54,NA,31,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,44,"M",39,NA,7,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,45,"M",43,NA,7,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-18,3,46,"M",34,NA,31,NA,2,"","Charter","SEA PREDATOR",515907,NA,NA,NA,NA,2021,5,18,NA,"Black","Pelagic"
"Homer",142,2021-05-22,4,1,"M",39,NA,7,7,2,"","Charter","IRISH MIST",515907,NA,NA,NA,NA,2021,5,22,NA,"Black","Pelagic"
"Homer",142,2021-05-22,4,2,"M",41,NA,8,NA,2,"","Charter","IRISH MIST",515907,NA,NA,NA,NA,2021,5,22,NA,"Black","Pelagic"
"Homer",142,2021-05-22,4,3,"F",39,NA,7,NA,2,"","Charter","IRISH MIST",515907,NA,NA,NA,NA,2021,5,22,NA,"Black","Pelagic"
"Homer",142,2021-05-23,5,1,"F",36,NA,7,NA,2,"","Charter","FISKR VALHALLA",515907,NA,NA,NA,NA,2021,5,23,NA,"Black","Pelagic"
"Homer",142,2021-05-23,5,2,"M",41,NA,7,NA,2,"","Charter","FISKR VALHALLA",515907,NA,NA,NA,NA,2021,5,23,NA,"Black","Pelagic"
"Homer",142,2021-05-23,5,3,"M",41,NA,7,NA,2,"","Charter","FISKR VALHALLA",515907,NA,NA,NA,NA,2021,5,23,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,1,"M",41,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,2,"M",40,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,3,"M",41,NA,7,7,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,4,"M",40,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,5,"M",44,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,6,"M",38,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,7,"M",42,NA,8,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,8,"F",42,NA,7,7,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,9,"F",42,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,10,"F",45,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,11,"F",38,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-24,6,12,"F",42,NA,7,NA,2,"","Private","P1",515935,NA,NA,NA,NA,2021,5,24,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,1,"F",41,NA,7,7,2,"","Private","P1",515907,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,2,"F",39,NA,7,NA,2,"","Private","P1",515907,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,3,"M",40,NA,7,7,2,"","Private","P1",515907,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,4,"F",44,NA,7,7,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,5,"F",45,NA,9,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,6,"F",39,NA,7,7,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,7,"F",38,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,8,"F",45,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,9,"F",38,NA,7,7,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,10,"F",44,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,11,"F",40,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,12,"F",43,NA,7,7,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,13,"F",40,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,14,"F",45,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,15,"F",42,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,16,"F",43,NA,7,7,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,17,"F",45,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,18,"F",43,NA,7,7,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,19,"F",43,NA,7,7,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,20,"M",43,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,21,"M",42,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,22,"M",43,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,23,"M",40,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,24,"M",42,NA,9,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,25,"M",40,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,26,"",41,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-05-25,7,27,"",41,NA,7,NA,2,"","Charter","ARCTIC ADDICTION",515905,NA,NA,NA,NA,2021,5,25,NA,"Black","Pelagic"
"Homer",142,2021-06-02,8,1,"M",40,NA,7,NA,2,"","Private","P4",515907,NA,NA,NA,NA,2021,6,2,NA,"Black","Pelagic"
"Homer",142,2021-06-02,8,2,"M",42,NA,7,NA,2,"","Private","P4",515907,NA,NA,NA,NA,2021,6,2,NA,"Black","Pelagic"
"Homer",142,2021-06-02,8,3,"M",41,NA,7,7,2,"","Private","P4",515907,NA,NA,NA,NA,2021,6,2,NA,"Black","Pelagic"
"Homer",142,2021-06-02,8,4,"F",44,NA,7,7,2,"","Private","P4",515907,NA,NA,NA,NA,2021,6,2,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,1,"F",44,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,2,"F",42,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,3,"F",41,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,4,"F",43,NA,7,7,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,5,"F",43,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,6,"F",40,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,7,"F",40,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,8,"F",46,NA,8,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,9,"F",41,NA,7,7,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,10,"F",44,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,11,"F",48,NA,8,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,12,"F",45,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,13,"F",43,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,14,"F",42,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,15,"",40,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,16,"",37,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,17,"",42,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,18,"",39,NA,8,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,19,"M",44,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,20,"M",52,NA,19,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,21,"M",50,NA,13,NA,1,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,22,"M",52,NA,19,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,23,"M",45,NA,7,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,24,"M",49,NA,13,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,25,"M",39,NA,8,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,26,"M",50,NA,18,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-03,9,27,"M",49,NA,13,NA,2,"","Charter","WEST CAPE",525836,NA,NA,NA,NA,2021,6,3,NA,"Black","Pelagic"
"Homer",142,2021-06-10,10,1,"F",38,NA,7,NA,2,"","Charter","CURRENT LADY",515903,NA,NA,NA,NA,2021,6,10,NA,"Black","Pelagic"
"Homer",142,2021-06-10,10,2,"F",40,NA,7,NA,2,"","Charter","CURRENT LADY",515903,NA,NA,NA,NA,2021,6,10,NA,"Black","Pelagic"
"Homer",142,2021-06-10,10,3,"F",49,NA,12,12,2,"","Charter","CURRENT LADY",515903,NA,NA,NA,NA,2021,6,10,NA,"Black","Pelagic"
"Homer",142,2021-06-10,10,4,"F",43,NA,7,NA,2,"","Charter","CURRENT LADY",515903,NA,NA,NA,NA,2021,6,10,NA,"Black","Pelagic"
