"AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","AGE","STATAREA","FINCLIPA","FINCLIPC","FINCLIPD","FINCLPAN","FL","AGECONF","RARE","SPECIES","USER","ASSEMB","PORT","PERIOD","RATE"
10,2,1991,7,18,9,2,145,"",NA,42,NA,18,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,20,10,1,145,"F",NA,48,NA,32,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,20,10,2,145,"M",NA,39.5,NA,16,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,20,10,3,145,"M",NA,49,NA,28,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,1,145,"",NA,36,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,2,145,"M",NA,41,NA,18,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,3,145,"M",NA,56,NA,50,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,4,145,"F",NA,60,NA,38,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,5,145,"M",NA,42,NA,20,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,6,145,"M",NA,49,NA,29,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,7,145,"",NA,NA,NA,35,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,21,11,7,145,"",NA,NA,NA,34,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,22,12,1,145,"M",NA,41,NA,19,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,26,13,1,145,"M",NA,46,NA,21,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,26,13,2,145,"M",NA,49,NA,25,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,26,13,3,145,"M",NA,48,NA,22,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,26,13,4,145,"M",NA,48.5,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,26,13,5,145,"F",NA,45,NA,29,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,26,13,6,145,"M",NA,44,NA,19,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,26,13,7,145,"M",NA,53,NA,37,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,1,145,"M",NA,51,NA,37,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,2,145,"",NA,44,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,3,145,"F",NA,42,NA,21,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,4,145,"M",NA,45,NA,19,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,5,145,"F",NA,56,NA,37,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,6,145,"M",NA,38,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,7,145,"F",NA,48,NA,28,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,8,145,"F",NA,39,NA,24,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,27,14,9,145,"F",NA,46,NA,25,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,1,145,"",NA,NA,NA,38,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,2,145,"",NA,NA,NA,19,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,3,145,"",NA,NA,NA,27,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,4,145,"",NA,NA,NA,27,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,5,145,"",NA,NA,NA,36,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,6,145,"",NA,NA,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,7,145,"",NA,NA,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,8,145,"",NA,NA,NA,35,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,9,145,"",NA,NA,NA,36,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,10,145,"",NA,NA,NA,28,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,11,145,"",NA,NA,NA,16,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,12,145,"",NA,NA,NA,36,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,13,145,"",NA,NA,NA,37,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,14,145,"",NA,NA,NA,36,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,19,15,15,145,"",NA,NA,NA,28,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,11,16,1,145,"",NA,49,NA,32,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,11,16,2,145,"",NA,48,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,7,12,17,1,145,"F",NA,34,NA,16,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,15,18,1,145,"F",NA,36,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,15,18,2,145,"M",NA,31,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,15,18,3,145,"M",NA,43,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,19,19,1,145,"F",NA,30,NA,12,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,19,19,2,145,"M",NA,32,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,19,19,3,145,"M",NA,32.5,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,19,19,4,145,"M",NA,43,NA,19,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,19,19,5,145,"F",NA,44,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,19,19,6,145,"F",NA,30,NA,15,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,19,19,7,145,"M",NA,27,NA,11,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,1,145,"F",NA,35,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,2,145,"F",NA,38,NA,22,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,3,145,"M",NA,49,NA,29,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,4,145,"F",NA,45,NA,31,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,5,145,"M",NA,41.5,NA,24,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,6,145,"M",NA,41,NA,22,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,7,145,"M",NA,44,NA,25,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,8,145,"",NA,53,NA,25,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,9,145,"",NA,53,NA,46,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,22,20,10,145,"",NA,50,NA,27,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,25,21,1,145,"F",NA,46,NA,22,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,25,21,2,145,"M",NA,40.5,NA,18,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,25,21,3,145,"F",NA,41,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,25,21,4,145,"F",NA,57,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,25,21,5,145,"M",NA,49,NA,25,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,25,21,6,145,"F",NA,60,NA,48,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,26,22,1,145,"M",NA,38,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,26,22,2,145,"",NA,31,NA,16,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,26,22,3,145,"",NA,28,NA,10,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,31,23,1,145,"F",NA,41.5,NA,18,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,8,31,23,2,145,"F",NA,40,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,1,24,1,145,"M",NA,51,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,7,25,1,145,"M",NA,51.8,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,7,25,2,145,"M",NA,42.5,NA,14,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,7,25,3,145,"F",NA,47.5,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,7,25,4,145,"F",NA,43,NA,NA,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,7,25,5,145,"M",NA,53.5,NA,34,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,8,26,1,145,"",NA,38.8,NA,25,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,8,26,2,145,"M",NA,35.5,NA,15,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,8,26,3,145,"M",NA,47.2,NA,23,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,8,26,4,145,"M",NA,41,NA,16,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,8,26,5,145,"M",NA,39.7,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,8,26,6,145,"M",NA,53.5,NA,27,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,9,8,26,7,145,"M",NA,43,NA,17,NA,"","","","",NA,NA,"","Yelleye","","Demersal","Whittier",NA,NA
10,2,1991,6,26,1,1,137,"M",NA,36.4,NA,15,NA,"","","","",NA,NA,"","Bocaccio","","Slope","Whittier",NA,NA
10,2,1991,6,26,1,2,137,"",NA,38,NA,22,NA,"","","","",NA,NA,"","Bocaccio","","Slope","Whittier",NA,NA
10,2,1991,7,8,2,1,137,"",NA,NA,NA,44,NA,"","","","",NA,NA,"","Bocaccio","","Slope","Whittier",NA,NA
10,2,1991,8,11,1,1,142,"",NA,36,NA,16,NA,"","","","",NA,NA,"","Black","","Pelagic","Whittier",NA,NA
10,2,1991,9,7,2,1,142,"M",NA,57.5,NA,30,NA,"","","","",NA,NA,"","Black","","Pelagic","Whittier",NA,NA
10,2,1991,9,7,2,2,142,"M",NA,58.2,NA,NA,NA,"","","","",NA,NA,"","Black","","Pelagic","Whittier",NA,NA
10,2,1991,6,26,1,1,147,"M",NA,29,NA,20,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,6,26,1,2,147,"F",NA,28.3,NA,16,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,6,2,1,147,"M",NA,42,NA,NA,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,7,3,1,147,"M",NA,37.5,NA,19,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,7,3,2,147,"",NA,41,NA,25,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,7,3,3,147,"",NA,38.5,NA,46,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,14,4,1,147,"M",NA,33,NA,14,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,14,4,2,147,"M",NA,39.5,NA,29,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,14,4,3,147,"",NA,42,NA,30,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,14,4,4,147,"F",NA,32.5,NA,18,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,22,5,1,147,"F",NA,31,NA,16,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,28,6,1,147,"",NA,NA,NA,56,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,28,6,2,147,"",NA,NA,NA,24,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,15,7,1,147,"M",NA,25,NA,16,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,15,7,2,147,"F",NA,31,NA,17,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,19,8,1,147,"F",NA,32,NA,17,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,22,9,1,147,"M",NA,38,NA,46,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,1,147,"M",NA,33,NA,15,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,2,147,"F",NA,35,NA,22,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,3,147,"M",NA,27,NA,14,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,4,147,"F",NA,29,NA,16,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,5,147,"F",NA,25.5,NA,12,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,6,147,"M",NA,32,NA,14,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,7,147,"F",NA,31,NA,14,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,8,147,"F",NA,37,NA,16,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,8,26,10,9,147,"F",NA,31,NA,23,NA,"","","","",NA,NA,"","Quill","","Demersal","Whittier",NA,NA
10,2,1991,7,8,1,1,149,"",NA,NA,NA,15,NA,"","","","",NA,NA,"","China","","Demersal","Whittier",NA,NA
10,2,1991,7,8,1,2,149,"",NA,NA,NA,18,NA,"","","","",NA,NA,"","China","","Demersal","Whittier",NA,NA
10,2,1991,7,8,1,3,149,"",NA,NA,NA,30,NA,"","","","",NA,NA,"","China","","Demersal","Whittier",NA,NA
10,2,1991,7,7,1,1,154,"M",NA,35,NA,14,NA,"","","","",NA,NA,"","Dusky","","Pelagic","Whittier",NA,NA
10,2,1991,7,11,1,1,157,"F",NA,43,NA,17,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,11,1,2,157,"M",NA,44.5,NA,18,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,11,1,3,157,"F",NA,41,NA,15,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,11,1,4,157,"M",NA,48,NA,16,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,11,1,5,157,"M",NA,44,NA,17,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,11,1,6,157,"M",NA,42,NA,14,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,11,1,7,157,"M",NA,40,NA,12,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,11,1,8,157,"M",NA,36.5,NA,13,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,12,2,1,157,"F",NA,35.5,NA,20,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,13,3,1,157,"F",NA,39.5,NA,14,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,13,3,2,157,"F",NA,41,NA,13,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,13,3,3,157,"M",NA,42,NA,13,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,14,4,1,157,"M",NA,32.5,NA,12,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,14,4,2,157,"F",NA,38,NA,15,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
10,2,1991,7,14,4,3,157,"",NA,34.5,NA,15,NA,"","","","",NA,NA,"","Silvergr","","Slope","Whittier",NA,NA
