"BIOSAMPLEID","SITE","YEAR","DATE","BIWEEK","HARBOR","SEX","OTOLITH","LENGTH","CLASSN","RF_NAME","LOGBOOK_AREA","Stat_Area_label","GF_area","AGE","AGE2","AGECONF","OTOLITH_WT","SPECIES","MONTH","DAY"
17723,"SITKA",2017,2017-06-21,13,3,"M",170102,370,"Charter","black",113450,"113-45","CSEO",13,13,NA,0.256,142,6,21
17724,"SITKA",2017,2017-06-21,13,3,"M",170103,420,"Charter","black",113450,"113-45","CSEO",16,NA,NA,0.323,142,6,21
17725,"SITKA",2017,2017-06-21,13,3,"M",170104,410,"Charter","black",113450,"113-45","CSEO",14,NA,NA,0.337,142,6,21
17726,"SITKA",2017,2017-06-21,13,3,"F",170105,430,"Charter","black",113450,"113-45","CSEO",10,10,NA,0.28,142,6,21
17727,"SITKA",2017,2017-06-21,13,3,"M",170106,420,"Charter","black",113450,"113-45","CSEO",12,NA,NA,0.256,142,6,21
19319,"SITKA",2017,2017-06-22,13,7,"M",170107,420,"Private","black",113417,"113-41","CSEO",13,13,NA,0.314,142,6,22
18382,"SITKA",2017,2017-06-23,13,8,"M",170108,480,"Charter","black",345607,"345-60","CSEO",15,15,NA,0.416,142,6,23
18383,"SITKA",2017,2017-06-23,13,8,"F",170109,420,"Charter","black",345607,"345-60","CSEO",7,NA,NA,0.269,142,6,23
18386,"SITKA",2017,2017-06-23,13,8,"M",170110,440,"Charter","black",113416,"113-41","CSEO",13,13,NA,0.332,142,6,23
18387,"SITKA",2017,2017-06-23,13,8,"M",170111,430,"Charter","black",113416,"113-41","CSEO",14,NA,NA,0.251,142,6,23
18388,"SITKA",2017,2017-06-23,13,8,"M",170112,390,"Charter","black",113416,"113-41","CSEO",5,NA,NA,0.207,142,6,23
18389,"SITKA",2017,2017-06-23,13,8,"M",170113,490,"Charter","black",113416,"113-41","CSEO",22,23,NA,0.497,142,6,23
18390,"SITKA",2017,2017-06-23,13,8,"F",170114,380,"Charter","black",113416,"113-41","CSEO",21,NA,NA,0.3252,142,6,23
18391,"SITKA",2017,2017-06-23,13,8,"M",170115,480,"Charter","black",113416,"113-41","CSEO",7,NA,NA,0.153,142,6,23
18401,"SITKA",2017,2017-06-23,13,8,"M",170116,430,"Charter","black",113417,"113-41","CSEO",10,10,NA,0.297,142,6,23
18402,"SITKA",2017,2017-06-23,13,8,"F",170117,450,"Charter","black",113417,"113-41","CSEO",10,NA,NA,0.328,142,6,23
18403,"SITKA",2017,2017-06-23,13,8,"F",170118,450,"Charter","black",113417,"113-41","CSEO",14,NA,NA,0.334,142,6,23
18404,"SITKA",2017,2017-06-23,13,8,"F",170119,400,"Charter","black",113417,"113-41","CSEO",11,NA,NA,0.264,142,6,23
18406,"SITKA",2017,2017-06-23,13,8,"F",170121,450,"Charter","black",113417,"113-41","CSEO",11,NA,NA,0.121,142,6,23
18410,"SITKA",2017,2017-06-23,13,8,"M",170122,430,"Private","black",113450,"113-45","CSEO",12,12,NA,0.278,142,6,23
18411,"SITKA",2017,2017-06-23,13,8,"F",170123,530,"Charter","black",365630,"365-63","CSEO",18,19,NA,0.463,142,6,23
18431,"SITKA",2017,2017-06-23,13,8,"M",170124,500,"Charter","black",365630,"365-63","CSEO",12,NA,NA,0.318,142,6,23
18432,"SITKA",2017,2017-06-23,13,8,"M",170125,540,"Charter","black",365630,"365-63","CSEO",25,NA,NA,0.53,142,6,23
18412,"SITKA",2017,2017-06-23,13,8,"M",170126,430,"Charter","black",113417,"113-41","CSEO",20,NA,NA,0.368,142,6,23
18413,"SITKA",2017,2017-06-23,13,8,"M",170127,400,"Charter","black",113417,"113-41","CSEO",7,NA,NA,0.237,142,6,23
18414,"SITKA",2017,2017-06-23,13,8,"F",170128,470,"Charter","black",113417,"113-41","CSEO",15,NA,NA,0.305,142,6,23
18415,"SITKA",2017,2017-06-23,13,8,"M",170129,400,"Charter","black",113417,"113-41","CSEO",8,NA,NA,0.236,142,6,23
18416,"SITKA",2017,2017-06-23,13,8,"M",170130,410,"Charter","black",113417,"113-41","CSEO",9,NA,NA,0.245,142,6,23
18417,"SITKA",2017,2017-06-23,13,8,"M",170131,400,"Charter","black",113417,"113-41","CSEO",10,NA,NA,0.277,142,6,23
18986,"SITKA",2017,2017-06-25,13,11,"F",170132,520,"Charter","black",113450,"113-45","CSEO",11,NA,NA,0.354,142,6,25
18987,"SITKA",2017,2017-06-25,13,11,"M",170133,570,"Charter","black",113450,"113-45","CSEO",31,NA,NA,0.607,142,6,25
20555,"SITKA",2017,2017-06-29,13,3,"M",170134,570,"Charter","black",113417,"113-41","CSEO",28,33,NA,0.574,142,6,29
20556,"SITKA",2017,2017-06-29,13,3,"F",170135,420,"Charter","black",113417,"113-41","CSEO",13,30,NA,0.268,142,6,29
20557,"SITKA",2017,2017-06-29,13,3,"M",170136,480,"Charter","black",113417,"113-41","CSEO",22,NA,NA,0.392,142,6,29
20558,"SITKA",2017,2017-06-29,13,3,"F",170137,460,"Charter","black",113417,"113-41","CSEO",11,NA,NA,0.321,142,6,29
20559,"SITKA",2017,2017-06-29,13,3,"M",170138,520,"Charter","black",113417,"113-41","CSEO",26,NA,NA,0.462,142,6,29
20560,"SITKA",2017,2017-06-29,13,3,"M",170139,460,"Charter","black",113417,"113-41","CSEO",11,11,NA,0.333,142,6,29
21455,"SITKA",2017,2017-06-30,13,6,"F",170140,520,"Charter","black",113311,"113-31","CSEO",10,NA,NA,0.335,142,6,30
21456,"SITKA",2017,2017-06-30,13,6,"F",170141,410,"Charter","black",113311,"113-31","CSEO",10,NA,NA,0.268,142,6,30
21460,"SITKA",2017,2017-06-30,13,6,"F",170142,370,"Charter","black",113311,"113-31","CSEO",8,NA,NA,0.247,142,6,30
21465,"SITKA",2017,2017-06-30,13,6,"M",170143,430,"Charter","black",113311,"113-31","CSEO",10,NA,NA,0.244,142,6,30
22380,"SITKA",2017,2017-07-03,14,8,"F",170144,540,"Private","black",113311,"113-31","CSEO",11,12,NA,0.308,142,7,3
22381,"SITKA",2017,2017-07-03,14,8,"M",170145,430,"Charter","black",113417,"113-41","CSEO",10,12,NA,0.265,142,7,3
22382,"SITKA",2017,2017-07-03,14,8,"F",170146,470,"Charter","black",113417,"113-41","CSEO",10,19,NA,0.335,142,7,3
22387,"SITKA",2017,2017-07-03,14,8,"M",170147,440,"Private","black",113417,"113-41","CSEO",19,NA,NA,0.37,142,7,3
22388,"SITKA",2017,2017-07-03,14,8,"M",170148,460,"Private","black",113417,"113-41","CSEO",12,NA,NA,0.307,142,7,3
22389,"SITKA",2017,2017-07-03,14,8,"F",170149,430,"Private","black",113417,"113-41","CSEO",11,NA,NA,0.262,142,7,3
22396,"SITKA",2017,2017-07-03,14,8,"M",170150,410,"Private","black",113417,"113-41","CSEO",13,NA,NA,0.294,142,7,3
22397,"SITKA",2017,2017-07-03,14,8,"F",170151,430,"Private","black",113417,"113-41","CSEO",11,NA,NA,0.284,142,7,3
22398,"SITKA",2017,2017-07-03,14,8,"M",170152,450,"Private","black",113417,"113-41","CSEO",10,NA,NA,0.315,142,7,3
22399,"SITKA",2017,2017-07-03,14,8,"F",170153,430,"Private","black",113417,"113-41","CSEO",14,NA,NA,0.303,142,7,3
22400,"SITKA",2017,2017-07-03,14,8,"F",170154,410,"Private","black",113417,"113-41","CSEO",10,NA,NA,0.252,142,7,3
22401,"SITKA",2017,2017-07-03,14,8,"M",170155,470,"Private","black",113417,"113-41","CSEO",15,NA,NA,0.32,142,7,3
22408,"SITKA",2017,2017-07-03,14,8,"M",170156,450,"Charter","black",113417,"113-41","CSEO",14,NA,NA,0.305,142,7,3
22409,"SITKA",2017,2017-07-03,14,8,"F",170157,450,"Charter","black",113417,"113-41","CSEO",13,NA,NA,0.316,142,7,3
22410,"SITKA",2017,2017-07-03,14,8,"F",170158,510,"Charter","black",113417,"113-41","CSEO",22,NA,NA,0.436,142,7,3
22411,"SITKA",2017,2017-07-03,14,8,"M",170159,480,"Charter","black",113417,"113-41","CSEO",12,NA,NA,0.305,142,7,3
22412,"SITKA",2017,2017-07-03,14,8,"M",170160,420,"Charter","black",113417,"113-41","CSEO",12,NA,NA,0.286,142,7,3
22413,"SITKA",2017,2017-07-03,14,8,"M",170161,400,"Charter","black",113417,"113-41","CSEO",10,NA,NA,0.26,142,7,3
24015,"SITKA",2017,2017-07-07,14,5,"M",170162,390,"Charter","black",113450,"113-45","CSEO",17,NA,NA,0.197,142,7,7
24016,"SITKA",2017,2017-07-07,14,5,"F",170163,400,"Charter","black",113450,"113-45","CSEO",24,NA,NA,0.24,NA,7,7
24017,"SITKA",2017,2017-07-07,14,5,"M",170164,460,"Charter","black",113450,"113-45","CSEO",15,NA,NA,0.338,NA,7,7
24025,"SITKA",2017,2017-07-07,14,5,"F",170165,350,"Charter","black",365701,"365-70","CSEO",7,7,NA,0.184,142,7,7
24047,"SITKA",2017,2017-07-07,14,5,"M",170166,420,"Charter","black",365701,"365-70","CSEO",21,22,NA,0.351,142,7,7
24048,"SITKA",2017,2017-07-07,14,5,"M",170167,410,"Charter","black",365701,"365-70","CSEO",11,NA,NA,0.293,142,7,7
24049,"SITKA",2017,2017-07-07,14,5,"M",170168,410,"Charter","black",365701,"365-70","CSEO",12,NA,NA,0.266,142,7,7
24050,"SITKA",2017,2017-07-07,14,5,"M",170169,450,"Charter","black",365701,"365-70","CSEO",10,NA,NA,0.439,142,7,7
24051,"SITKA",2017,2017-07-07,14,5,"F",170170,420,"Charter","black",365701,"365-70","CSEO",10,NA,NA,0.285,142,7,7
24052,"SITKA",2017,2017-07-07,14,5,"F",170171,430,"Charter","black",365701,"365-70","CSEO",12,NA,NA,0.268,142,7,7
24028,"SITKA",2017,2017-07-07,14,5,"F",170172,470,"Charter","black",113417,"113-41","CSEO",12,12,NA,0.34,142,7,7
24029,"SITKA",2017,2017-07-07,14,5,"M",170173,450,"Charter","black",113417,"113-41","CSEO",22,NA,NA,0.468,142,7,7
24030,"SITKA",2017,2017-07-07,14,5,"M",170174,400,"Charter","black",113417,"113-41","CSEO",27,NA,NA,0.244,142,7,7
24032,"SITKA",2017,2017-07-07,14,5,"M",170175,450,"Charter","black",365701,"365-70","CSEO",18,NA,NA,0.398,142,7,7
24033,"SITKA",2017,2017-07-07,14,5,"M",170176,430,"Charter","black",365701,"365-70","CSEO",9,10,NA,0.322,142,7,7
24034,"SITKA",2017,2017-07-07,14,5,"M",170177,450,"Charter","black",365701,"365-70","CSEO",14,NA,NA,0.338,142,7,7
24035,"SITKA",2017,2017-07-07,14,5,"M",170178,430,"Charter","black",365701,"365-70","CSEO",10,NA,NA,0.294,142,7,7
24036,"SITKA",2017,2017-07-07,14,5,"M",170179,440,"Charter","black",365701,"365-70","CSEO",12,NA,NA,0.243,142,7,7
24037,"SITKA",2017,2017-07-07,14,5,"F",170180,420,"Charter","black",365701,"365-70","CSEO",16,17,NA,0.33,142,7,7
24067,"SITKA",2017,2017-07-07,14,5,"M",170181,460,"Charter","black",365701,"365-70","CSEO",18,NA,NA,0.357,142,7,7
24057,"SITKA",2017,2017-07-07,14,5,"M",170182,500,"Charter","black",113450,"113-45","CSEO",18,NA,NA,0.418,142,7,7
24058,"SITKA",2017,2017-07-07,14,5,"F",170183,430,"Charter","black",113450,"113-45","CSEO",9,NA,NA,0.279,142,7,7
24059,"SITKA",2017,2017-07-07,14,5,"F",170184,480,"Charter","black",113417,"113-41","CSEO",10,11,NA,0.285,142,7,7
24060,"SITKA",2017,2017-07-07,14,5,"M",170185,490,"Charter","black",113417,"113-41","CSEO",19,NA,NA,0.372,142,7,7
24061,"SITKA",2017,2017-07-07,14,5,"M",170186,410,"Charter","black",113417,"113-41","CSEO",12,NA,NA,0.28,142,7,7
24062,"SITKA",2017,2017-07-07,14,5,"M",170187,480,"Charter","black",113417,"113-41","CSEO",21,NA,NA,0.43,142,7,7
24063,"SITKA",2017,2017-07-07,14,5,"F",170188,480,"Charter","black",113417,"113-41","CSEO",12,12,NA,0.285,142,7,7
24064,"SITKA",2017,2017-07-07,14,5,"F",170189,440,"Charter","black",113417,"113-41","CSEO",10,NA,NA,0.262,142,7,7
24069,"SITKA",2017,2017-07-07,14,5,"M",170190,470,"Charter","black",113450,"113-45","CSEO",14,NA,NA,0.376,142,7,7
24070,"SITKA",2017,2017-07-07,14,5,"M",170191,480,"Charter","black",113450,"113-45","CSEO",10,NA,NA,0.318,142,7,7
24071,"SITKA",2017,2017-07-07,14,5,"F",170192,440,"Charter","black",113450,"113-45","CSEO",12,NA,NA,0.302,142,7,7
24072,"SITKA",2017,2017-07-07,14,5,"M",170193,460,"Charter","black",113450,"113-45","CSEO",12,NA,NA,0.284,142,7,7
24073,"SITKA",2017,2017-07-07,14,5,"M",170194,500,"Charter","black",113450,"113-45","CSEO",10,11,NA,0.288,142,7,7
24074,"SITKA",2017,2017-07-07,14,5,"M",170195,450,"Charter","black",113450,"113-45","CSEO",17,16,NA,0.383,142,7,7
24107,"SITKA",2017,2017-07-08,14,9,"F",170196,560,"Charter","black",113450,"113-45","CSEO",15,NA,NA,0.466,142,7,8
24108,"SITKA",2017,2017-07-08,14,9,"M",170197,570,"Charter","black",113450,"113-45","CSEO",26,NA,NA,0.529,142,7,8
24109,"SITKA",2017,2017-07-08,14,9,"M",170198,560,"Charter","black",113450,"113-45","CSEO",32,NA,NA,0.752,142,7,8
24110,"SITKA",2017,2017-07-08,14,9,"M",170199,530,"Charter","black",113450,"113-45","CSEO",21,NA,NA,0.458,142,7,8
24111,"SITKA",2017,2017-07-08,14,9,"M",170200,520,"Charter","black",113450,"113-45","CSEO",26,NA,NA,0.424,142,7,8
24112,"SITKA",2017,2017-07-08,14,9,"M",170201,570,"Charter","black",113450,"113-45","CSEO",26,NA,NA,0.564,142,7,8
24119,"SITKA",2017,2017-07-08,14,9,"F",170202,470,"Private","black",113417,"113-41","CSEO",11,NA,NA,0.256,142,7,8
24120,"SITKA",2017,2017-07-08,14,9,"M",170203,510,"Private","black",113417,"113-41","CSEO",10,NA,NA,0.343,142,7,8
24121,"SITKA",2017,2017-07-08,14,9,"F",170204,420,"Private","black",113417,"113-41","CSEO",22,NA,NA,0.466,142,7,8
24137,"SITKA",2017,2017-07-08,14,9,"M",170205,530,"Charter","black",113417,"113-41","CSEO",12,NA,NA,0.36,142,7,8
24139,"SITKA",2017,2017-07-08,14,9,"M",170206,570,"Charter","black",113417,"113-41","CSEO",31,NA,NA,0.618,142,7,8
24140,"SITKA",2017,2017-07-08,14,9,"M",170207,570,"Charter","black",113417,"113-41","CSEO",28,NA,NA,0.592,142,7,8
