"SAMPLEID","PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB","COMMENTS","CAS"
"2 060723 2 9","Homer",142,"2023-06-07",6,4,"F",48,,10,,"2",,"Charter","BOUNTIFUL",515906,,2023,6,7,,"Black","Pelagic","",1
"2 061423 1 1","Homer",142,"2023-06-14",7,1,"F",49,,9,,"2",,"Charter","SEA HAWK",515902,,2023,6,14,,"Black","Pelagic","",0
"2 061423 1 2","Homer",142,"2023-06-14",7,2,"F",47,,9,,"2",,"Charter","SEA HAWK",515902,,2023,6,14,,"Black","Pelagic","",0
"2 061423 1 3","Homer",142,"2023-06-14",7,3,"F",51,,9,,"2",,"Charter","SEA HAWK",515902,,2023,6,14,,"Black","Pelagic","",0
"2 061423 1 4","Homer",142,"2023-06-14",7,4,"M",49,,9,,"2",,"Charter","SEA HAWK",515902,,2023,6,14,,"Black","Pelagic","",0
"2 061423 1 5","Homer",173,"2023-06-14",2,1,"M",32,,,,"",,"Charter","SEA HAWK",515902,,2023,6,14,,"Dark","Pelagic","",0
"2 061423 1 6","Homer",173,"2023-06-14",2,2,"F",41,,,,"",,"Charter","SEA HAWK",515902,,2023,6,14,,"Dark","Pelagic","",0
"2 061523 3 10","Homer",142,"2023-06-15",8,2,"M",43,,9,9,"2",,"Charter","SWEET T",515937,,2023,6,15,,"Black","Pelagic","",0
"2 061523 3 11","Homer",142,"2023-06-15",8,3,"F",42,,9,,"2",,"Charter","SWEET T",515937,,2023,6,15,,"Black","Pelagic","",0
"2 061523 3 12","Homer",142,"2023-06-15",8,4,"M",39,,9,,"2",,"Charter","SWEET T",515937,,2023,6,15,,"Black","Pelagic","",0
"2 061523 3 13","Homer",142,"2023-06-15",8,5,"M",44,,9,,"2",,"Charter","SWEET T",515937,,2023,6,15,,"Black","Pelagic","",0
"2 061523 3 14","Homer",142,"2023-06-15",8,6,"F",41,,9,,"2",,"Charter","SWEET T",515937,,2023,6,15,,"Black","Pelagic","",0
"2 061523 3 15","Homer",142,"2023-06-15",8,7,"F",42,,9,,"2",,"Charter","SWEET T",515937,,2023,6,15,,"Black","Pelagic","",0
"2 061523 3 16","Homer",172,"2023-06-15",5,1,"F",29,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dusky","Pelagic","",0
"2 061523 3 17","Homer",172,"2023-06-15",5,2,"",,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dusky","Pelagic","only had a head",0
"2 061523 3 18","Homer",172,"2023-06-15",5,3,"",33,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dusky","Pelagic","",0
"2 061523 3 19","Homer",172,"2023-06-15",5,4,"F",30,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dusky","Pelagic","",0
"2 061523 3 20","Homer",172,"2023-06-15",5,5,"M",28,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dusky","Pelagic","",0
"2 061523 3 21","Homer",172,"2023-06-15",5,6,"",30,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dusky","Pelagic","",0
"2 061523 3 22","Homer",173,"2023-06-15",3,1,"F",35,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dark","Pelagic","",0
"2 061523 3 23","Homer",173,"2023-06-15",3,2,"M",28,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dark","Pelagic","",0
"2 061523 3 24","Homer",173,"2023-06-15",3,3,"F",40,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dark","Pelagic","",0
"2 061523 3 25","Homer",173,"2023-06-15",3,4,"F",38,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dark","Pelagic","",0
"2 061523 3 26","Homer",173,"2023-06-15",3,5,"M",45,,,,"",,"Charter","SWEET T",515937,,2023,6,15,,"Dark","Pelagic","",0
"2 061523 3 9","Homer",142,"2023-06-15",8,1,"M",42,,9,,"2",,"Charter","SWEET T",515937,,2023,6,15,,"Black","Pelagic","",0
"2 061723 3 10","Homer",142,"2023-06-17",9,3,"F",36,0.8,10,,"2",,"Private","P5",515906,,2023,6,17,,"Black","Pelagic","",0
"2 061723 3 11","Homer",142,"2023-06-17",9,4,"F",32,0.7,9,9,"2",,"Private","P6",515906,,2023,6,17,,"Black","Pelagic","",0
"2 061723 3 5","Homer",172,"2023-06-17",6,1,"F",43,1.1,,,"",,"Private","P3",515906,,2023,6,17,,"Dusky","Pelagic","",0
"2 061723 3 6","Homer",172,"2023-06-17",6,2,"M",38,,,,"",,"Private","P3",515906,,2023,6,17,,"Dusky","Pelagic","",0
"2 061723 3 7","Homer",172,"2023-06-17",6,3,"F",39,1.2,,,"",,"Private","P3",515906,,2023,6,17,,"Dusky","Pelagic","",0
"2 061723 3 8","Homer",142,"2023-06-17",9,1,"M",53,,33,,"2",,"Private","P3",515906,,2023,6,17,,"Black","Pelagic","",0
"2 061723 3 9","Homer",142,"2023-06-17",9,2,"F",48,2.3,8,8,"2",,"Private","P4",515906,,2023,6,17,,"Black","Pelagic","",0
"2 061823 2 10","Homer",142,"2023-06-18",10,3,"F",43,,9,,"2",,"Charter","BELLE ILLE",515936,,2023,6,18,,"Black","Pelagic","",0
"2 061823 2 11","Homer",142,"2023-06-18",10,4,"F",48,,9,,"2",,"Charter","BELLE ILLE",515936,,2023,6,18,,"Black","Pelagic","",0
"2 061823 2 12","Homer",172,"2023-06-18",7,1,"F",37,,,,"",,"Charter","BELLE ILLE",515936,,2023,6,18,,"Dusky","Pelagic","",0
"2 061823 2 8","Homer",142,"2023-06-18",10,1,"M",46,,9,,"2",,"Charter","BELLE ILLE",515936,,2023,6,18,,"Black","Pelagic","",0
"2 061823 2 9","Homer",142,"2023-06-18",10,2,"M",44,,9,9,"2",,"Charter","BELLE ILLE",515936,,2023,6,18,,"Black","Pelagic","",0
"2 061823 3 13","Homer",142,"2023-06-18",10,5,"F",39,,7,,"2",,"Charter","BAIT BALL",525902,,2023,6,18,,"Black","Pelagic","",0
"2 061823 3 14","Homer",142,"2023-06-18",10,6,"F",49,,10,,"2",,"Charter","BAIT BALL",525902,,2023,6,18,,"Black","Pelagic","",0
"2 061823 3 15","Homer",172,"2023-06-18",7,2,"M",41,,,,"",,"Charter","BAIT BALL",525902,,2023,6,18,,"Dusky","Pelagic","",0
"2 061823 3 16","Homer",172,"2023-06-18",7,3,"",35,,,,"",,"Charter","BAIT BALL",525902,,2023,6,18,,"Dusky","Pelagic","",0
"2 062223 1 13","Homer",173,"2023-06-22",4,1,"F",36,,,,"",,"Charter","SWEET T",525836,,2023,6,22,,"Dark","Pelagic","",1
"2 062223 1 14","Homer",142,"2023-06-22",11,1,"M",46,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 15","Homer",142,"2023-06-22",11,2,"M",45,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 16","Homer",142,"2023-06-22",11,3,"F",49,,11,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 17","Homer",142,"2023-06-22",11,4,"F",51,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 18","Homer",142,"2023-06-22",11,5,"F",46,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 19","Homer",142,"2023-06-22",11,6,"M",44,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 20","Homer",142,"2023-06-22",11,7,"F",53,,9,9,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 21","Homer",142,"2023-06-22",11,8,"F",51,,15,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 22","Homer",142,"2023-06-22",11,9,"M",45,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 23","Homer",142,"2023-06-22",11,10,"F",47,,9,9,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 24","Homer",142,"2023-06-22",11,11,"F",42,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 25","Homer",142,"2023-06-22",11,12,"M",48,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 26","Homer",142,"2023-06-22",11,13,"F",46,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 27","Homer",142,"2023-06-22",11,14,"F",55,,18,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 28","Homer",142,"2023-06-22",11,15,"M",47,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 1 29","Homer",142,"2023-06-22",11,16,"M",44,,9,,"2",,"Charter","SWEET T",525836,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 10","Homer",145,"2023-06-22",3,2,"F",34,,8,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Yelleye","Demersal","",1
"2 062223 2 11","Homer",142,"2023-06-22",11,17,"M",47,,9,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 12","Homer",142,"2023-06-22",11,18,"F",45,,11,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 13","Homer",142,"2023-06-22",11,19,"M",43,,10,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 14","Homer",142,"2023-06-22",11,20,"F",53,,9,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 15","Homer",142,"2023-06-22",11,21,"M",48,,9,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 16","Homer",142,"2023-06-22",11,22,"",50,,9,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 17","Homer",142,"2023-06-22",11,23,"M",51,,9,9,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 18","Homer",142,"2023-06-22",11,24,"M",54,,38,,"1",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 19","Homer",142,"2023-06-22",11,25,"F",45,,9,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Black","Pelagic","",1
"2 062223 2 9","Homer",145,"2023-06-22",3,1,"F",36,,9,,"2",,"Charter","WEST CAPE",515906,,2023,6,22,,"Yelleye","Demersal","",1
"2 062223 3 10","Homer",172,"2023-06-22",8,1,"",31,,,,"",,"Charter","SNOW GOOSE 2",525931,,2023,6,22,,"Dusky","Pelagic","",0
"2 062223 3 11","Homer",172,"2023-06-22",8,2,"M",33,,,,"",,"Charter","SNOW GOOSE 2",525931,,2023,6,22,,"Dusky","Pelagic","",0
"2 062223 3 12","Homer",173,"2023-06-22",4,2,"",30,,,,"",,"Charter","SNOW GOOSE 2",525931,,2023,6,22,,"Dark","Pelagic","",0
"2 062223 3 13","Homer",142,"2023-06-22",11,26,"F",44,,9,,"2",,"Charter","SNOW GOOSE 2",525931,,2023,6,22,,"Black","Pelagic","",0
"2 071123 1 1","Homer",172,"2023-07-11",9,1,"M",36,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dusky","Pelagic","",0
"2 071123 1 10","Homer",173,"2023-07-11",5,8,"F",35,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","",0
"2 071123 1 2","Homer",172,"2023-07-11",9,2,"F",32,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dusky","Pelagic","",0
"2 071123 1 3","Homer",173,"2023-07-11",5,1,"F",34,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","",0
"2 071123 1 4","Homer",173,"2023-07-11",5,2,"M",35,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","",0
"2 071123 1 5","Homer",173,"2023-07-11",5,3,"F",36,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","",0
"2 071123 1 6","Homer",173,"2023-07-11",5,4,"",,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","No Length Available",0
"2 071123 1 7","Homer",173,"2023-07-11",5,5,"F",31,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","",0
"2 071123 1 8","Homer",173,"2023-07-11",5,6,"M",36,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","",0
"2 071123 1 9","Homer",173,"2023-07-11",5,7,"",33,,,,"",,"Charter","TUFF STUFF",515907,,2023,7,11,,"Dark","Pelagic","",0
"2 071123 2 1","Homer",142,"2023-07-11",12,1,"F",42,1.7,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 10","Homer",142,"2023-07-11",12,10,"F",42,2,9,10,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 11","Homer",142,"2023-07-11",12,11,"F",41,2.3,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 12","Homer",142,"2023-07-11",12,12,"M",46,2.1,10,10,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 13","Homer",142,"2023-07-11",12,13,"F",49,2.5,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 14","Homer",154,"2023-07-11",12,14,"M",47,1.9,32,,"1",,"Charter","STORM PETREL",525931,,2023,7,11,,"DuskyDrk","Pelagic","Not Black RF",0
"2 071123 2 15","Homer",142,"2023-07-11",12,15,"F",52,2.4,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 16","Homer",142,"2023-07-11",12,16,"F",55,2.7,14,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 17","Homer",142,"2023-07-11",12,17,"M",48,2.1,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 18","Homer",138,"2023-07-11",1,1,"F",34,1.3,,,"",,"Charter","STORM PETREL",525931,,2023,7,11,,"Copper","Demersal","",0
"2 071123 2 19","Homer",147,"2023-07-11",2,2,"",33,0.8,,,"",,"Charter","STORM PETREL",525931,,2023,7,11,,"Quill","Demersal","",0
"2 071123 2 2","Homer",142,"2023-07-11",12,2,"M",42,1.3,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 3","Homer",142,"2023-07-11",12,3,"F",47,1.6,11,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 4","Homer",142,"2023-07-11",12,4,"M",47,1.7,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 5","Homer",142,"2023-07-11",12,5,"M",46,1.9,32,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 6","Homer",142,"2023-07-11",12,6,"M",44,2.2,10,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 7","Homer",142,"2023-07-11",12,7,"F",51,2.9,9,9,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 8","Homer",142,"2023-07-11",12,8,"M",42,2.5,12,13,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 2 9","Homer",142,"2023-07-11",12,9,"M",47,2.5,9,,"2",,"Charter","STORM PETREL",525931,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 1","Homer",142,"2023-07-11",12,18,"F",53,,16,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 10","Homer",142,"2023-07-11",12,27,"F",43,,11,11,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 11","Homer",142,"2023-07-11",12,28,"F",45,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 12","Homer",142,"2023-07-11",12,29,"F",47,,11,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 13","Homer",142,"2023-07-11",12,30,"F",46,,9,9,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 14","Homer",142,"2023-07-11",12,31,"F",48,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 15","Homer",142,"2023-07-11",12,32,"F",48,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 16","Homer",142,"2023-07-11",12,33,"F",45,,9,9,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 17","Homer",142,"2023-07-11",12,34,"F",44,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 18","Homer",142,"2023-07-11",12,35,"M",46,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 2","Homer",142,"2023-07-11",12,19,"F",52,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 3","Homer",142,"2023-07-11",12,20,"M",32,,8,8,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 4","Homer",142,"2023-07-11",12,21,"M",50,,11,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 5","Homer",142,"2023-07-11",12,22,"F",50,,9,9,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 6","Homer",142,"2023-07-11",12,23,"F",47,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 7","Homer",142,"2023-07-11",12,24,"M",49,,9,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 8","Homer",142,"2023-07-11",12,25,"M",44,,11,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 3 9","Homer",142,"2023-07-11",12,26,"M",45,,8,,"2",,"Charter","BELLE VITA",515906,,2023,7,11,,"Black","Pelagic","",0
"2 071123 4 5","Homer",147,"2023-07-11",2,3,"F",29,,,,"",,"Charter","BAIT BALL",525901,,2023,7,11,,"Quill","Demersal","",0
"2 071123 4 6","Homer",173,"2023-07-11",5,9,"M",35,,,,"",,"Charter","BAIT BALL",525901,,2023,7,11,,"Dark","Pelagic","",0
