"AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","HUNDRED","AGE","AGECONF","STATAREA","FINCLIPA","FINCLIPC","FINCLIPD","FINCLPAN","FL","RARE","SPECIES","USER","ASSEMB","PORT","sasdate"
161,3,1996,6,16,5,3,142,"M",5,49.6,NA,",",16,2,525902,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-16
161,3,1996,6,19,6,1,142,"M",5,49.3,NA,",",14,1,525836,"","","D","",NA,"","Black","Private","Pelagic","Homer",1996-06-19
161,3,1996,6,27,7,1,142,"M",5,45.8,NA,",",11,2,525836,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-27
161,3,1996,6,27,7,2,142,"M",5,51.2,NA,",",12,1,525836,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-06-27
161,3,1996,7,17,8,1,142,"F",3,55.5,NA,",",13,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-07-17
161,3,1996,7,17,8,2,142,"M",3,54.7,NA,",",30,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-07-17
161,3,1996,7,28,9,1,142,"",NA,NA,NA,",",6,3,525901,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-07-28
161,3,1996,8,18,10,1,142,"M",4,53.3,NA,",",15,2,515832,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-08-18
161,3,1996,8,18,10,2,142,"F",4,54.6,NA,",",12,2,515832,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-08-18
161,3,1996,8,18,10,3,142,"M",4,53.3,NA,",",20,1,515832,"","C","","",NA,"","Black","Charter","Pelagic","Homer",1996-08-18
161,3,1996,9,8,11,1,142,"M",4,50.8,NA,",",NA,NA,525901,"","","D","",NA,"","Black","Private","Pelagic","Homer",1996-09-08
161,3,1996,9,8,11,2,142,"M",4,52.1,NA,",",16,1,525901,"","","D","",NA,"","Black","Private","Pelagic","Homer",1996-09-08
161,3,1996,6,9,1,1,145,"M",2,46.2,NA,",",14,3,525902,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-06-09
161,3,1996,6,15,2,1,145,"F",5,60.3,NA,",",26,2,515903,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-06-15
161,3,1996,6,27,3,1,145,"M",4,57.4,NA,",",29,2,525836,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-06-27
161,3,1996,7,4,4,1,145,"F",4,73.6,NA,",",44,2,515903,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-04
161,3,1996,7,7,5,1,145,"F",4,73.8,NA,",",54,2,515906,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-07
161,3,1996,7,7,5,2,145,"F",5,71.7,NA,",",45,2,515906,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-07
161,3,1996,7,7,5,3,145,"F",5,64.6,NA,",",44,2,515906,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-07
161,3,1996,7,15,6,1,145,"F",6,70.2,NA,",",51,1,515903,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-15
161,3,1996,7,15,6,2,145,"M",4,66.1,NA,",",38,2,515903,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-15
161,3,1996,7,15,6,3,145,"M",4,60,NA,",",30,2,515903,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-15
161,3,1996,7,17,7,1,145,"F",6,65.8,NA,",",29,2,NA,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-17
161,3,1996,7,17,7,2,145,"M",4,63.6,NA,",",30,2,NA,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-17
161,3,1996,7,17,7,3,145,"F",5,71,NA,",",48,2,NA,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-07-17
161,3,1996,8,7,8,1,145,"M",4,69,NA,",",42,2,515903,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-07
161,3,1996,8,15,9,1,145,"M",4,67.6,NA,",",31,2,NA,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-15
161,3,1996,8,18,10,1,145,"M",3,69.4,NA,",",29,2,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,2,145,"",NA,NA,13.5,",",73,1,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,3,145,"M",4,70.6,NA,",",42,2,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,4,145,"F",6,67.6,NA,",",37,2,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,5,145,"F",3,68.8,NA,",",36,3,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,6,145,"F",6,75.5,NA,",",53,2,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,7,145,"F",6,76.3,NA,",",52,2,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,8,145,"F",6,77.5,NA,",",64,1,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,8,18,10,9,145,"M",5,74.6,NA,",",53,2,515832,"","C","","",NA,"","Yelleye","Charter","Demersal","Homer",1996-08-18
161,3,1996,9,2,11,1,145,"M",4,67.2,6.1,",",50,NA,525837,"","","D","",NA,"","Yelleye","Private","Demersal","Homer",1996-09-02
161,3,1996,5,20,1,1,154,"F",2,30.2,NA,",",6,3,515906,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-05-20
161,3,1996,5,20,1,2,154,"F",1,30.8,NA,",",6,3,515906,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-05-20
161,3,1996,5,20,1,3,154,"F",2,33.8,NA,",",6,3,515906,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-05-20
161,3,1996,5,20,1,4,154,"F",3,33.1,NA,",",6,3,515906,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-05-20
161,3,1996,6,15,2,1,154,"M",4,NA,NA,",",11,2,525901,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-06-15
161,3,1996,6,15,2,2,154,"F",3,37.9,NA,",",10,2,525901,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-06-15
161,3,1996,6,15,2,3,154,"F",2,38.6,NA,",",8,2,525901,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-06-15
161,3,1996,6,16,3,1,154,"F",3,45.1,NA,",",NA,NA,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-06-16
161,3,1996,6,16,3,2,154,"F",2,36.2,NA,",",10,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-06-16
161,3,1996,6,16,3,3,154,"M",2,41.1,NA,",",15,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-06-16
161,3,1996,7,1,4,1,154,"M",2,37.8,NA,",",7,1,515937,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-07-01
161,3,1996,7,1,4,2,154,"F",2,36.7,NA,",",7,3,515937,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-07-01
161,3,1996,7,17,5,1,154,"F",5,47.6,NA,",",28,2,NA,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-07-17
161,3,1996,7,17,5,2,154,"F",5,NA,NA,",",31,1,NA,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-07-17
161,3,1996,7,25,6,1,154,"F",4,47.2,NA,",",29,2,NA,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-07-25
161,3,1996,8,21,7,1,154,"M",2,38.7,NA,",",8,1,515936,"","C","","",NA,"","DrkDsky","Charter","Pelagic","Homer",1996-08-21
161,3,1996,9,2,8,1,154,"F",1,29.4,NA,",",7,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,9,2,8,2,154,"F",1,33.6,NA,",",7,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,9,2,8,3,154,"F",1,36.1,NA,",",7,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,9,2,8,4,154,"F",1,36,NA,",",13,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,9,2,8,5,154,"F",1,31.9,NA,",",6,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,9,2,8,6,154,"F",1,NA,NA,",",8,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,9,2,8,7,154,"F",1,NA,NA,",",6,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,9,2,8,8,154,"",NA,32.8,NA,",",7,2,515936,"","","D","",NA,"","DrkDsky","Private","Pelagic","Homer",1996-09-02
161,3,1996,6,15,1,1,138,"M",4,44.6,NA,",",22,2,525901,"","C","","",NA,"","Copper","Charter","Demersal","Homer",1996-06-15
161,3,1996,9,11,2,1,138,"",NA,47.2,NA,",",35,2,525902,"","C","","",NA,"","Copper","Charter","Demersal","Homer",1996-09-11
17,754,1996,5,30,1,1,142,"M",3,49.7,NA,",",16,1,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-05-30
17,754,1996,5,30,1,2,142,"F",5,57.3,NA,",",15,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-05-30
17,754,1996,5,30,1,3,142,"F",5,58.2,NA,",",14,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-05-30
17,754,1996,5,30,1,4,142,"M",3,53,NA,",",16,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-05-30
17,754,1996,5,30,1,5,142,"F",4,53.5,NA,",",12,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-05-30
17,754,1996,5,31,2,1,142,"M",3,48.4,1.6,",",16,2,525731,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-05-31
17,754,1996,5,31,2,2,142,"M",3,50.1,2,",",18,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-05-31
17,754,1996,6,1,3,1,142,"M",3,46.8,NA,",",11,3,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-01
17,754,1996,6,1,3,2,142,"M",2,36.8,NA,",",5,3,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-01
17,754,1996,6,1,3,3,142,"M",2,38.1,NA,",",6,3,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-01
17,754,1996,6,1,3,4,142,"M",3,51.2,NA,",",19,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-01
17,754,1996,6,3,4,1,142,"",NA,36.6,NA,",",6,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,2,142,"",NA,37,NA,",",6,3,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,3,142,"",NA,49.1,NA,",",14,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,4,142,"M",2,38,NA,",",6,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,5,142,"M",2,38.9,NA,",",6,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,6,142,"M",2,38.7,NA,",",6,3,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,7,142,"M",3,49.1,NA,",",15,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,8,142,"M",3,46.8,NA,",",14,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,9,142,"M",3,47.6,NA,",",17,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,10,142,"F",4,37.4,NA,",",7,3,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,11,142,"F",4,36.2,NA,",",5,2,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,12,142,"F",4,36.8,NA,",",6,3,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,13,142,"F",4,36.4,NA,",",6,3,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,14,142,"F",6,52,NA,",",NA,NA,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,3,4,15,142,"F",6,42.8,NA,",",NA,NA,525733,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-03
17,754,1996,6,9,5,1,142,"F",4,52.7,NA,",",11,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-09
17,754,1996,6,9,5,2,142,"F",7,49.8,NA,",",12,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-09
17,754,1996,6,9,5,3,142,"M",3,51.9,NA,",",18,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-09
17,754,1996,6,9,5,4,142,"M",3,51.3,NA,",",14,2,525733,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-09
17,754,1996,6,10,6,1,142,"F",7,36,NA,",",NA,NA,525731,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-10
17,754,1996,6,10,6,2,142,"F",4,42.1,NA,",",NA,NA,525731,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-10
17,754,1996,6,10,6,3,142,"F",7,35.8,NA,",",NA,NA,525731,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-10
17,754,1996,6,13,7,1,142,"F",5,49,NA,",",15,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,2,142,"F",3,55.1,NA,",",14,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,3,142,"F",4,49.8,NA,",",14,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,4,142,"M",3,51.6,NA,",",20,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,5,142,"M",3,49.1,NA,",",16,1,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,6,142,"M",3,50.3,NA,",",13,1,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,7,142,"M",3,47,NA,",",17,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,8,142,"M",3,47.2,NA,",",14,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,9,142,"M",3,48.2,NA,",",17,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,10,142,"",NA,45.1,NA,",",10,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,11,142,"F",4,47.1,NA,",",20,2,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,13,7,12,142,"M",3,49.1,NA,",",15,1,NA,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-13
17,754,1996,6,14,8,1,142,"F",4,50.4,NA,",",11,3,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-14
17,754,1996,6,14,8,2,142,"M",3,50.6,NA,",",16,2,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-14
17,754,1996,6,14,8,3,142,"M",3,50.4,NA,",",17,2,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-14
17,754,1996,6,14,8,4,142,"M",3,49.4,NA,",",14,1,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-14
17,754,1996,6,15,9,1,142,"M",3,43.5,NA,",",10,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-15
17,754,1996,6,15,9,2,142,"M",3,44.1,NA,",",10,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-15
17,754,1996,6,15,9,3,142,"M",3,50.4,NA,",",16,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-15
17,754,1996,6,20,10,1,142,"F",4,48.4,NA,",",11,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,2,142,"F",2,36.2,NA,",",6,3,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,3,142,"F",4,49.4,NA,",",10,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,4,142,"F",4,56.6,NA,",",15,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,5,142,"M",3,48,NA,",",15,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,6,142,"M",3,47.5,NA,",",16,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,7,142,"M",3,49.1,NA,",",16,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,8,142,"M",3,46.4,NA,",",14,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,9,142,"M",3,46,NA,",",NA,NA,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,10,142,"M",3,43.2,NA,",",10,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,11,142,"M",3,44.4,NA,",",15,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,12,142,"M",3,45.9,NA,",",16,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,13,142,"M",3,48.6,NA,",",NA,NA,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,14,142,"M",3,50.4,NA,",",16,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,15,142,"M",3,52.3,NA,",",18,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,16,142,"M",3,49.2,NA,",",19,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,17,142,"M",3,47.3,NA,",",17,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,18,142,"M",3,50.9,NA,",",15,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,20,10,19,142,"M",3,59.8,NA,",",16,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-20
17,754,1996,6,21,11,1,142,"F",4,50.6,NA,",",10,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,2,142,"F",4,49,NA,",",11,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,3,142,"F",4,49.9,NA,",",12,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,4,142,"F",4,47.3,NA,",",12,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,5,142,"F",4,48.2,NA,",",10,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,6,142,"M",3,48.3,NA,",",15,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,7,142,"M",3,46.6,NA,",",10,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,8,142,"M",3,45.7,NA,",",10,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,9,142,"M",3,47.9,NA,",",17,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,10,142,"M",3,47.1,NA,",",17,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,11,142,"M",3,49.2,NA,",",15,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,12,142,"M",3,47.9,NA,",",16,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,13,142,"M",3,47.8,NA,",",15,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,14,142,"M",3,49.2,NA,",",14,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,15,142,"M",3,48.1,NA,",",14,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,16,142,"M",3,47.8,NA,",",16,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,17,142,"M",3,52.6,NA,",",16,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,18,142,"M",3,49.1,NA,",",NA,NA,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,19,142,"M",3,51.3,NA,",",14,1,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,21,11,20,142,"M",3,48,NA,",",10,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-21
17,754,1996,6,24,12,1,142,"F",4,46.9,NA,",",9,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-24
17,754,1996,6,24,12,2,142,"M",3,47.9,NA,",",15,2,525731,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-06-24
17,754,1996,6,28,13,1,142,"F",4,52.3,NA,",",13,2,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-28
17,754,1996,6,28,13,2,142,"M",3,51.4,NA,",",27,2,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-28
17,754,1996,6,28,13,3,142,"M",3,47.8,NA,",",19,2,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-28
17,754,1996,6,28,13,4,142,"M",3,46.6,NA,",",15,2,NA,"A","","","",NA,"","Black","Private","Pelagic","Kodiak",1996-06-28
17,754,1996,7,1,14,1,142,"M",3,46.9,NA,",",16,2,NA,"","","","",NA,"","Black","","Pelagic","Kodiak",1996-07-01
17,754,1996,7,2,15,1,142,"F",4,56,NA,",",16,2,525733,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-07-02
17,754,1996,7,2,15,2,142,"M",3,45.5,NA,",",10,3,525733,"","C","","",NA,"","Black","Charter","Pelagic","Kodiak",1996-07-02
17,754,1996,7,3,16,1,142,"F",4,53.8,NA,",",13,3,525732,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-07-03
17,754,1996,7,3,16,2,142,"F",4,56.2,NA,",",15,1,525732,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-07-03
17,754,1996,7,3,16,3,142,"F",4,51.4,NA,",",11,2,525732,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-07-03
17,754,1996,7,3,16,4,142,"F",4,NA,NA,",",11,2,525732,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-07-03
17,754,1996,7,3,16,5,142,"M",2,49.1,NA,",",NA,NA,525732,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-07-03
17,754,1996,7,3,16,6,142,"M",2,51.1,NA,",",16,2,525732,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-07-03
17,754,1996,7,3,16,7,142,"",NA,48.7,NA,",",11,1,525732,"","","D","",NA,"","Black","Private","Pelagic","Kodiak",1996-07-03
17,754,1996,7,3,16,8,142,"M",3,51.2,NA,",",17,2,NA,"","","","",NA,"","Black","","Pelagic","Kodiak",1996-07-03
