"PORT","SP","DATE","PAGE","LINE","SEX","LENGTH","FORK_LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","OTOLITH_WEIGHT","YEAR","MONTH","DAY","SUBLOC","SPECIES","ASSEMB"
"Homer",142,2019-05-15,3,4,"",NA,NA,1,5,NA,NA,"","Private","P5",515936,NA,2019,5,15,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,1,"F",32,31,0.8,5,5,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,2,"M",37,36,1.2,5,5,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,3,"M",36,35,1.1,5,NA,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,4,"M",34,33,0.8,5,NA,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,5,"",30,29,0.6,4,NA,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,6,"",34,33,0.9,6,NA,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,7,"M",36,35,1,5,NA,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,8,"F",33,32,0.8,6,NA,NA,"","Private","P3",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,9,"",33,32,NA,5,NA,NA,"","Private","P4",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,10,"",NA,NA,NA,5,NA,NA,"","Private","P4",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,11,"",NA,NA,NA,5,NA,NA,"","Private","P4",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,12,"",35,33,NA,5,NA,NA,"","Private","P4",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-19,4,13,"",35,34,NA,6,NA,NA,"","Private","P4",515936,NA,2019,5,19,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,1,"F",36,35,0.9,5,NA,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,2,"M",36,35,1.1,5,6,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,3,"F",36,35,0.9,5,5,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,4,"M",NA,NA,1.1,5,NA,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,5,"F",35,34,1,NA,NA,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,6,"F",35,34,1,5,5,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,7,"F",38,37,1.2,6,NA,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,8,"F",35,34,1.1,6,NA,NA,"","Private","P3",515936,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-21,5,9,"F",33,32,0.8,6,NA,NA,"","Private","P5",515906,NA,2019,5,21,NA,"Black","Pelagic"
"Homer",142,2019-05-25,6,1,"M",40,39,1.2,6,NA,NA,"","Charter","WEST CAPE",525901,NA,2019,5,25,NA,"Black","Pelagic"
"Homer",142,2019-05-25,6,2,"",34,33,0.8,5,NA,NA,"","Charter","WEST CAPE",525901,NA,2019,5,25,NA,"Black","Pelagic"
"Homer",142,2019-05-25,6,3,"",40,39,1.3,7,NA,NA,"","Charter","WEST CAPE",525901,NA,2019,5,25,NA,"Black","Pelagic"
"Homer",142,2019-05-25,6,4,"F",38,37,1.2,5,NA,NA,"","Charter","WEST CAPE",525901,NA,2019,5,25,NA,"Black","Pelagic"
"Homer",142,2019-05-25,6,5,"F",40,39,1.4,5,NA,NA,"","Charter","WEST CAPE",525901,NA,2019,5,25,NA,"Black","Pelagic"
"Homer",142,2019-05-25,6,6,"F",39,38,1.1,NA,NA,NA,"","Charter","WEST CAPE",525901,NA,2019,5,25,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,1,"F",37,36,NA,5,NA,NA,"","Private","P1",515907,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,2,"M",36,35,0.9,5,NA,NA,"","Private","P4",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,3,"M",35,35,0.9,5,5,NA,"","Private","P4",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,4,"M",33,32,NA,6,NA,NA,"","Private","P4",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,5,"F",38,37,NA,NA,NA,NA,"","Private","P4",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,6,"M",39,38,NA,6,NA,NA,"","Private","P4",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,7,"F",38,37,NA,5,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,8,"F",38,37,NA,5,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,9,"M",NA,NA,NA,NA,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,10,"F",35,34,NA,NA,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,11,"M",38,37,NA,NA,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,12,"M",36,35,1,5,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,13,"F",37,36,1,5,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,14,"M",38,37,NA,5,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,15,"M",36,35,1,5,NA,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,16,"M",37,36,NA,5,5,NA,"","Private","P6",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,17,"M",35,34,0.9,5,5,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,18,"",35,34,0.9,NA,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,19,"F",31,30,0.8,5,5,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,20,"",36,35,1,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,21,"F",34,33,0.7,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,22,"",36,35,0.8,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,23,"F",35,34,0.9,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,24,"",38,37,0.9,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,25,"",38,37,0.9,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,26,"",32,31,0.7,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,27,"",33,32,0.6,6,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,28,"",33,32,0.7,5,5,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-26,7,29,"F",33,32,0.7,5,NA,NA,"","Charter","BELLE ISLE",515936,NA,2019,5,26,NA,"Black","Pelagic"
"Homer",142,2019-05-28,8,1,"M",35,34,NA,5,NA,NA,"","Charter","SEA HUNTER",515936,NA,2019,5,28,NA,"Black","Pelagic"
"Homer",142,2019-05-28,8,2,"F",36,35,NA,5,NA,NA,"","Charter","SEA HUNTER",515936,NA,2019,5,28,NA,"Black","Pelagic"
"Homer",142,2019-06-01,9,1,"F",38,37,1.1,5,NA,NA,"","Private","P6",515936,NA,2019,6,1,NA,"Black","Pelagic"
"Homer",142,2019-06-01,9,2,"F",37,36,1,5,NA,NA,"","Private","P6",515936,NA,2019,6,1,NA,"Black","Pelagic"
"Homer",142,2019-06-01,9,3,"F",38,37,1.1,NA,NA,NA,"","Private","P6",515936,NA,2019,6,1,NA,"Black","Pelagic"
"Homer",142,2019-06-01,9,4,"M",37,36,1,5,5,NA,"","Private","P6",515936,NA,2019,6,1,NA,"Black","Pelagic"
"Homer",142,2019-06-01,9,5,"F",39,38,1.2,5,NA,NA,"","Private","P6",515936,NA,2019,6,1,NA,"Black","Pelagic"
"Homer",142,2019-06-03,10,1,"F",NA,35,1,6,NA,NA,"","Private","P2",515936,NA,2019,6,3,NA,"Black","Pelagic"
"Homer",142,2019-06-03,10,2,"M",36,35,0.9,5,NA,NA,"","Private","P2",515936,NA,2019,6,3,NA,"Black","Pelagic"
"Homer",142,2019-06-03,10,3,"M",37,36,1,5,NA,NA,"","Private","P2",515936,NA,2019,6,3,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,1,"F",44,43,NA,6,NA,NA,"","Charter","PATRIOT",NA,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,2,"F",55,54,NA,16,15,NA,"","Charter","PATRIOT",NA,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,3,"",38,37,NA,5,NA,NA,"","Charter","PATRIOT",NA,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,4,"",34,33,NA,5,NA,NA,"","Charter","PATRIOT",NA,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,5,"F",56,55,NA,12,NA,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,6,"",37,36,NA,5,NA,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,7,"M",37,36,NA,6,NA,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,8,"",36,35,NA,5,NA,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,9,"M",32,31,NA,5,NA,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,10,"M",35,34,NA,5,5,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,11,"",40,39,NA,10,10,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-04,11,12,"M",42,40,NA,NA,NA,NA,"","Charter","OUTRAGEOUS",515905,NA,2019,6,4,NA,"Black","Pelagic"
"Homer",142,2019-06-08,12,1,"F",40,39,NA,NA,NA,NA,"","Charter","TOMAHAWK II",515937,NA,2019,6,8,NA,"Black","Pelagic"
"Homer",142,2019-06-08,12,2,"M",33,32,NA,5,NA,NA,"","Charter","TOMAHAWK II",515937,NA,2019,6,8,NA,"Black","Pelagic"
"Homer",142,2019-06-10,13,1,"M",56,54,3,29,NA,NA,"","Charter","CURRENT LADY",515903,NA,2019,6,10,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,1,"M",37,36,0.7,5,NA,NA,"","Private","P2",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,2,"M",38,37,0.8,6,NA,NA,"","Private","P2",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,3,"M",41,40,1.2,6,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,4,"M",32,32,0.5,5,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,5,"F",38,37,0.9,NA,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,6,"F",38,37,0.9,5,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,7,"F",35,34,0.7,5,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,8,"F",36,35,0.8,5,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,9,"F",43,42,1.4,6,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,10,"F",37,36,0.7,5,5,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,11,"F",37,36,NA,NA,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,12,"M",38,37,0.9,NA,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,13,"M",36,35,0.7,5,NA,NA,"","Charter","BADGER",525931,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,14,"M",53,52,NA,22,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,15,"M",51,50,NA,17,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,16,"F",50,49,NA,11,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,17,"M",48,47,NA,11,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,18,"M",49,48,NA,12,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,19,"M",47,46,NA,NA,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,20,"M",53,52,NA,17,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,21,"M",55,53,NA,40,39,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,22,"F",52,51,NA,16,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,23,"F",52,51,NA,11,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,24,"M",53,52,NA,17,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,25,"F",51,50,NA,11,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,26,"M",51,50,NA,NA,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,27,"F",57,56,NA,17,17,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,28,"F",57,56,NA,14,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,29,"M",52,51,NA,NA,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,30,"F",56,55,NA,17,17,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,31,"M",57,55,NA,28,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,32,"M",51,50,NA,23,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,33,"M",50,49,NA,12,12,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,34,"M",53,52,NA,44,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,35,"M",47,46,NA,NA,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,36,"F",50,49,NA,NA,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,37,"M",52,51,NA,18,18,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,38,"F",48,47,NA,NA,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,39,"F",49,48,NA,11,11,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,40,"F",49,48,NA,10,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,41,"M",48,47,NA,12,12,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,42,"F",53,52,NA,12,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,43,"F",52,51,NA,12,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,44,"M",54,53,NA,25,25,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,45,"F",54,53,NA,12,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,46,"F",54,53,NA,12,NA,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-13,14,47,"M",52,51,NA,35,34,NA,"","Charter","REEL TIME",515904,NA,2019,6,13,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,1,"F",41,40,1.3,NA,NA,NA,"","Private","P3",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,2,"M",35,34,0.7,5,NA,NA,"","Private","P3",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,3,"F",34,33,0.6,5,NA,NA,"","Private","P3",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,4,"M",36,35,0.7,5,NA,NA,"","Private","P3",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,5,"M",35,34,0.7,5,5,NA,"","Private","P3",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,6,"M",35,35,0.7,5,NA,NA,"","Private","P3",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,7,"M",34,33,NA,5,5,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,8,"M",41,40,1.2,6,6,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,9,"",35,34,NA,NA,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,10,"M",38,37,0.9,NA,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,11,"F",33,32,0.5,5,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,12,"",35,34,NA,5,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,13,"",35,34,NA,5,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,14,"F",40,39,NA,6,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,15,"F",38,37,NA,NA,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,16,"F",37,36,NA,NA,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,17,"M",37,36,NA,5,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,18,"M",36,35,0.8,5,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,19,"M",37,36,0.8,6,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,20,"M",38,37,NA,5,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
"Homer",142,2019-06-17,15,21,"F",39,38,NA,5,NA,NA,"","Charter","STORM PETREL",515936,NA,2019,6,17,NA,"Black","Pelagic"
