"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGEERR","SEX","LENGTH","OBSWT","AGE","STATAREA","CAS","PORT","USER","RNDLEN","NETWT","RNDWT"
"17",NA,1994,5,27,2,2,3,"","F",145.1,NA,11,485931,0,"Seward","Charter",145,69.6628401239782,92.6522819449818
"18",NA,1994,5,27,2,3,2,"","F",87.6,NA,8,485931,0,"Seward","Charter",88,13.8131493343522,18.3716283228886
"19",NA,1994,5,27,2,4,2,"","F",126.5,NA,11,485935,0,"Seward","Charter",127,45.3411890544574,60.304240029805
"20",NA,1994,5,27,2,5,2,"","F",84.6,NA,9,NA,0,"Seward","SewMilC",85,12.344859985371,16.4187886382518
"21",NA,1994,5,27,2,6,3,"","M",54,NA,6,NA,0,"Seward","SewMilC",54,2.83873355325578,3.77554433719397
"22",NA,1994,5,27,2,7,NA,"","F",138.5,NA,NA,NA,0,"Seward","SewMilC",139,60.7486739038316,80.796350713014
"23",NA,1994,5,27,2,8,2,"","M",74.1,NA,12,NA,0,"Seward","SewMilC",74,7.87915458445051,10.4793552882339
"24",NA,1994,5,27,2,9,2,"","F",74.4,NA,7,NA,0,"Seward","SewMilC",74,7.87915458445051,10.4793552882339
"25",NA,1994,5,27,2,10,2,"","F",74.2,NA,6,NA,0,"Seward","SewMilC",74,7.87915458445051,10.4793552882339
"26",NA,1994,5,27,2,11,3,"","F",95.8,NA,11,475934,0,"Seward","Charter",96,18.3116569755219,24.3546889842045
"27",NA,1994,5,27,2,12,3,"","M",76.3,NA,10,485935,0,"Seward","Charter",76,8.5902319024382,11.4250953130969
"28",NA,1994,5,27,2,13,3,"","F",86.3,NA,8,485931,0,"Seward","Charter",86,12.8216474535934,17.0529207932853
"29",NA,1994,5,27,2,14,2,"","M",86.6,NA,13,475934,0,"Seward","Charter",87,13.3110166823064,17.703786817025
"30",NA,1994,5,27,2,15,1,"","M",94.2,NA,14,485932,0,"Seward","Charter",94,17.1042129489918,22.7487762166551
"31",NA,1994,5,27,2,16,2,"","M",76.5,NA,13,485935,0,"Seward","Charter",77,8.96187328124,11.9193821057382
"32",NA,1994,5,27,2,17,2,"","M",70.4,NA,9,485935,0,"Seward","Charter",70,6.58091829516383,8.7526878929321
"33",NA,1994,5,27,2,18,NA,"","F",84.4,NA,NA,485935,0,"Seward","Charter",84,11.8804731210747,15.8011494118613
"34",NA,1994,5,27,2,19,2,"","F",80.3,NA,10,475934,0,"Seward","Charter",80,10.1433265474259,13.4907268991556
"35",NA,1994,5,27,2,20,1,"","F",109.2,NA,12,485931,0,"Seward","Charter",109,27.633169602028,36.7523950565912
"36",NA,1994,5,27,2,21,2,"","F",81.4,NA,8,485931,0,"Seward","Charter",81,10.5599122758681,14.0447901313923
"37",NA,1994,5,27,2,22,2,"","F",85.5,NA,10,485931,0,"Seward","Charter",86,12.8216474535934,17.0529207932853
"38",NA,1994,5,27,2,23,2,"","F",135.5,NA,14,485935,0,"Seward","Charter",136,56.6024086343144,75.2817759686265
"39",NA,1994,5,27,2,24,2,"","M",61.4,NA,7,NA,0,"Seward","Charter",61,4.21344679894347,5.60392685800819
"40",NA,1994,5,27,2,25,3,"","F",60,NA,6,NA,0,"Seward","SewMilC",60,3.99373183786951,5.31170373755076
"41",NA,1994,5,27,2,26,2,"","M",78,NA,11,495938,0,"Seward","Private",78,9.34448480063655,12.4282592963242
"42",NA,1994,5,27,2,27,2,"","M",61,NA,6,NA,0,"Seward","SewMilC",61,4.21344679894347,5.60392685800819
"43",NA,1994,5,27,2,28,3,"","M",59.5,NA,6,NA,0,"Seward","SewMilC",60,3.99373183786951,5.31170373755076
"44",NA,1994,5,27,2,29,3,"","F",63.5,NA,6,NA,0,"Seward","SewMilC",64,4.92257072920152,6.54706885743389
"45",NA,1994,5,27,2,30,2,"","F",132.2,NA,14,485935,0,"Seward","Charter",132,51.384056477203,68.3413148204961
"46",NA,1994,5,30,3,1,2,"","M",88.9,NA,10,485935,0,"Seward","Charter",89,14.3282275744224,19.0566875917582
"47",NA,1994,5,30,3,2,2,"","M",72.7,NA,10,NA,0,"Seward","Charter",73,7.53936755018688,10.0274350960078
"48",NA,1994,5,30,3,3,2,"","F",83.1,NA,11,475933,0,"Seward","Charter",83,11.4283062149386,15.1997628534186
"49",NA,1994,5,30,3,4,2,"","M",54.8,NA,7,NA,0,"Seward","SewMilC",55,3.01261728261902,4.00681145593239
"50",NA,1994,5,30,3,5,2,"","",NA,NA,12,495938,0,"Seward","Charter",NA,NA,NA
"51",NA,1994,5,30,3,6,2,"","F",90.6,NA,10,NA,0,"Seward","SewMilC",91,15.3979519606891,20.4794318448409
"52",NA,1994,5,30,3,7,3,"","F",49.6,NA,4,NA,0,"Seward","SewMilC",50,2.21223705907735,2.94229766346005
"53",NA,1994,5,30,3,8,3,"","M",60.3,NA,7,485933,0,"Seward","Private",60,3.99373183786951,5.31170373755076
"54",NA,1994,5,30,3,9,2,"","F",117,NA,12,485935,0,"Seward","Charter",117,34.7609023202377,46.2323516627348
"55",NA,1994,5,30,3,10,2,"","F",113.6,NA,9,495938,0,"Seward","Charter",114,31.9551284463005,42.5006440323936
"56",NA,1994,5,30,3,11,3,"","F",127.1,NA,9,NA,0,"Seward","SewMilC",127,45.3411890544574,60.304240029805
"57",NA,1994,5,30,3,12,2,"","M",85.8,NA,14,475933,0,"Seward","Charter",86,12.8216474535934,17.0529207932853
"58",NA,1994,5,30,3,13,3,"","M",100.1,NA,14,475933,0,"Seward","Charter",100,20.9010858569024,27.7986555863006
"59",NA,1994,5,30,3,14,3,"","F",74.8,NA,7,485935,0,"Seward","Charter",75,8.22938427965115,10.9451643251248
"60",NA,1994,5,30,3,15,3,"","F",64.8,NA,6,NA,0,"Seward","SewMilC",65,5.17616515408831,6.8843520074242
"61",NA,1994,5,30,3,16,3,"","M",68.7,NA,7,NA,0,"Seward","SewMilC",69,6.2811606783156,8.35400723073185
"62",NA,1994,5,30,3,17,2,"","F",51.6,NA,3,NA,0,"Seward","SewMilC",52,2.51200027504725,3.34098577254875
"63",NA,1994,5,30,3,18,2,"","F",64.2,NA,7,475933,0,"Seward","Charter",64,4.92257072920152,6.54706885743389
"64",NA,1994,5,30,3,19,3,"","F",79.9,NA,7,475933,0,"Seward","Charter",80,10.1433265474259,13.4907268991556
"65",NA,1994,5,30,3,20,2,"","F",78.7,NA,8,475933,0,"Seward","Charter",79,9.7382433958611,12.9519622105045
"66",NA,1994,5,30,3,21,2,"","F",104.4,NA,9,485935,0,"Seward","Charter",104,23.7332311227181,31.5654374345644
"67",NA,1994,5,30,3,22,2,"","M",88.1,NA,12,485935,0,"Seward","Charter",88,13.8131493343522,18.3716283228886
"68",NA,1994,5,30,3,23,3,"","",74.6,NA,10,475934,0,"Seward","Charter",75,8.22938427965115,10.9451643251248
"69",NA,1994,5,31,4,1,2,"","F",77.9,NA,7,NA,0,"Seward","SewMilC",78,9.34448480063655,12.4282592963242
"70",NA,1994,5,31,4,2,2,"","M",66.9,NA,7,NA,0,"Seward","SewMilC",67,5.71019855759206,7.59462183537565
"71",NA,1994,5,31,4,3,1,"","M",70.7,NA,10,NA,0,"Seward","SewMilC",71,6.89042324147201,9.16433260189999
"72",NA,1994,5,31,4,4,2,"","F",65.1,NA,8,NA,0,"Seward","SewMilC",65,5.17616515408831,6.8843520074242
"73",NA,1994,5,31,4,5,3,"","M",58.4,NA,6,NA,0,"Seward","SewMilC",58,3.57829011234887,4.75916204077032
"74",NA,1994,5,31,4,6,2,"","M",58.3,NA,7,NA,0,"Seward","SewMilC",58,3.57829011234887,4.75916204077032
"75",NA,1994,5,31,4,7,2,"","M",57.7,NA,7,NA,0,"Seward","SewMilC",58,3.57829011234887,4.75916204077032
"76",NA,1994,5,31,4,8,2,"","F",66.4,NA,7,NA,0,"Seward","SewMilC",66,5.43865111903038,7.23346099561835
"77",NA,1994,6,9,5,1,NA,"","",60.7,NA,NA,NA,0,"Seward","SewMilC",61,4.21344679894347,5.60392685800819
"78",NA,1994,6,9,5,2,NA,"","F",76.8,NA,NA,NA,0,"Seward","SewMilC",77,8.96187328124,11.9193821057382
"79",NA,1994,6,9,5,3,NA,"","F",81.7,NA,NA,495938,0,"Seward","SewMilC",82,10.9881791366113,14.614389387734
"80",NA,1994,6,9,5,4,NA,"","F",63.2,NA,NA,NA,0,"Seward","SewMilC",63,4.67769853713618,6.22138636531405
"81",NA,1994,6,9,5,5,NA,"","F",115.2,NA,NA,485931,0,"Seward","Charter",115,32.8722818526814,43.720467339103
"82",NA,1994,6,9,5,6,NA,"","F",86.8,NA,NA,485931,0,"Seward","Charter",87,13.3110166823064,17.703786817025
"83",NA,1994,6,9,5,7,NA,"","F",116.8,NA,NA,485931,0,"Seward","Charter",117,34.7609023202377,46.2323516627348
"84",NA,1994,6,9,5,8,NA,"","F",109.6,NA,NA,485931,0,"Seward","Charter",110,28.4630312197507,37.8561194015034
"85",NA,1994,6,9,5,9,NA,"","M",92.8,NA,NA,485931,0,"Seward","Charter",93,16.5216570328072,21.9739709560743
"86",NA,1994,6,9,5,10,NA,"","F",164.4,NA,NA,485932,0,"Seward","Charter",164,103.815671382488,138.0758929455
"87",NA,1994,6,9,5,11,NA,"","F",48.7,NA,NA,485932,0,"Seward","Charter",49,2.072068690791,2.75587231595596
"88",NA,1994,6,9,5,12,NA,"","F",69,NA,NA,NA,0,"Seward","SewMilC",69,6.2811606783156,8.35400723073185
"89",NA,1994,6,9,5,13,NA,"","F",69.6,NA,NA,495938,0,"Seward","Private",70,6.58091829516383,8.7526878929321
"90",NA,1994,6,9,5,14,NA,"","M",68.7,NA,NA,495938,0,"Seward","Private",69,6.2811606783156,8.35400723073185
"91",NA,1994,6,9,5,15,NA,"","F",82.2,NA,NA,NA,0,"Seward","SewMilC",82,10.9881791366113,14.614389387734
"92",NA,1994,6,10,6,1,NA,"","M",68.1,NA,NA,NA,0,"Seward","SewMilC",68,5.99097802244174,7.96806136347005
"93",NA,1994,6,10,6,2,NA,"","M",74.9,NA,NA,NA,0,"Seward","SewMilC",75,8.22938427965115,10.9451643251248
"94",NA,1994,6,10,6,3,NA,"","M",68.2,NA,NA,NA,0,"Seward","SewMilC",68,5.99097802244174,7.96806136347005
"95",NA,1994,6,10,6,4,NA,"","F",43.5,NA,NA,NA,0,"Seward","Private",44,1.46202743097829,1.94451127035907
"96",NA,1994,6,10,6,5,NA,"","F",76.3,NA,NA,NA,0,"Seward","SewMilC",76,8.5902319024382,11.4250953130969
"97",NA,1994,6,10,6,6,NA,"","F",67.7,NA,NA,NA,0,"Seward","SewMilC",68,5.99097802244174,7.96806136347005
"98",NA,1994,6,10,6,7,NA,"","F",73.6,NA,NA,NA,0,"Seward","SewMilC",74,7.87915458445051,10.4793552882339
"99",NA,1994,6,10,6,8,NA,"","F",92.6,NA,NA,NA,0,"Seward","SewMilC",93,16.5216570328072,21.9739709560743
"100",NA,1994,6,10,6,9,NA,"","F",59.3,NA,NA,NA,0,"Seward","SewMilC",59,3.78206829564632,5.03018908559809
"101",NA,1994,6,12,7,1,NA,"","F",85,NA,NA,NA,0,"Seward","SewMilC",85,12.344859985371,16.4187886382518
"102",NA,1994,6,12,7,2,NA,"","M",95.8,NA,NA,NA,0,"Seward","SewMilC",96,18.3116569755219,24.3546889842045
"103",NA,1994,6,12,7,3,NA,"","M",85,NA,NA,NA,0,"Seward","SewMilC",85,12.344859985371,16.4187886382518
"104",NA,1994,6,12,7,4,NA,"","M",78.1,NA,NA,NA,0,"Seward","SewMilC",78,9.34448480063655,12.4282592963242
"105",NA,1994,6,12,7,5,NA,"","F",79.7,NA,NA,NA,0,"Seward","SewMilC",80,10.1433265474259,13.4907268991556
"106",NA,1994,6,12,7,6,NA,"","F",108,NA,NA,NA,0,"Seward","SewMilC",108,26.8201879531908,35.6711212410232
"107",NA,1994,6,12,7,7,NA,"","F",65.9,NA,NA,NA,0,"Seward","SewMilC",66,5.43865111903038,7.23346099561835
"108",NA,1994,6,12,7,8,NA,"","F",67.5,NA,NA,NA,0,"Seward","SewMilC",68,5.99097802244174,7.96806136347005
"109",NA,1994,6,12,7,9,NA,"","F",79.4,NA,NA,NA,0,"Seward","SewMilC",79,9.7382433958611,12.9519622105045
"110",NA,1994,6,12,7,10,NA,"","F",70.2,NA,NA,NA,0,"Seward","SewMilC",70,6.58091829516383,8.7526878929321
"111",NA,1994,6,12,7,11,NA,"","F",69.4,NA,NA,NA,0,"Seward","SewMilC",69,6.2811606783156,8.35400723073185
"112",NA,1994,6,12,7,12,NA,"","F",102.1,NA,NA,NA,0,"Seward","SewMilC",102,22.2860656615977,29.6406927344324
"113",NA,1994,6,12,7,13,NA,"","M",77.8,NA,NA,NA,0,"Seward","SewMilC",78,9.34448480063655,12.4282592963242
"114",NA,1994,6,12,7,14,NA,"","F",96.5,NA,NA,485931,0,"Seward","Charter",97,18.9369166767327,25.1862907107824
"115",NA,1994,6,12,7,15,NA,"","M",84.5,NA,NA,485931,0,"Seward","Charter",85,12.344859985371,16.4187886382518
"116",NA,1994,6,12,7,16,NA,"","F",113.7,NA,NA,NA,0,"Seward","Unknown",114,31.9551284463005,42.5006440323936
"117",NA,1994,6,12,7,17,NA,"","F",101.4,NA,NA,485931,0,"Seward","Charter",101,21.5858969931053,28.7094613237299
"118",NA,1994,6,12,7,18,NA,"","F",95.7,NA,NA,NA,0,"Seward","Charter",96,18.3116569755219,24.3546889842045
"119",NA,1994,6,12,7,19,NA,"","M",88.5,NA,NA,NA,0,"Seward","Charter",89,14.3282275744224,19.0566875917582
"120",NA,1994,6,12,7,20,NA,"","F",86.7,NA,NA,NA,0,"Seward","SewMilC",87,13.3110166823064,17.703786817025
"121",NA,1994,6,12,7,21,NA,"","F",74.6,NA,NA,NA,0,"Seward","SewMilC",75,8.22938427965115,10.9451643251248
"122",NA,1994,6,12,7,22,NA,"","M",64.6,NA,NA,NA,0,"Seward","SewMilC",65,5.17616515408831,6.8843520074242
"123",NA,1994,6,12,7,23,NA,"","F",101.3,NA,NA,NA,0,"Seward","SewMilC",101,21.5858969931053,28.7094613237299
"124",NA,1994,6,12,7,24,NA,"","M",91.9,NA,NA,485932,0,"Seward","Charter",92,15.9529649068762,21.2176046767513
"125",NA,1994,6,12,7,25,NA,"","M",65.8,NA,NA,485935,0,"Seward","Private",66,5.43865111903038,7.23346099561835
"126",NA,1994,6,12,7,26,NA,"","F",85.8,NA,NA,485932,0,"Seward","Charter",86,12.8216474535934,17.0529207932853
"127",NA,1994,6,12,7,27,NA,"","M",96.6,NA,NA,485932,0,"Seward","Charter",97,18.9369166767327,25.1862907107824
"128",NA,1994,6,12,7,28,NA,"","F",95.6,NA,NA,485932,0,"Seward","Charter",96,18.3116569755219,24.3546889842045
"129",NA,1994,6,12,7,29,NA,"","M",54.5,NA,NA,485935,0,"Seward","Private",55,3.01261728261902,4.00681145593239
"130",NA,1994,6,12,7,30,NA,"","F",90.8,NA,NA,485932,0,"Seward","Charter",91,15.3979519606891,20.4794318448409
"131",NA,1994,6,12,8,1,3,"","F",99.2,NA,9,NA,0,"Seward","SewMilC",99,20.2314439303907,26.9080250511842
"132",NA,1994,6,12,8,2,NA,"I","F",62.3,NA,NA,NA,0,"Seward","SewMilC",62,4.44137990441386,5.90708019363236
"133",NA,1994,6,12,8,3,3,"","F",65.9,NA,6,NA,0,"Seward","SewMilC",66,5.43865111903038,7.23346099561835
"134",NA,1994,6,12,8,4,3,"","M",58.7,NA,7,NA,0,"Seward","SewMilC",59,3.78206829564632,5.03018908559809
"135",NA,1994,6,12,8,5,3,"","F",67.4,NA,6,NA,0,"Seward","SewMilC",67,5.71019855759206,7.59462183537565
"136",NA,1994,6,12,8,6,3,"","M",61.2,NA,6,NA,0,"Seward","SewMilC",61,4.21344679894347,5.60392685800819
"137",NA,1994,6,12,8,7,2,"","F",81.2,NA,7,NA,0,"Seward","SewMilC",81,10.5599122758681,14.0447901313923
"138",NA,1994,6,12,8,8,2,"","F",94.2,NA,9,NA,0,"Seward","SewMilC",94,17.1042129489918,22.7487762166551
"139",NA,1994,6,12,8,9,2,"","F",77.5,NA,10,NA,0,"Seward","SewMilC",78,9.34448480063655,12.4282592963242
"140",NA,1994,6,12,8,10,2,"","F",108.4,NA,14,NA,0,"Seward","SewMilC",108,26.8201879531908,35.6711212410232
"141",NA,1994,6,12,8,11,1,"","F",85,NA,12,NA,0,"Seward","SewMilC",85,12.344859985371,16.4187886382518
"142",NA,1994,6,12,8,12,1,"","F",85.4,NA,7,NA,0,"Seward","Unknown",85,12.344859985371,16.4187886382518
"143",NA,1994,6,12,8,13,3,"","M",87.7,NA,14,NA,0,"Seward","Charter",88,13.8131493343522,18.3716283228886
"144",NA,1994,6,12,8,14,2,"","M",95.6,NA,16,485932,0,"Seward","Charter",96,18.3116569755219,24.3546889842045
"145",NA,1994,6,12,8,15,2,"","F",118.3,NA,11,485932,0,"Seward","Charter",118,35.7327592174688,47.5249311655541
"146",NA,1994,6,12,8,16,1,"","M",92.2,NA,15,485932,0,"Seward","Charter",92,15.9529649068762,21.2176046767513
"147",NA,1994,6,12,8,17,2,"","F",88.7,NA,11,485932,0,"Seward","Charter",89,14.3282275744224,19.0566875917582
"148",NA,1994,6,12,8,18,2,"","M",82,NA,13,485932,0,"Seward","Charter",82,10.9881791366113,14.614389387734
"149",NA,1994,6,12,8,19,3,"","F",88.1,NA,9,485932,0,"Seward","Charter",88,13.8131493343522,18.3716283228886
"150",NA,1994,6,12,8,20,3,"","M",97.1,NA,13,485932,0,"Seward","Charter",97,18.9369166767327,25.1862907107824
"151",NA,1994,6,12,8,21,3,"","M",99.3,NA,13,485932,0,"Seward","Charter",99,20.2314439303907,26.9080250511842
"152",NA,1994,6,12,8,22,2,"","F",92.7,NA,10,485932,0,"Seward","Charter",93,16.5216570328072,21.9739709560743
"153",NA,1994,6,12,8,23,1,"","M",90,NA,12,485932,0,"Seward","Charter",90,14.8564340647168,19.7592075662069
"154",NA,1994,6,13,9,1,2,"","M",92.3,NA,12,485932,0,"Seward","Charter",92,15.9529649068762,21.2176046767513
"155",NA,1994,6,13,9,2,2,"","M",98.7,NA,15,485932,0,"Seward","Charter",99,20.2314439303907,26.9080250511842
"156",NA,1994,6,13,9,3,2,"","F",70.9,NA,10,495932,0,"Seward","Private",71,6.89042324147201,9.16433260189999
"157",NA,1994,6,13,9,4,2,"","F",76.3,NA,10,NA,0,"Seward","SewMilC",76,8.5902319024382,11.4250953130969
"158",NA,1994,6,13,9,5,2,"","F",106.2,NA,13,485932,0,"Seward","Charter",106,25.2440977221506,33.5749052929341
"159",NA,1994,6,13,9,6,1,"","M",108.4,NA,13,485932,0,"Seward","Charter",108,26.8201879531908,35.6711212410232
"160",NA,1994,6,13,9,7,1,"","F",82.2,NA,8,NA,0,"Seward","SewMilC",82,10.9881791366113,14.614389387734
"161",NA,1994,6,13,9,8,2,"","F",79.4,NA,9,NA,0,"Seward","SewMilC",79,9.7382433958611,12.9519622105045
"162",NA,1994,6,13,9,9,3,"","F",73.2,NA,7,NA,0,"Seward","SewMilC",73,7.53936755018688,10.0274350960078
"163",NA,1994,6,13,9,10,2,"","M",76.5,NA,9,NA,0,"Seward","SewMilC",77,8.96187328124,11.9193821057382
"164",NA,1994,6,13,9,11,2,"","F",86.3,NA,11,NA,0,"Seward","SewMilC",86,12.8216474535934,17.0529207932853
"165",NA,1994,6,13,9,12,2,"","F",74.5,NA,9,NA,0,"Seward","SewMilC",75,8.22938427965115,10.9451643251248
"166",NA,1994,6,13,9,13,2,"","F",75.3,NA,9,NA,0,"Seward","SewMilC",75,8.22938427965115,10.9451643251248
"167",NA,1994,6,13,9,14,3,"","F",69.6,NA,9,NA,0,"Seward","SewMilC",70,6.58091829516383,8.7526878929321
"168",NA,1994,6,13,9,15,3,"","M",62.3,NA,6,NA,0,"Seward","SewMilC",62,4.44137990441386,5.90708019363236
"169",NA,1994,6,13,9,16,3,"","",68.9,NA,8,NA,0,"Seward","SewMilC",69,6.2811606783156,8.35400723073185
"170",NA,1994,6,13,9,17,3,"","F",60.6,NA,6,NA,0,"Seward","SewMilC",61,4.21344679894347,5.60392685800819
"171",NA,1994,6,13,9,18,3,"","M",62.1,NA,8,NA,0,"Seward","Unknown",62,4.44137990441386,5.90708019363236
"172",NA,1994,6,13,9,19,3,"","M",63.5,NA,7,NA,0,"Seward","SewMilC",64,4.92257072920152,6.54706885743389
"173",NA,1994,6,13,9,20,2,"","M",70.3,NA,10,485932,0,"Seward","Charter",70,6.58091829516383,8.7526878929321
"174",NA,1994,6,13,9,21,3,"","M",58.7,NA,7,NA,0,"Seward","SewMilC",59,3.78206829564632,5.03018908559809
"175",NA,1994,6,13,9,22,2,"","F",79.5,NA,8,NA,0,"Seward","SewMilC",80,10.1433265474259,13.4907268991556
"176",NA,1994,6,13,9,23,2,"","F",92,NA,9,485932,0,"Seward","Charter",92,15.9529649068762,21.2176046767513
"177",NA,1994,6,13,9,24,2,"","M",93.6,NA,14,485932,0,"Seward","Charter",94,17.1042129489918,22.7487762166551
"178",NA,1994,6,13,9,25,2,"","F",98.9,NA,12,485932,0,"Seward","Charter",99,20.2314439303907,26.9080250511842
"179",NA,1994,6,13,9,26,2,"","F",128.9,NA,11,485932,0,"Seward","Charter",129,47.6957311427726,63.4358048214451
"180",NA,1994,6,13,9,27,2,"","M",84.7,NA,14,485932,0,"Seward","Charter",85,12.344859985371,16.4187886382518
"181",NA,1994,6,13,9,28,1,"","F",99.4,NA,12,485932,0,"Seward","Charter",99,20.2314439303907,26.9080250511842
"182",NA,1994,6,13,9,29,1,"","",NA,NA,17,485932,0,"Seward","Charter",NA,NA,NA
"183",NA,1994,6,13,9,30,2,"","F",81.8,NA,7,485932,0,"Seward","Charter",82,10.9881791366113,14.614389387734
"184",NA,1994,6,13,10,1,3,"","F",81,NA,9,NA,0,"Seward","SewMilC",81,10.5599122758681,14.0447901313923
"185",NA,1994,6,13,10,2,3,"","M",71.7,NA,7,NA,0,"Seward","SewMilC",72,7.20984847775072,9.58917139686394
"186",NA,1994,6,13,10,3,3,"","F",77.1,NA,7,NA,0,"Seward","SewMilC",77,8.96187328124,11.9193821057382
"187",NA,1994,6,13,10,4,2,"","M",68.4,NA,9,NA,0,"Seward","SewMilC",68,5.99097802244174,7.96806136347005
"188",NA,1994,6,13,10,5,2,"","M",66.7,NA,10,NA,0,"Seward","SewMilC",67,5.71019855759206,7.59462183537565
"189",NA,1994,6,13,10,6,3,"","M",80.5,NA,10,NA,0,"Seward","SewMilC",81,10.5599122758681,14.0447901313923
"190",NA,1994,6,13,10,7,3,"","M",65.8,NA,9,NA,0,"Seward","SewMilC",66,5.43865111903038,7.23346099561835
"191",NA,1994,6,13,10,8,2,"","M",83.1,NA,14,NA,0,"Seward","Charter",83,11.4283062149386,15.1997628534186
"192",NA,1994,6,13,10,9,2,"","F",87.7,NA,11,NA,0,"Seward","Charter",88,13.8131493343522,18.3716283228886
"193",NA,1994,6,13,10,10,2,"","F",172.2,NA,14,485932,0,"Seward","Charter",172,121.138172401044,161.114994502472
"194",NA,1994,6,13,10,11,3,"","F",81.4,NA,6,485935,0,"Seward","Private",81,10.5599122758681,14.0447901313923
"195",NA,1994,6,13,10,12,2,"","F",82.5,NA,10,495932,0,"Seward","Charter",83,11.4283062149386,15.1997628534186
"196",NA,1994,6,13,10,13,1,"","M",80.7,NA,14,NA,0,"Seward","Charter",81,10.5599122758681,14.0447901313923
"197",NA,1994,6,13,10,14,3,"","F",65.2,NA,7,NA,0,"Seward","SewMilC",65,5.17616515408831,6.8843520074242
"198",NA,1994,6,13,10,15,2,"","F",78.1,NA,7,NA,0,"Seward","SewMilC",78,9.34448480063655,12.4282592963242
"199",NA,1994,6,13,10,16,2,"","F",75.9,NA,9,NA,0,"Seward","SewMilC",76,8.5902319024382,11.4250953130969
"200",NA,1994,6,13,10,17,3,"","",NA,NA,9,NA,0,"Seward","SewMilC",NA,NA,NA
"201",NA,1994,6,13,10,18,3,"","F",63.8,NA,6,NA,0,"Seward","SewMilC",64,4.92257072920152,6.54706885743389
"202",NA,1994,6,13,10,19,2,"","M",74.6,NA,9,NA,0,"Seward","SewMilC",75,8.22938427965115,10.9451643251248
"203",NA,1994,6,13,10,20,3,"","F",69.1,NA,6,NA,0,"Seward","SewMilC",69,6.2811606783156,8.35400723073185
"204",NA,1994,6,13,10,21,2,"","F",73.2,NA,7,NA,0,"Seward","SewMilC",73,7.53936755018688,10.0274350960078
"205",NA,1994,6,13,10,22,3,"","",77.6,NA,8,NA,0,"Seward","SewMilC",78,9.34448480063655,12.4282592963242
"206",NA,1994,6,13,10,23,2,"","F",68.5,NA,6,NA,0,"Seward","SewMilC",69,6.2811606783156,8.35400723073185
"207",NA,1994,6,13,10,24,3,"","M",71.4,NA,7,NA,0,"Seward","SewMilC",71,6.89042324147201,9.16433260189999
"208",NA,1994,6,13,10,25,2,"","F",105.8,NA,10,NA,0,"Seward","SewMilC",106,25.2440977221506,33.5749052929341
"209",NA,1994,6,13,10,26,2,"","M",115.3,NA,17,NA,0,"Seward","SewMilC",115,32.8722818526814,43.720467339103
"210",NA,1994,6,13,10,27,3,"","M",76.5,NA,9,NA,0,"Seward","SewMilC",77,8.96187328124,11.9193821057382
"211",NA,1994,6,13,10,28,3,"","F",58,NA,5,NA,0,"Seward","SewMilC",58,3.57829011234887,4.75916204077032
"212",NA,1994,6,13,10,29,NA,"I","F",79.2,NA,NA,NA,0,"Seward","SewMilC",79,9.7382433958611,12.9519622105045
