"","year","page","line","port","age","AgeErr","length2","sex2","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","MONTH","DAY","SUB","LITHO"
"53",2007,3,28,"CCI",11,"",81,"F","F",81,10.6,14,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"54",2007,3,29,"CCI",NA,"",NA,"","F",89,14.3,19.1,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"55",2007,3,30,"CCI",NA,"",NA,"","F",107,26,34.6,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"56",2007,3,31,"CCI",NA,"I",84,"F","F",84,11.9,15.8,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"57",2007,3,32,"CCI",NA,"",NA,"","F",104,23.7,31.6,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"58",2007,3,33,"CCI",NA,"",NA,"","F",97,18.9,25.2,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"59",2007,3,34,"CCI",NA,"",NA,"","F",100,20.9,27.8,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"60",2007,3,35,"CCI",NA,"",NA,"","F",107,26,34.6,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"61",2007,3,36,"CCI",NA,"",NA,"","F",98,19.6,26,NA,NA,"Charter","RED RYDER",525931,NA,5,24,1,NA
"62",2007,3,37,"CCI",7,"",78,"F","F",78,9.3,12.4,NA,NA,"Private","",NA,NA,5,24,1,NA
"63",2007,3,38,"CCI",7,"",89,"F","F",89,14.3,19.1,NA,NA,"Private","",NA,NA,5,24,1,NA
"64",2007,3,39,"CCI",8,"",85,"F","F",85,12.3,16.4,NA,NA,"Private","",NA,NA,5,24,1,NA
"65",2007,3,40,"CCI",6,"",83,"F","F",83,11.4,15.2,NA,NA,"Private","",NA,NA,5,24,1,NA
"66",2007,3,41,"CCI",8,"",89,"F","F",89,14.3,19.1,NA,NA,"Private","",NA,NA,5,24,1,NA
"67",2007,3,42,"CCI",9,"",79,"F","F",79,9.7,13,NA,NA,"Private","",NA,NA,5,24,1,NA
"68",2007,3,43,"CCI",7,"",84,"F","F",84,11.9,15.8,NA,NA,"Private","",NA,NA,5,24,1,NA
"69",2007,4,1,"CCI",7,"",91,"F","F",91,15.4,20.5,NA,NA,"Private","",525931,NA,5,26,1,NA
"70",2007,4,2,"CCI",7,"",88,"F","F",88,13.8,18.4,NA,NA,"Private","",525931,NA,5,26,1,NA
"71",2007,4,3,"CCI",8,"",89,"F","F",89,14.3,19.1,NA,NA,"Private","",525931,NA,5,26,1,NA
"72",2007,4,4,"CCI",8,"",90,"F","F",90,14.9,19.8,NA,NA,"Private","",525931,NA,5,26,1,NA
"73",2007,4,5,"CCI",8,"",95,"F","F",95,17.7,23.5,NA,NA,"Private","",525931,NA,5,26,1,NA
"74",2007,4,6,"CCI",8,"",83,"F","F",83,11.4,15.2,NA,NA,"Private","",525931,NA,5,26,1,NA
"75",2007,4,7,"CCI",7,"",91,"F","F",91,15.4,20.5,NA,NA,"Private","",525931,NA,5,26,1,NA
"76",2007,4,8,"CCI",7,"",96,"F","F",96,18.3,24.4,NA,NA,"Private","",525931,NA,5,26,1,NA
"77",2007,4,9,"CCI",7,"",91,"F","F",91,15.4,20.5,NA,NA,"Private","",525931,NA,5,26,1,NA
"78",2007,4,10,"CCI",8,"",87,"F","F",87,13.3,17.7,NA,NA,"Private","",525931,NA,5,26,1,NA
"79",2007,4,11,"CCI",9,"",100,"F","F",100,20.9,27.8,NA,NA,"Private","",515938,NA,5,26,1,NA
"80",2007,4,12,"CCI",8,"",93,"F","F",93,16.5,22,NA,NA,"Private","",515938,NA,5,26,1,NA
"81",2007,4,13,"CCI",7,"",78,"F","F",78,9.3,12.4,NA,NA,"Private","",515938,NA,5,26,1,NA
"82",2007,4,14,"CCI",15,"",83,"M","M",83,11.4,15.2,NA,NA,"Private","",515938,NA,5,26,1,NA
"83",2007,4,15,"CCI",7,"",87,"F","F",87,13.3,17.7,NA,NA,"Private","",515938,NA,5,26,1,NA
"84",2007,4,16,"CCI",7,"",71,"F","F",71,6.9,9.2,NA,NA,"Private","",515938,NA,5,26,1,NA
"85",2007,4,17,"CCI",8,"",80,"F","F",80,10.1,13.5,NA,NA,"Private","",515938,NA,5,26,1,NA
"86",2007,4,18,"CCI",9,"",84,"F","F",84,11.9,15.8,NA,NA,"Private","",515938,NA,5,26,1,NA
"87",2007,4,19,"CCI",6,"",81,"F","F",81,10.6,14,NA,NA,"Private","",515938,NA,5,26,1,NA
"88",2007,4,20,"CCI",7,"",99,"F","F",99,20.2,26.9,NA,NA,"Private","",515938,NA,5,26,1,NA
"89",2007,4,21,"CCI",NA,"I",74,"F","F",74,7.9,10.5,NA,NA,"Private","",515938,NA,5,26,1,NA
"90",2007,4,22,"CCI",7,"",88,"F","F",88,13.8,18.4,NA,NA,"Private","",515938,NA,5,26,1,NA
"91",2007,4,23,"CCI",8,"",90,"F","F",90,14.9,19.8,NA,NA,"Private","",515938,NA,5,26,1,NA
"92",2007,4,24,"CCI",7,"",84,"F","F",84,11.9,15.8,NA,NA,"Private","",515938,NA,5,26,1,NA
"93",2007,4,25,"CCI",7,"",70,"M","M",70,6.6,8.8,NA,NA,"Private","",515938,NA,5,26,1,NA
"94",2007,4,26,"CCI",7,"",85,"F","F",85,12.3,16.4,NA,NA,"Private","",515938,NA,5,26,1,NA
"95",2007,4,27,"CCI",9,"",98,"F","F",98,19.6,26,NA,NA,"Private","",515938,NA,5,26,1,NA
"96",2007,4,28,"CCI",7,"",89,"F","F",89,14.3,19.1,NA,NA,"Private","",NA,NA,5,26,1,NA
"97",2007,4,29,"CCI",17,"",86,"M","M",86,12.8,17.1,NA,NA,"Private","",NA,NA,5,26,1,NA
"98",2007,4,30,"CCI",11,"",84,"M","M",84,11.9,15.8,NA,NA,"Private","",NA,NA,5,26,1,NA
"99",2007,4,31,"CCI",10,"",84,"F","F",84,11.9,15.8,NA,NA,"Private","",NA,NA,5,26,1,NA
"100",2007,4,32,"CCI",8,"",89,"F","F",89,14.3,19.1,NA,NA,"Private","",NA,NA,5,26,1,NA
"101",2007,4,33,"CCI",8,"",99,"F","F",99,20.2,26.9,NA,NA,"Private","",NA,NA,5,26,1,NA
"102",2007,4,34,"CCI",8,"",81,"M","M",81,10.6,14,NA,NA,"Private","",NA,NA,5,26,1,NA
"103",2007,4,35,"CCI",13,"",125,"F","F",125,43.1,57.3,NA,NA,"Private","",NA,NA,5,26,1,NA
"104",2007,4,36,"CCI",7,"",79,"F","F",79,9.7,13,NA,NA,"Private","",515938,NA,5,26,1,NA
"105",2007,4,37,"CCI",7,"",65,"F","F",65,5.2,6.9,NA,NA,"Private","",NA,NA,5,26,1,NA
"106",2007,4,38,"CCI",7,"",59,"F","F",59,3.8,5,NA,NA,"Private","",NA,NA,5,26,1,NA
"107",2007,4,39,"CCI",9,"",104,"F","F",104,23.7,31.6,NA,NA,"Private","",NA,NA,5,26,1,NA
"108",2007,4,40,"CCI",6,"",73,"F","F",73,7.5,10,NA,NA,"Private","",NA,NA,5,26,1,NA
"109",2007,4,41,"CCI",7,"",88,"F","F",88,13.8,18.4,NA,NA,"Private","",NA,NA,5,26,1,NA
"110",2007,4,42,"CCI",7,"",85,"F","F",85,12.3,16.4,NA,NA,"Private","",NA,NA,5,26,1,NA
"111",2007,4,43,"CCI",11,"",136,"F","F",136,56.6,75.3,NA,NA,"Private","",NA,NA,5,26,1,NA
"112",2007,4,44,"CCI",7,"",72,"F","F",72,7.2,9.6,NA,NA,"Private","",NA,NA,5,26,1,NA
"113",2007,4,45,"CCI",5,"",67,"F","F",67,5.7,7.6,NA,NA,"Private","",NA,NA,5,26,1,NA
"114",2007,4,46,"CCI",6,"",69,"F","F",69,6.3,8.4,NA,NA,"Private","",NA,NA,5,26,1,NA
"115",2007,4,47,"CCI",7,"",84,"F","F",84,11.9,15.8,NA,NA,"Private","",NA,NA,5,26,1,NA
"116",2007,4,48,"CCI",7,"",72,"M","M",72,7.2,9.6,NA,NA,"Private","",NA,NA,5,26,1,NA
"117",2007,5,1,"CCI",NA,"",NA,"","M",76,8.6,11.4,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"118",2007,5,2,"CCI",11,"",82,"M","M",82,11,14.6,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"119",2007,5,3,"CCI",8,"",86,"F","F",86,12.8,17.1,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"120",2007,5,4,"CCI",NA,"",NA,"","F",84,11.9,15.8,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"121",2007,5,5,"CCI",8,"",94,"F","F",94,17.1,22.7,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"122",2007,5,6,"CCI",NA,"",NA,"","F",87,13.3,17.7,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"123",2007,5,7,"CCI",NA,"",NA,"","F",104,23.7,31.6,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"124",2007,5,8,"CCI",14,"",93,"M","M",93,16.5,22,NA,NA,"Charter","CAPTURE",525931,NA,5,30,1,NA
"125",2007,6,1,"CCI",7,"",85,"F","F",85,12.3,16.4,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"126",2007,6,2,"CCI",7,"",88,"F","F",88,13.8,18.4,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"127",2007,6,3,"CCI",7,"",94,"F","F",94,17.1,22.7,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"128",2007,6,4,"CCI",8,"",81,"F","F",81,10.6,14,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"129",2007,6,5,"CCI",NA,"",NA,"","F",86,12.8,17.1,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"130",2007,6,6,"CCI",NA,"",NA,"","F",94,17.1,22.7,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"131",2007,6,7,"CCI",NA,"",NA,"","F",86,12.8,17.1,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"132",2007,6,8,"CCI",7,"",74,"F","F",74,7.9,10.5,NA,NA,"Charter","MARILYN J",525931,NA,5,31,2,NA
"133",2007,6,9,"CCI",8,"",94,"F","F",94,17.1,22.7,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"134",2007,6,10,"CCI",10,"",142,"F","F",142,65.1,86.6,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"135",2007,6,11,"CCI",11,"",104,"F","F",104,23.7,31.6,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"136",2007,6,12,"CCI",8,"",97,"F","F",97,18.9,25.2,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"137",2007,6,13,"CCI",NA,"",NA,"","F",90,14.9,19.8,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"138",2007,6,14,"CCI",NA,"",NA,"","F",90,14.9,19.8,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"139",2007,6,15,"CCI",NA,"",NA,"","F",103,23,30.6,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"140",2007,6,16,"CCI",NA,"",NA,"","F",82,11,14.6,NA,NA,"Charter","MARNI K",525931,NA,5,31,2,NA
"141",2007,6,17,"CCI",NA,"",NA,"","M",90,14.9,19.8,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"142",2007,6,18,"CCI",NA,"",NA,"","F",86,12.8,17.1,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"143",2007,6,19,"CCI",NA,"",NA,"","F",91,15.4,20.5,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"144",2007,6,20,"CCI",NA,"",NA,"","M",84,11.9,15.8,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"145",2007,6,21,"CCI",NA,"",NA,"","M",82,11,14.6,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"146",2007,6,22,"CCI",NA,"",NA,"","F",90,14.9,19.8,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"147",2007,6,23,"CCI",NA,"",NA,"","F",91,15.4,20.5,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"148",2007,6,24,"CCI",19,"",87,"M","M",87,13.3,17.7,NA,NA,"Charter","THE TRAPPER",525931,NA,5,31,2,NA
"149",2007,7,1,"CCI",NA,"",NA,"","F",88,13.8,18.4,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"150",2007,7,2,"CCI",NA,"",NA,"","F",95,17.7,23.5,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"151",2007,7,3,"CCI",NA,"",NA,"","F",95,17.7,23.5,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"152",2007,7,4,"CCI",NA,"",NA,"","F",83,11.4,15.2,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"153",2007,7,5,"CCI",NA,"",NA,"","F",80,10.1,13.5,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"154",2007,7,6,"CCI",NA,"",NA,"","F",80,10.1,13.5,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"155",2007,7,7,"CCI",NA,"",NA,"","F",131,50.1,66.7,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"156",2007,7,8,"CCI",7,"",77,"F","F",77,9,11.9,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,6,4,1,NA
"157",2007,7,9,"CCI",NA,"",NA,"","F",74,7.9,10.5,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"158",2007,7,10,"CCI",NA,"",NA,"","F",97,18.9,25.2,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"159",2007,7,11,"CCI",NA,"",NA,"","F",84,11.9,15.8,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"160",2007,7,12,"CCI",NA,"",NA,"","M",75,8.2,10.9,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"161",2007,7,13,"CCI",NA,"",NA,"","F",80,10.1,13.5,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"162",2007,7,14,"CCI",NA,"",NA,"","M",88,13.8,18.4,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"163",2007,7,15,"CCI",NA,"",NA,"","F",80,10.1,13.5,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"164",2007,7,16,"CCI",8,"",81,"F","F",81,10.6,14,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"165",2007,7,17,"CCI",NA,"",NA,"","F",78,9.3,12.4,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"166",2007,7,18,"CCI",NA,"",NA,"","F",83,11.4,15.2,NA,NA,"Charter","THE RIGHT ONE",525931,NA,6,4,1,NA
"167",2007,7,19,"CCI",NA,"",NA,"","F",83,11.4,15.2,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"168",2007,7,20,"CCI",NA,"",NA,"","F",85,12.3,16.4,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"169",2007,7,21,"CCI",NA,"",NA,"","F",85,12.3,16.4,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"170",2007,7,22,"CCI",9,"",107,"F","F",107,26,34.6,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"171",2007,7,23,"CCI",7,"",88,"F","F",88,13.8,18.4,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"172",2007,7,24,"CCI",NA,"",NA,"","F",88,13.8,18.4,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"173",2007,7,25,"CCI",7,"",82,"F","F",82,11,14.6,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"174",2007,7,26,"CCI",8,"",83,"F","F",83,11.4,15.2,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"175",2007,7,27,"CCI",8,"",88,"F","F",88,13.8,18.4,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"176",2007,7,28,"CCI",NA,"",NA,"","M",88,13.8,18.4,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"177",2007,7,29,"CCI",NA,"",NA,"","F",81,10.6,14,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"178",2007,7,30,"CCI",NA,"",NA,"","F",109,27.6,36.8,NA,NA,"Charter","JODI LYNN III",525931,NA,6,4,1,NA
"179",2007,8,1,"CCI",NA,"",NA,"","F",88,13.8,18.4,NA,NA,"Charter","GAME FISHER",525931,NA,6,5,2,NA
"180",2007,8,2,"CCI",8,"",99,"F","F",99,20.2,26.9,NA,NA,"Charter","GAME FISHER",525931,NA,6,5,2,NA
"181",2007,8,3,"CCI",NA,"",NA,"","F",90,14.9,19.8,NA,NA,"Charter","GAME FISHER",525931,NA,6,5,2,NA
"182",2007,8,4,"CCI",NA,"",NA,"","F",90,14.9,19.8,NA,NA,"Charter","GAME FISHER",525931,NA,6,5,2,NA
"183",2007,8,5,"CCI",11,"",95,"F","F",95,17.7,23.5,NA,NA,"Charter","GAME FISHER",525931,NA,6,5,2,NA
"184",2007,8,6,"CCI",NA,"",NA,"","F",92,16,21.2,NA,NA,"Charter","GAME FISHER",525931,NA,6,5,2,NA
"185",2007,8,7,"CCI",8,"",88,"F","F",88,13.8,18.4,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"186",2007,8,8,"CCI",NA,"",NA,"","F",98,19.6,26,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"187",2007,8,9,"CCI",5,"",93,"F","F",93,16.5,22,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"188",2007,8,10,"CCI",NA,"",NA,"","F",91,15.4,20.5,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"189",2007,8,11,"CCI",7,"",90,"F","F",90,14.9,19.8,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"190",2007,8,12,"CCI",9,"",115,"F","F",115,32.9,43.7,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"191",2007,8,13,"CCI",8,"",88,"F","F",88,13.8,18.4,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"192",2007,8,14,"CCI",12,"",83,"M","M",83,11.4,15.2,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"193",2007,8,15,"CCI",8,"",85,"F","F",85,12.3,16.4,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"194",2007,8,16,"CCI",8,"",96,"F","F",96,18.3,24.4,NA,NA,"Charter","CATCHER",525931,NA,6,5,2,NA
"195",2007,8,17,"CCI",NA,"",NA,"","F",83,11.4,15.2,NA,NA,"Charter","SPARE CHANGE",525931,NA,6,5,2,NA
"196",2007,8,18,"CCI",NA,"",NA,"","F",89,14.3,19.1,NA,NA,"Charter","SPARE CHANGE",525931,NA,6,5,2,NA
"197",2007,8,19,"CCI",8,"",78,"M","M",78,9.3,12.4,NA,NA,"Charter","SPARE CHANGE",525931,NA,6,5,2,NA
"198",2007,8,20,"CCI",NA,"",NA,"","F",81,10.6,14,NA,NA,"Charter","SPARE CHANGE",525931,NA,6,5,2,NA
"199",2007,8,21,"CCI",7,"",105,"F","F",105,24.5,32.6,NA,NA,"Charter","SPARE CHANGE",525931,NA,6,5,2,NA
"200",2007,8,22,"CCI",NA,"",NA,"","F",82,11,14.6,NA,NA,"Charter","SPARE CHANGE",525931,NA,6,5,2,NA
"201",2007,8,23,"CCI",NA,"",NA,"","F",94,17.1,22.7,NA,NA,"Charter","SPARE CHANGE",525931,NA,6,5,2,NA
