"","PORT","PAGE","LINE","SEX","LENGTH","NETWT","RNDWT","AGE","AGE2","AGECONF","AGEERR","USER","BOATNAME","STATAREA","CAS","GAF","TOSSED","YEAR","MONTH","DAY","SUB"
"53","Kodiak",4,24,"U",120,37.7325439379309,50.1846650698821,NA,NA,NA,"","Charter","C-DEVIL",525732,NA,0,"",2014,6,11,NA
"54","Kodiak",5,1,"F",111,29.3099650456363,38.9825499559431,NA,NA,NA,"","Charter","OUTCAST",525731,NA,0,"",2014,6,12,NA
"55","Kodiak",5,2,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Charter","OUTCAST",525731,NA,0,"",2014,6,12,NA
"56","Kodiak",5,3,"F",118,35.7327592174688,47.5249311655541,NA,NA,NA,"","Charter","OUTCAST",525731,NA,0,"",2014,6,12,NA
"57","Kodiak",5,4,"F",137,57.962016586709,77.0900682965838,NA,NA,NA,"","Charter","OUTCAST",525731,NA,0,"",2014,6,12,NA
"58","Kodiak",6,1,"U",86,12.8216474535934,17.0529207932853,NA,NA,NA,"","Charter","REEL FUN",525733,NA,0,"",2014,6,15,NA
"59","Kodiak",6,2,"U",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Charter","REEL FUN",525733,NA,0,"",2014,6,15,NA
"60","Kodiak",6,3,"U",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","REEL FUN",525733,NA,0,"",2014,6,15,NA
"61","Kodiak",6,4,"U",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","REEL FUN",525733,NA,0,"",2014,6,15,NA
"62","Kodiak",6,5,"U",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,15,NA
"63","Kodiak",6,6,"U",126,44.1946211578998,58.7792931308291,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,15,NA
"64","Kodiak",6,7,"U",105,24.4806067874466,32.5594546277194,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,15,NA
"65","Kodiak",6,8,"U",107,26.0238944567846,34.6120428369748,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,15,NA
"66","Kodiak",6,9,"U",87,13.3110166823064,17.703786817025,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"67","Kodiak",6,10,"U",57,3.38223190223092,4.49840263835221,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"68","Kodiak",6,11,"U",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"69","Kodiak",6,12,"U",101,21.5858969931053,28.7094613237299,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"70","Kodiak",6,13,"U",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"71","Kodiak",6,14,"U",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"72","Kodiak",6,15,"U",56,3.19372896254249,4.24769182202046,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"73","Kodiak",6,16,"U",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"74","Kodiak",6,17,"U",157,90.1329785442892,119.877773081951,NA,NA,NA,"","Charter","U-RASCAL",525806,NA,0,"",2014,6,15,NA
"75","Kodiak",7,1,"U",107,26.0238944567846,34.6120428369748,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,18,NA
"76","Kodiak",7,2,"U",100,20.9010858569024,27.7986555863006,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,18,NA
"77","Kodiak",7,3,"U",87,13.3110166823064,17.703786817025,NA,NA,NA,"","Private","P3",525733,NA,0,"",2014,6,18,NA
"78","Kodiak",7,4,"U",NA,NA,NA,NA,NA,NA,"","Private","P3",525733,NA,0,"",2014,6,18,NA
"79","Kodiak",7,5,"U",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Private","P3",525733,NA,0,"",2014,6,18,NA
"80","Kodiak",7,6,"U",110,28.4630312197507,37.8561194015034,NA,NA,NA,"","Charter","RUNNAMUCK V",525733,NA,0,"",2014,6,18,NA
"81","Kodiak",7,7,"U",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Charter","RUNNAMUCK V",525733,NA,0,"",2014,6,18,NA
"82","Kodiak",7,8,"U",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","RUNNAMUCK V",525733,NA,0,"",2014,6,18,NA
"83","Kodiak",7,9,"U",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Charter","RUNNAMUCK V",525733,NA,0,"",2014,6,18,NA
"84","Kodiak",7,10,"U",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Charter","RUNNAMUCK V",525733,NA,0,"",2014,6,18,NA
"85","Kodiak",7,11,"U",59,3.78206829564632,5.03018908559809,NA,NA,NA,"","Charter","U-RASCAL",525733,NA,0,"",2014,6,18,NA
"86","Kodiak",7,12,"U",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Charter","U-RASCAL",525733,NA,0,"",2014,6,18,NA
"87","Kodiak",7,13,"U",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Charter","U-RASCAL",525733,NA,0,"",2014,6,18,NA
"88","Kodiak",8,1,"U",103,23.0017806330211,30.5926008852709,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"89","Kodiak",8,2,"U",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"90","Kodiak",8,3,"U",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"91","Kodiak",8,4,"U",78,9.34448480063655,12.4282592963242,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"92","Kodiak",8,5,"U",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"93","Kodiak",8,6,"U",96,18.3116569755219,24.3546889842045,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"94","Kodiak",8,7,"U",NA,NA,NA,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"95","Kodiak",8,8,"U",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","MOONSHADOW",525733,NA,0,"",2014,6,19,NA
"96","Kodiak",8,9,"U",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Charter","FISH HAWK",525732,NA,0,"",2014,6,19,NA
"97","Kodiak",8,10,"U",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Charter","FISH HAWK",525732,NA,0,"",2014,6,19,NA
"98","Kodiak",8,11,"U",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Charter","FISH HAWK",525732,NA,0,"",2014,6,19,NA
"99","Kodiak",8,12,"U",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Charter","FISH HAWK",525732,NA,0,"",2014,6,19,NA
"100","Kodiak",9,1,"U",66,5.43865111903038,7.23346099561835,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"101","Kodiak",9,2,"U",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"102","Kodiak",9,3,"U",142,65.1003142585754,86.5840763979463,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"103","Kodiak",9,4,"U",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"104","Kodiak",9,5,"U",66,5.43865111903038,7.23346099561835,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"105","Kodiak",9,6,"U",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"106","Kodiak",9,7,"U",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"107","Kodiak",9,8,"U",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"108","Kodiak",9,9,"U",76,8.5902319024382,11.4250953130969,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"109","Kodiak",9,10,"U",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Charter","C-DEVIL",525733,NA,0,"",2014,6,20,NA
"110","Kodiak",10,1,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"111","Kodiak",10,2,"F",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"112","Kodiak",10,3,"F",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"113","Kodiak",10,4,"F",103,23.0017806330211,30.5926008852709,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"114","Kodiak",10,5,"U",NA,NA,NA,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"115","Kodiak",10,6,"F",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"116","Kodiak",10,7,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"117","Kodiak",10,8,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,25,NA
"118","Kodiak",11,1,"F",98,19.5767833424166,26.0373198478463,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,27,NA
"119","Kodiak",11,2,"F",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,27,NA
"120","Kodiak",12,1,"F",101,21.5858969931053,28.7094613237299,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,28,NA
"121","Kodiak",12,2,"F",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,28,NA
"122","Kodiak",12,3,"F",92,15.9529649068762,21.2176046767513,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,28,NA
"123","Kodiak",12,4,"F",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Private","P1",525733,NA,0,"",2014,6,28,NA
"124","Kodiak",12,5,"U",41,1.16302364691567,1.54683321338805,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,28,NA
"125","Kodiak",12,6,"M",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,28,NA
"126","Kodiak",12,7,"U",57,3.38223190223092,4.49840263835221,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,28,NA
"127","Kodiak",12,8,"F",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,28,NA
"128","Kodiak",12,9,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,28,NA
"129","Kodiak",12,10,"F",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P2",525733,NA,0,"",2014,6,28,NA
"130","Kodiak",12,11,"U",100,20.9010858569024,27.7986555863006,NA,NA,NA,"","Private","P3",525733,NA,0,"",2014,6,28,NA
"131","Kodiak",12,12,"U",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P3",525733,NA,0,"",2014,6,28,NA
"132","Kodiak",12,13,"U",71,6.89042324147201,9.16433260189999,NA,NA,NA,"","Private","P3",525733,NA,0,"",2014,6,28,NA
"133","Kodiak",12,14,"U",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Private","P3",525733,NA,0,"",2014,6,28,NA
"134","Kodiak",12,15,"U",102,22.2860656615977,29.6406927344324,NA,NA,NA,"","Charter","TROPHY 2",525733,NA,0,"",2014,6,28,NA
"135","Kodiak",13,1,"U",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"136","Kodiak",13,2,"U",139,60.7486739038316,80.796350713014,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"137","Kodiak",13,3,"U",94,17.1042129489918,22.7487762166551,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"138","Kodiak",13,4,"U",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"139","Kodiak",13,5,"U",66,5.43865111903038,7.23346099561835,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"140","Kodiak",13,6,"U",91,15.3979519606891,20.4794318448409,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"141","Kodiak",13,7,"U",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"142","Kodiak",13,8,"U",94,17.1042129489918,22.7487762166551,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"143","Kodiak",13,9,"U",84,11.8804731210747,15.8011494118613,NA,NA,NA,"","Charter","SHEARWATER",525731,NA,0,"",2014,6,29,NA
"144","Homer",1,1,"F",114,31.9551284463005,42.5006440323936,NA,NA,NA,"","HomCPort","FRINGE BENEFIT",515936,0,0,"",2014,5,16,NA
"145","Homer",1,2,"F",96,18.3116569755219,24.3546889842045,NA,NA,NA,"","HomCPort","FRINGE BENEFIT",515936,0,0,"",2014,5,16,NA
"146","Homer",1,3,"M",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","HomCPort","FRINGE BENEFIT",515936,0,0,"",2014,5,16,NA
"147","Homer",1,4,"F",90,14.8564340647168,19.7592075662069,NA,NA,NA,"","HomCPort","FRINGE BENEFIT",515936,0,0,"",2014,5,16,NA
"148","Homer",1,5,"F",106,25.2440977221506,33.5749052929341,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"149","Homer",1,6,"M",61,4.21344679894347,5.60392685800819,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"150","Homer",1,7,"F",59,3.78206829564632,5.03018908559809,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"151","Homer",1,8,"F",87,13.3110166823064,17.703786817025,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"152","Homer",1,9,"F",67,5.71019855759206,7.59462183537565,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"153","Homer",1,10,"F",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"154","Homer",1,11,"F",111,29.3099650456363,38.9825499559431,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"155","Homer",1,12,"F",122,39.8083979910079,52.9455719559642,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"156","Homer",1,13,"M",58,3.57829011234887,4.75916204077032,NA,NA,NA,"","HomCPort","OBSESSION",515936,0,0,"",2014,5,16,NA
"157","Homer",1,14,"M",74,7.87915458445051,10.4793552882339,NA,NA,NA,"","Private","P1",525901,0,0,"",2014,5,16,NA
"158","Homer",1,15,"F",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P1",525901,0,0,"",2014,5,16,NA
"159","Homer",1,16,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P1",525901,0,0,"",2014,5,16,NA
"160","Homer",1,17,"M",82,10.9881791366113,14.614389387734,NA,NA,NA,"","Private","P1",525901,0,0,"",2014,5,16,NA
"161","Homer",1,18,"F",72,7.20984847775072,9.58917139686394,NA,NA,NA,"","Private","P2",515932,0,0,"",2014,5,16,NA
"162","Homer",1,19,"F",70,6.58091829516383,8.7526878929321,NA,NA,NA,"","Private","P2",515932,0,0,"",2014,5,16,NA
"163","Homer",1,20,"M",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P2",515932,0,0,"",2014,5,16,NA
"164","Homer",1,21,"F",79,9.7382433958611,12.9519622105045,NA,NA,NA,"","Private","P2",515932,0,0,"",2014,5,16,NA
"165","Homer",1,22,"F",65,5.17616515408831,6.8843520074242,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"166","Homer",1,23,"F",112,30.174163738861,40.1319429585631,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"167","Homer",1,24,"M",61,4.21344679894347,5.60392685800819,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"168","Homer",1,25,"F",77,8.96187328124,11.9193821057382,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"169","Homer",1,26,"F",80,10.1433265474259,13.4907268991556,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"170","Homer",1,27,"F",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"171","Homer",1,28,"F",85,12.344859985371,16.4187886382518,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"172","Homer",1,29,"F",68,5.99097802244174,7.96806136347005,NA,NA,NA,"","Private","P3",515936,0,0,"",2014,5,16,NA
"173","Homer",1,30,"F",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P4",515935,0,0,"",2014,5,16,NA
"174","Homer",1,31,"F",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Private","P4",515935,0,0,"",2014,5,16,NA
"175","Homer",1,32,"F",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Private","P4",515935,0,0,"",2014,5,16,NA
"176","Homer",1,33,"F",54,2.83873355325578,3.77554433719397,NA,NA,NA,"","Private","P4",515935,0,0,"",2014,5,16,NA
"177","Homer",1,34,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P4",515935,0,0,"",2014,5,16,NA
"178","Homer",1,35,"F",83,11.4283062149386,15.1997628534186,NA,NA,NA,"","Private","P4",515935,0,0,"",2014,5,16,NA
"179","Homer",1,36,"F",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Private","P4",515935,0,0,"",2014,5,16,NA
"180","Homer",1,37,"F",120,37.7325439379309,50.1846650698821,NA,NA,NA,"","Private","P5",515907,0,0,"",2014,5,16,NA
"181","Homer",1,38,"F",73,7.53936755018688,10.0274350960078,NA,NA,NA,"","Private","P5",515907,0,0,"",2014,5,16,NA
"182","Homer",1,39,"U",52,2.51200027504725,3.34098577254875,NA,NA,NA,"","Private","P5",515907,0,0,"",2014,5,16,NA
"183","Homer",1,40,"F",61,4.21344679894347,5.60392685800819,NA,NA,NA,"","Private","P5",515907,0,0,"",2014,5,16,NA
"184","Homer",1,41,"F",89,14.3282275744224,19.0566875917582,NA,NA,NA,"","Private","P5",515907,0,0,"",2014,5,16,NA
"185","Homer",1,42,"F",65,5.17616515408831,6.8843520074242,NA,NA,NA,"","Private","P6",525901,0,0,"",2014,5,16,NA
"186","Homer",1,43,"M",64,4.92257072920152,6.54706885743389,NA,NA,NA,"","Private","P6",525901,0,0,"",2014,5,16,NA
"187","Homer",1,44,"F",97,18.9369166767327,25.1862907107824,NA,NA,NA,"","Private","P7",515933,0,0,"",2014,5,16,NA
"188","Homer",1,45,"F",69,6.2811606783156,8.35400723073185,NA,NA,NA,"","Private","P7",515933,0,0,"",2014,5,16,NA
