"","AREA","SITE","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","FINCLIP","STATAREA","USER","PORT","CAS","NETWT","RNDWT"
"15",17,754,NA,2001,5,26,3,1,NA,12,"","F",87,NA,"A ,  ,  ,  ,  ,",525731,"Private","Kodiak",0,13.3,17.7
"16",17,754,NA,2001,5,26,3,2,NA,9,"","M",90,NA,"A ,  ,  ,  ,  ,",525731,"Private","Kodiak",0,14.9,19.8
"17",17,754,NA,2001,5,26,3,3,NA,8,"","F",67,NA,"A ,  ,  ,  ,  ,",525731,"Private","Kodiak",0,5.7,7.6
"18",17,754,NA,2001,5,26,3,4,NA,7,"","M",67,NA,"A ,  ,  ,  ,  ,",525731,"Private","Kodiak",0,5.7,7.6
"19",17,754,NA,2001,5,26,3,5,NA,NA,"","F",119,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,36.7,48.8
"20",17,754,NA,2001,5,26,3,6,NA,9,"","F",123,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,40.9,54.4
"21",17,754,NA,2001,5,28,4,1,NA,10,"","M",79,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,9.7,13
"22",17,754,NA,2001,5,28,4,2,NA,13,"","F",123,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,40.9,54.4
"23",17,754,NA,2001,5,28,4,3,NA,11,"","F",89,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,14.3,19.1
"24",17,754,NA,2001,5,28,4,4,NA,13,"","M",83,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,11.4,15.2
"25",17,754,NA,2001,5,28,4,5,NA,9,"","F",81,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,10.6,14
"26",17,754,NA,2001,5,28,4,6,NA,8,"","F",90,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,14.9,19.8
"27",17,754,NA,2001,5,28,4,7,NA,7,"","F",64,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,4.9,6.5
"28",17,754,NA,2001,5,28,4,8,NA,10,"","F",101,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,21.6,28.7
"29",17,754,NA,2001,5,28,4,9,NA,4,"","F",69,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,6.3,8.4
"30",17,754,NA,2001,5,28,4,10,NA,5,"","M",59,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,3.8,5
"31",17,754,NA,2001,5,28,4,11,NA,13,"","F",115,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,32.9,43.7
"32",17,754,NA,2001,5,28,4,12,NA,15,"","M",88,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.8,18.4
"33",17,754,NA,2001,5,28,4,13,NA,16,"","M",87,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.3,17.7
"34",17,754,NA,2001,5,28,4,14,NA,4,"","F",65,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,5.2,6.9
"35",17,754,NA,2001,5,28,4,15,NA,13,"","F",109,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,27.6,36.8
"36",17,754,NA,2001,5,28,4,16,NA,6,"","F",71,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,6.9,9.2
"37",17,754,NA,2001,5,28,4,17,NA,5,"","F",60,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,4,5.3
"38",17,754,NA,2001,5,28,4,18,NA,6,"","F",87,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.3,17.7
"39",17,754,NA,2001,5,29,5,1,NA,7,"","F",108,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,26.8,35.7
"40",17,754,NA,2001,5,29,5,2,NA,5,"","F",62,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,4.4,5.9
"41",17,754,NA,2001,5,29,5,3,NA,13,"","F",118,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,35.7,47.5
"42",17,754,NA,2001,5,29,5,4,NA,9,"","F",104,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,23.7,31.6
"43",17,754,NA,2001,5,29,5,5,NA,5,"","F",72,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,7.2,9.6
"44",17,754,NA,2001,5,29,5,6,NA,9,"","M",78,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,9.3,12.4
"45",17,754,NA,2001,5,29,5,7,NA,11,"","M",79,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,9.7,13
"46",17,754,NA,2001,5,29,5,8,NA,12,"","M",89,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,14.3,19.1
"47",17,754,NA,2001,5,29,5,9,NA,8,"","F",90,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,14.9,19.8
"48",17,754,NA,2001,5,29,5,10,NA,8,"","F",83,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,11.4,15.2
"49",17,754,NA,2001,5,29,5,11,NA,7,"","F",67,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,5.7,7.6
"50",17,754,NA,2001,5,29,5,12,NA,6,"","F",77,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,9,11.9
"51",17,754,NA,2001,5,29,5,13,NA,12,"","M",85,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,12.3,16.4
"52",17,754,NA,2001,5,29,5,14,NA,9,"","F",81,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,10.6,14
"53",17,754,NA,2001,5,29,5,15,NA,13,"","F",149,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,76.1,101.2
"54",17,754,NA,2001,5,29,5,16,NA,13,"","F",83,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,11.4,15.2
"55",17,754,NA,2001,5,29,5,17,NA,9,"","F",101,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,21.6,28.7
"56",17,754,NA,2001,5,29,5,18,NA,NA,"I","F",141,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,63.6,84.6
"57",17,754,NA,2001,5,29,5,19,NA,4,"","F",65,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,5.2,6.9
"58",17,754,NA,2001,5,29,5,20,NA,6,"","F",85,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,12.3,16.4
"59",17,754,NA,2001,5,29,5,21,NA,6,"","F",73,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,7.5,10
"60",17,754,NA,2001,5,29,5,22,NA,12,"","M",90,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,14.9,19.8
"61",17,754,NA,2001,5,29,5,23,NA,14,"","F",124,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,42,55.8
"62",17,754,NA,2001,5,29,5,24,NA,12,"","M",77,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,9,11.9
"63",17,754,NA,2001,5,29,5,25,NA,13,"","F",110,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,28.5,37.9
"64",17,754,NA,2001,5,29,5,26,NA,6,"","F",85,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,12.3,16.4
"65",17,754,NA,2001,5,30,6,1,NA,7,"","M",72,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,7.2,9.6
"66",17,754,NA,2001,5,30,6,2,NA,6,"","M",65,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,5.2,6.9
"67",17,754,NA,2001,5,30,6,3,NA,7,"","M",64,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,4.9,6.5
"68",17,754,NA,2001,5,30,6,4,NA,5,"","F",63,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,4.7,6.2
"69",17,754,NA,2001,5,30,6,5,NA,7,"","M",77,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,9,11.9
"70",17,754,NA,2001,5,30,6,6,NA,6,"","F",68,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,6,8
"71",17,754,NA,2001,5,30,6,7,NA,6,"","M",64,NA,"  ,  ,D ,  ,  ,",525731,"Private","Kodiak",0,4.9,6.5
"72",17,754,NA,2001,5,30,6,8,NA,5,"","F",72,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,7.2,9.6
"73",17,754,NA,2001,5,31,7,1,NA,5,"","F",93,NA,"  ,C ,  ,  ,  ,",525701,"Charter","Kodiak",0,16.5,22
"74",17,754,NA,2001,5,31,7,2,NA,NA,"I","F",99,NA,"  ,C ,  ,  ,  ,",525701,"Charter","Kodiak",0,20.2,26.9
"75",17,754,NA,2001,5,31,7,3,NA,14,"","F",151,NA,"  ,C ,  ,  ,  ,",525701,"Charter","Kodiak",0,79.4,105.7
"76",17,754,NA,2001,5,31,7,4,NA,8,"","M",81,NA,"  ,C ,  ,  ,  ,",525701,"Charter","Kodiak",0,10.6,14
"77",17,754,NA,2001,5,31,7,5,NA,5,"","F",86,NA,"  ,C ,  ,  ,  ,",525701,"Charter","Kodiak",0,12.8,17.1
"78",17,754,NA,2001,5,31,7,6,NA,8,"","F",78,NA,"  ,C ,  ,  ,  ,",525701,"Charter","Kodiak",0,9.3,12.4
"79",17,754,NA,2001,5,31,7,7,NA,6,"","F",96,NA,"  ,C ,  ,  ,  ,",525701,"Charter","Kodiak",0,18.3,24.4
"80",17,754,NA,2001,6,1,8,1,NA,10,"","F",85,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,12.3,16.4
"81",17,754,NA,2001,6,1,8,2,NA,18,"","F",148,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,74.4,99
"82",17,754,NA,2001,6,1,8,3,NA,9,"","M",79,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,9.7,13
"83",17,754,NA,2001,6,1,8,4,NA,21,"","M",83,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,11.4,15.2
"84",17,754,NA,2001,6,1,8,5,NA,NA,"","F",73,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,7.5,10
"85",17,754,NA,2001,6,1,8,6,NA,8,"","F",75,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,8.2,10.9
"86",17,754,NA,2001,6,1,8,7,NA,10,"","F",94,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,17.1,22.7
"87",17,754,NA,2001,6,1,8,8,NA,10,"","F",109,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,27.6,36.8
"88",17,754,NA,2001,6,5,9,1,NA,7,"","F",78,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,9.3,12.4
"89",17,754,NA,2001,6,5,9,2,NA,7,"","F",74,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,7.9,10.5
"90",17,754,NA,2001,6,5,9,3,NA,6,"","F",73,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,7.5,10
"91",17,754,NA,2001,6,5,9,4,NA,4,"","F",62,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,4.4,5.9
"92",17,754,NA,2001,6,8,10,1,NA,13,"","F",132,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,51.4,68.3
"93",17,754,NA,2001,6,8,10,2,NA,NA,"","F",110,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,28.5,37.9
"94",17,754,NA,2001,6,8,10,3,NA,NA,"","M",96,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,18.3,24.4
"95",17,754,NA,2001,6,8,10,4,NA,NA,"","F",87,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,13.3,17.7
"96",17,754,NA,2001,6,8,10,5,NA,14,"","F",152,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,81.2,107.9
"97",17,754,NA,2001,6,8,10,6,NA,12,"","F",NA,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,NA,NA
"98",17,754,NA,2001,6,8,10,7,NA,9,"","F",109,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,27.6,36.8
"99",17,754,NA,2001,6,8,10,8,NA,5,"","F",76,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,8.6,11.4
"100",17,754,NA,2001,6,9,11,1,NA,10,"","F",91,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,15.4,20.5
"101",17,754,NA,2001,6,9,11,2,NA,8,"","F",91,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,15.4,20.5
"102",17,754,NA,2001,6,9,11,3,NA,8,"","F",107,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,26,34.6
"103",17,754,NA,2001,6,9,11,4,NA,11,"","F",140,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,62.2,82.7
"104",17,754,NA,2001,6,9,11,5,NA,7,"","F",84,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,11.9,15.8
"105",17,754,NA,2001,6,9,11,6,NA,7,"","F",100,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,20.9,27.8
"106",17,754,NA,2001,6,10,12,1,NA,14,"","F",100,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,20.9,27.8
"107",17,754,NA,2001,6,10,12,2,NA,11,"","F",89,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,14.3,19.1
"108",17,754,NA,2001,6,10,12,3,NA,10,"","F",124,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,42,55.8
"109",17,754,NA,2001,6,10,12,4,NA,13,"","F",118,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,35.7,47.5
"110",17,754,NA,2001,6,10,12,5,NA,11,"","F",142,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,65.1,86.6
"111",17,754,NA,2001,6,11,13,1,NA,NA,"","F",84,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,11.9,15.8
"112",17,754,NA,2001,6,11,13,2,NA,13,"","M",79,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,9.7,13
"113",17,754,NA,2001,6,11,13,3,NA,9,"","F",92,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,16,21.2
"114",17,754,NA,2001,6,11,13,4,NA,8,"","F",88,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.8,18.4
"115",17,754,NA,2001,6,11,13,5,NA,10,"","F",90,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,14.9,19.8
"116",17,754,NA,2001,6,14,14,1,NA,7,"","F",98,NA,"  ,  ,D ,  ,  ,",525732,"Private","Kodiak",0,19.6,26
"117",17,754,NA,2001,6,14,14,2,NA,15,"","F",117,NA,"  ,  ,D ,  ,  ,",525732,"Private","Kodiak",0,34.8,46.2
"118",17,754,NA,2001,6,14,14,3,NA,7,"","F",58,NA,"  ,  ,D ,  ,  ,",525732,"Private","Kodiak",0,3.6,4.8
"119",17,754,NA,2001,6,14,14,4,NA,6,"","M",74,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,7.9,10.5
"120",17,754,NA,2001,6,14,14,5,NA,12,"","F",114,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,32,42.5
"121",17,754,NA,2001,6,14,14,6,NA,13,"","F",130,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,48.9,65
"122",17,754,NA,2001,6,14,14,7,NA,15,"","F",131,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,50.1,66.7
"123",17,754,NA,2001,6,14,14,8,NA,14,"","M",88,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,13.8,18.4
"124",17,754,NA,2001,6,14,14,9,NA,13,"","F",110,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,28.5,37.9
"125",17,754,NA,2001,6,14,14,10,NA,14,"","F",80,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,10.1,13.5
"126",17,754,NA,2001,6,14,14,11,NA,6,"","F",75,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,8.2,10.9
"127",17,754,NA,2001,6,14,14,12,NA,13,"","F",86,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,12.8,17.1
"128",17,754,NA,2001,6,15,15,1,NA,7,"","F",95,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,17.7,23.5
"129",17,754,NA,2001,6,15,15,2,NA,9,"","F",107,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,26,34.6
"130",17,754,NA,2001,6,15,15,3,NA,11,"","F",146,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,71.2,94.7
"131",17,754,NA,2001,6,15,15,4,NA,13,"","F",105,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,24.5,32.6
"132",17,754,NA,2001,6,15,15,5,NA,12,"","M",82,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,11,14.6
"133",17,754,NA,2001,6,15,15,6,NA,9,"","F",87,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.3,17.7
"134",17,754,NA,2001,6,15,15,7,NA,12,"","M",80,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,10.1,13.5
"135",17,754,NA,2001,6,15,15,8,NA,15,"","F",98,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,19.6,26
"136",17,754,NA,2001,6,15,15,9,NA,8,"","F",73,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,7.5,10
"137",17,754,NA,2001,6,15,15,10,NA,17,"","F",93,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,16.5,22
"138",17,754,NA,2001,6,15,15,11,NA,12,"","F",93,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,16.5,22
"139",17,754,NA,2001,6,15,15,12,NA,13,"","F",97,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,18.9,25.2
"140",17,754,NA,2001,6,15,15,13,NA,7,"","F",88,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.8,18.4
"141",17,754,NA,2001,6,15,15,14,NA,16,"","F",105,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,24.5,32.6
"142",17,754,NA,2001,6,15,15,15,NA,NA,"","F",99,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,20.2,26.9
"143",17,754,NA,2001,6,15,15,16,NA,NA,"","F",83,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,11.4,15.2
"144",17,754,NA,2001,6,15,15,17,NA,NA,"","F",102,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,22.3,29.6
"145",17,754,NA,2001,6,16,16,1,NA,NA,"","F",96,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,18.3,24.4
"146",17,754,NA,2001,6,16,16,2,NA,NA,"","F",83,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,11.4,15.2
"147",17,754,NA,2001,6,16,16,3,NA,NA,"","F",81,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,10.6,14
"148",17,754,NA,2001,6,16,16,4,NA,NA,"","F",71,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,6.9,9.2
"149",17,754,NA,2001,6,16,16,5,NA,NA,"","F",71,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,6.9,9.2
"150",17,754,NA,2001,6,16,16,6,NA,NA,"","M",66,NA,"  ,  ,  ,  ,  ,",NA,"Unknown","Kodiak",0,5.4,7.2
"151",17,754,NA,2001,6,16,16,7,NA,8,"","F",80,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,10.1,13.5
"152",17,754,NA,2001,6,16,16,8,NA,14,"","F",142,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,65.1,86.6
"153",17,754,NA,2001,6,16,16,9,NA,16,"","F",88,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.8,18.4
"154",17,754,NA,2001,6,16,16,10,NA,15,"","F",85,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,12.3,16.4
"155",17,754,NA,2001,6,16,16,11,NA,17,"","M",86,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,12.8,17.1
"156",17,754,NA,2001,6,16,16,12,NA,NA,"","F",82,NA,"  ,  ,  ,  ,  ,",525733,"Unknown","Kodiak",0,11,14.6
"157",17,754,NA,2001,6,16,16,13,NA,10,"","F",90,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,14.9,19.8
"158",17,754,NA,2001,6,16,16,14,NA,20,"","M",89,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,14.3,19.1
"159",17,754,NA,2001,6,16,16,15,NA,15,"","M",87,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,13.3,17.7
"160",17,754,NA,2001,6,16,16,16,NA,20,"","M",85,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,12.3,16.4
"161",17,754,NA,2001,6,16,16,17,NA,13,"","F",80,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,10.1,13.5
"162",17,754,NA,2001,6,16,16,18,NA,14,"","M",85,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,12.3,16.4
"163",17,754,NA,2001,6,16,16,19,NA,16,"","M",87,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,13.3,17.7
"164",17,754,NA,2001,6,16,16,20,NA,7,"","F",94,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,17.1,22.7
"165",17,754,NA,2001,6,16,16,21,NA,9,"","M",73,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,7.5,10
"166",17,754,NA,2001,6,16,16,22,NA,20,"","M",86,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,12.8,17.1
"167",17,754,NA,2001,6,16,16,23,NA,6,"","F",72,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,7.2,9.6
"168",17,754,NA,2001,6,16,16,24,NA,12,"","F",112,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,30.2,40.1
"169",17,754,NA,2001,6,17,17,1,NA,8,"","F",81,NA,"  ,  ,D ,  ,  ,",NA,"Private","Kodiak",0,10.6,14
"170",17,754,NA,2001,6,17,17,2,NA,7,"","F",74,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,7.9,10.5
"171",17,754,NA,2001,6,17,17,3,NA,15,"","M",87,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,13.3,17.7
"172",17,754,NA,2001,6,17,17,4,NA,14,"","M",81,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,10.6,14
"173",17,754,NA,2001,6,17,17,5,NA,9,"","F",76,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,8.6,11.4
"174",17,754,NA,2001,6,17,17,6,NA,7,"","F",73,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,7.5,10
"175",17,754,NA,2001,6,17,17,7,NA,14,"","M",78,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,9.3,12.4
"176",17,754,NA,2001,6,17,17,8,NA,20,"","F",211,NA,"  ,  ,D ,  ,  ,",525733,"Private","Kodiak",0,234.9,312.4
"177",17,754,NA,2001,6,17,17,9,NA,9,"","F",95,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,17.7,23.5
"178",17,754,NA,2001,6,17,17,10,NA,NA,"","F",102,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,22.3,29.6
"179",17,754,NA,2001,6,17,17,11,NA,12,"","F",112,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,30.2,40.1
"180",17,754,NA,2001,6,17,17,12,NA,6,"","F",90,NA,"A ,  ,  ,  ,  ,",525733,"Private","Kodiak",0,14.9,19.8
"181",17,754,NA,2001,6,18,18,1,NA,NA,"","F",146,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,71.2,94.7
"182",17,754,NA,2001,6,18,18,2,NA,8,"","F",80,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,10.1,13.5
"183",17,754,NA,2001,6,18,18,3,NA,6,"","F",71,NA,"  ,C ,  ,  ,  ,",525733,"Charter","Kodiak",0,6.9,9.2
