SortNum,PORT,PAGE,LINE,SAMPLEID,SEX,LENGTH,NETWT,RNDWT,AGE,AGE2,AGECONF,AGEERR,USER,BOATNAME,STATAREA,CAS,GAF,REMARKS,YEAR,MONTH,DAY,SUB
28,CCI,2,16,105242222,F,74,7.537521211,10.04766468,,,,,Charter,EXPEDITION,525931,0,0,,2022,5,24,1
29,CCI,2,17,105242223,M,67,5.522648429,7.361799458,,,,,Charter,EXPEDITION,525931,0,0,,2022,5,24,1
30,CCI,2,18,105242224,F,74,7.537521211,10.04766468,,,,,Charter,EXPEDITION,525931,0,0,,2022,5,24,1
31,CCI,2,19,105242225,F,67,5.522648429,7.361799458,,,,,Charter,EXPEDITION,525931,0,0,,2022,5,24,1
32,CCI,2,20,105242226,F,87,12.50917088,16.67497191,,,,,Charter,EXPEDITION,525931,0,0,,2022,5,24,1
33,CCI,2,21,105242231,F,71,6.621736519,8.826905594,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
34,CCI,2,22,105242232,F,86,12.0646136,16.08236826,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
35,CCI,2,23,105242233,M,56,3.150371639,4.199507631,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
36,CCI,2,24,105242234,F,91,14.39901627,19.19417315,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
37,CCI,2,25,105242235,F,62,4.332307282,5.775051193,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
38,CCI,2,26,105242236,F,83,10.7956226,14.39077819,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
39,CCI,2,27,105242237,F,93,15.41291891,20.54572539,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
40,CCI,2,28,105242238,F,65,5.022871535,6.695586986,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
41,CCI,2,29,105242239,F,60,3.909729203,5.211746266,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
42,CCI,2,30,1052422310,M,87,12.50917088,16.67497191,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
43,CCI,2,31,1052422311,F,71,6.621736519,8.826905594,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
44,CCI,2,32,1052422312,M,84,11.20798213,14.9404616,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,24,1
45,CCI,3,1,105272211,F,83,10.7956226,14.39077819,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
46,CCI,3,2,105272212,F,70,6.334176049,8.443581807,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
47,CCI,3,3,105272213,F,72,6.918054489,9.221903303,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
48,CCI,3,4,105272214,F,83,10.7956226,14.39077819,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
49,CCI,3,5,105272215,F,66,5.268728051,7.023318578,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
50,CCI,3,6,105272216,F,83,10.7956226,14.39077819,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
51,CCI,3,7,105272217,F,73,7.223269467,9.628760898,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
52,CCI,3,8,105272218,F,66,5.268728051,7.023318578,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
53,CCI,3,9,105272219,F,65,5.022871535,6.695586986,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
54,CCI,3,10,1052722110,F,82,10.39371065,13.85502163,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
55,CCI,3,11,1052722111,F,96,17.02324007,22.69231532,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
56,CCI,3,12,1052722112,M,72,6.918054489,9.221903303,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
57,CCI,3,13,1052722113,F,68,5.784770866,7.711213845,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
58,CCI,3,14,1052722114,F,94,15.93761921,21.24516126,,,,,Charter,HARD EIGHT,525931,0,0,,2022,5,27,1
59,CCI,3,15,105272221,F,68,5.784770866,7.711213845,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
60,CCI,3,16,105272222,M,66,5.268728051,7.023318578,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
61,CCI,3,17,105272223,F,92,14.90009935,19.86212679,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
62,CCI,3,18,105272224,F,100,19.34342013,25.78516117,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
63,CCI,3,19,105272225,M,67,5.522648429,7.361799458,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
64,CCI,3,20,105272226,F,92,14.90009935,19.86212679,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
65,CCI,3,21,105272227,F,80,9.620661265,12.82453153,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
66,CCI,3,22,105272228,M,69,6.055233829,8.071746318,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
67,CCI,3,23,105272229,F,66,5.268728051,7.023318578,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
68,CCI,3,24,1052722210,M,72,6.918054489,9.221903303,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
69,CCI,3,25,1052722211,F,96,17.02324007,22.69231532,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
70,CCI,3,26,1052722212,M,80,9.620661265,12.82453153,,,,,Charter,AFISHUNT II,525931,0,0,,2022,5,27,1
71,CCI,3,27,105272231,F,95,16.47434472,21.96062696,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
72,CCI,3,28,105272232,F,70,6.334176049,8.443581807,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
73,CCI,3,29,105272233,F,72,6.918054489,9.221903303,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
74,CCI,3,30,105272234,F,103,21.21845597,28.28462099,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
75,CCI,3,31,105272235,M,74,7.537521211,10.04766468,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
76,CCI,3,32,105272236,F,70,6.334176049,8.443581807,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
77,CCI,3,33,105272237,F,70,6.334176049,8.443581807,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
78,CCI,3,34,105272238,F,76,8.193695274,10.92235767,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
79,CCI,3,35,105272239,F,69,6.055233829,8.071746318,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
80,CCI,3,36,1052722310,F,98,18.15811998,24.20513266,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
81,CCI,3,37,1052722311,M,75,7.860949729,10.47880128,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
82,CCI,3,38,1052722312,M,73,7.223269467,9.628760898,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
83,CCI,3,39,1052722313,M,87,12.50917088,16.67497191,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
84,CCI,3,40,1052722314,F,82,10.39371065,13.85502163,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
85,CCI,3,41,1052722315,F,92,14.90009935,19.86212679,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
86,CCI,3,42,1052722316,M,70,6.334176049,8.443581807,,,,,Charter,VOYAGEUR,525931,0,0,,2022,5,27,1
87,CCI,4,1,105312211,F,77,8.535898344,11.37852112,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
88,CCI,4,2,105312212,M,71,6.621736519,8.826905594,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
89,CCI,4,3,105312213,M,73,7.223269467,9.628760898,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
90,CCI,4,4,105312214,F,74,7.537521211,10.04766468,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
91,CCI,4,5,105312215,M,71,6.621736519,8.826905594,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
92,CCI,4,6,105312216,F,62,4.332307282,5.775051193,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
93,CCI,4,7,105312217,M,86,12.0646136,16.08236826,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
94,CCI,4,8,105312218,F,86,12.0646136,16.08236826,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
95,CCI,4,9,105312219,M,83,10.7956226,14.39077819,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
96,CCI,4,10,1053122110,M,61,4.117329729,5.488481869,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
97,CCI,4,11,1053122111,M,78,8.887699676,11.84747925,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
98,CCI,4,12,1053122112,F,67,5.522648429,7.361799458,,,,,Charter,QUICKWATER,525931,0,0,,2022,5,31,1
99,CCI,4,13,105312221,M,70,6.334176049,8.443581807,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
100,CCI,4,14,105312222,M,79,9.249240246,12.32941997,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
101,CCI,4,15,105312223,M,68,5.784770866,7.711213845,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
102,CCI,4,16,105312224,M,79,9.249240246,12.32941997,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
103,CCI,4,17,105312225,M,69,6.055233829,8.071746318,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
104,CCI,4,18,105312226,M,85,11.63093161,15.50426161,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
105,CCI,4,19,105312227,F,76,8.193695274,10.92235767,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
106,CCI,4,20,105312228,F,62,4.332307282,5.775051193,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
107,CCI,4,21,105312229,M,70,6.334176049,8.443581807,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
108,CCI,4,22,1053122210,M,79,9.249240246,12.32941997,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
109,CCI,4,23,1053122211,F,77,8.535898344,11.37852112,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
110,CCI,4,24,1053122212,M,69,6.055233829,8.071746318,,,,,Charter,SOLO,525931,0,0,,2022,5,31,1
111,CCI,5,1,106042211,F,70,6.334176049,8.443581807,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
112,CCI,5,2,106042212,F,105,22.53490703,30.03947625,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
113,CCI,5,3,106042213,F,105,22.53490703,30.03947625,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
114,CCI,5,4,106042214,F,121,35.12784224,46.82610766,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
115,CCI,5,5,106042215,F,69,6.055233829,8.071746318,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
116,CCI,5,6,106042216,F,117,31.61950099,42.14941948,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
117,CCI,5,7,106042217,F,87,12.50917088,16.67497191,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
118,CCI,5,8,106042218,F,66,5.268728051,7.023318578,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
119,CCI,5,9,106042219,F,92,14.90009935,19.86212679,,,,,Charter,ALASKA SPIRIT,525931,0,0,,2022,6,4,1
120,CCI,5,10,106042221,F,94,15.93761921,21.24516126,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
121,CCI,5,11,106042222,F,99,18.74439483,24.98664861,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
122,CCI,5,12,106042223,F,104,21.86994126,29.15306375,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
123,CCI,5,13,106042224,F,68,5.784770866,7.711213845,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
124,CCI,5,14,106042225,F,99,18.74439483,24.98664861,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
125,CCI,5,15,106042226,F,66,5.268728051,7.023318578,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
126,CCI,5,16,106042227,F,112,27.57945473,36.76395799,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
127,CCI,5,17,106042228,M,68,5.784770866,7.711213845,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
128,CCI,5,18,106042229,F,67,5.522648429,7.361799458,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
129,CCI,5,19,1060422210,F,103,21.21845597,28.28462099,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
130,CCI,5,20,1060422211,F,63,4.554798661,6.071636597,,,,,Charter,DISCOVER 2,525931,0,0,,2022,6,4,1
131,CCI,5,21,106042231,F,65,5.022871535,6.695586986,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
132,CCI,5,22,106042232,F,64,4.784940955,6.378420822,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
133,CCI,5,23,106042233,F,64,4.784940955,6.378420822,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
134,CCI,5,24,106042234,F,68,5.784770866,7.711213845,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
135,CCI,5,25,106042235,F,64,4.784940955,6.378420822,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
136,CCI,5,26,106042236,F,130,43.97197347,58.61550932,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
137,CCI,5,27,106042237,F,91,14.39901627,19.19417315,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
138,CCI,5,28,106042238,F,99,18.74439483,24.98664861,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
139,CCI,5,29,106042239,F,102,20.58030478,27.43395285,,,,,Charter,MISS NV,525931,0,0,,2022,6,4,1
140,CCI,5,30,1060422310,F,128,41.88904599,55.83892584,,,,,Charter,MISS NV,525931,0,0,no otolith,2022,6,4,1
141,CCI,5,31,1060422311,F,134,48.34719512,64.44776621,,,,,Charter,MISS NV,525931,0,0,no otolith,2022,6,4,1
142,CCI,5,32,106042241,M,71,6.621736519,8.826905594,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
143,CCI,5,33,106042242,F,78,8.887699676,11.84747925,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
144,CCI,5,34,106042243,M,69,6.055233829,8.071746318,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
145,CCI,5,35,106042244,M,53,2.651653278,3.534706204,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
146,CCI,5,36,106042245,F,87,12.50917088,16.67497191,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
147,CCI,5,37,106042246,F,97,17.58445015,23.44041943,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
148,CCI,5,38,106042247,F,63,4.554798661,6.071636597,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
149,CCI,5,39,106042248,F,105,22.53490703,30.03947625,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
150,CCI,5,40,106042249,M,63,4.554798661,6.071636597,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
151,CCI,5,41,1060422410,F,74,7.537521211,10.04766468,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
152,CCI,5,42,1060422411,F,101,19.9553415,26.60086445,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
153,CCI,5,43,1060422412,F,70,6.334176049,8.443581807,,,,,Charter,EXPLORER,525931,0,0,,2022,6,4,1
154,CCI,5,44,106042251,F,107,23.90586643,31.86699223,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
155,CCI,5,45,106042252,F,91,14.39901627,19.19417315,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
156,CCI,5,46,106042253,F,69,6.055233829,8.071746318,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
157,CCI,5,47,106042254,F,68,5.784770866,7.711213845,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
158,CCI,5,48,106042255,F,63,4.554798661,6.071636597,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
159,CCI,5,49,106042256,F,79,9.249240246,12.32941997,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
160,CCI,5,50,106042257,M,64,4.784940955,6.378420822,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
161,CCI,5,51,106042258,M,61,4.117329729,5.488481869,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
162,CCI,5,52,106042259,F,53,2.651653278,3.534706204,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
163,CCI,5,53,1060422510,F,80,9.620661265,12.82453153,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
164,CCI,5,54,1060422511,F,87,12.50917088,16.67497191,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
165,CCI,5,55,1060422512,F,100,19.34342013,25.78516117,,,,,Charter,JUST FISH,525931,0,0,,2022,6,4,1
166,CCI,5,56,106042261,F,120,34.22713633,45.62544889,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
167,CCI,5,57,106042262,F,86,12.0646136,16.08236826,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
168,CCI,5,58,106042263,F,117,31.61950099,42.14941948,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
169,CCI,5,59,106042264,F,108,24.61215374,32.80848715,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
170,CCI,5,60,106042265,F,86,12.0646136,16.08236826,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
171,CCI,5,61,106042266,F,57,3.329826174,4.438724072,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
172,CCI,5,62,106042267,F,99,18.74439483,24.98664861,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
173,CCI,5,63,106042268,M,58,3.51611349,4.687048744,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
174,CCI,5,64,106042269,F,59,3.709369195,4.944662417,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
175,CCI,5,65,1060422610,F,65,5.022871535,6.695586986,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
176,CCI,5,66,1060422611,M,65,5.022871535,6.695586986,,,,,Charter,VIKING SPIRIT,525931,0,0,,2022,6,4,1
177,CCI,6,1,106052211,F,64,4.784940955,6.378420822,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
178,CCI,6,2,106052212,F,68,5.784770866,7.711213845,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
179,CCI,6,3,106052213,F,68,5.784770866,7.711213845,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
180,CCI,6,4,106052214,M,63,4.554798661,6.071636597,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
181,CCI,6,5,106052215,F,89,13.43148357,17.90443295,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
182,CCI,6,6,106052216,F,88,12.96474647,17.28226317,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
183,CCI,6,7,106052217,F,101,19.9553415,26.60086445,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
184,CCI,6,8,106052218,F,106,23.21349984,30.94405387,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
185,CCI,6,9,106052219,F,101,19.9553415,26.60086445,,,,,Charter,MISS NV,525931,0,0,,2022,6,5,1
186,CCI,6,10,106052221,F,81,10.00210418,13.33300246,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
187,CCI,6,11,106052222,F,81,10.00210418,13.33300246,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
188,CCI,6,12,106052223,F,85,11.63093161,15.50426161,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
189,CCI,6,13,106052224,F,64,4.784940955,6.378420822,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
190,CCI,6,14,106052225,F,66,5.268728051,7.023318578,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
191,CCI,6,15,106052226,F,86,12.0646136,16.08236826,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
192,CCI,6,16,106052227,F,105,22.53490703,30.03947625,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
193,CCI,6,17,106052228,F,65,5.022871535,6.695586986,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
194,CCI,6,18,106052229,F,69,6.055233829,8.071746318,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
195,CCI,6,19,1060522210,F,64,4.784940955,6.378420822,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
196,CCI,6,20,1060522211,F,82,10.39371065,13.85502163,,,,,Charter,EXCITER,525931,0,0,,2022,6,5,1
197,CCI,6,21,106052231,F,65,5.022871535,6.695586986,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
198,CCI,6,22,106052232,F,90,13.90952563,18.54167245,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
199,CCI,6,23,106052233,F,92,14.90009935,19.86212679,,,,,Charter,VOYAGEUR,525931,0,0,"misshapen tail, 91 at midline",2022,6,5,1
200,CCI,6,24,106052234,F,101,19.9553415,26.60086445,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
201,CCI,6,25,106052235,F,85,11.63093161,15.50426161,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
202,CCI,6,26,106052236,M,81,10.00210418,13.33300246,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
203,CCI,6,27,106052237,F,64,4.784940955,6.378420822,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
204,CCI,6,28,106052238,F,70,6.334176049,8.443581807,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
205,CCI,6,29,106052239,M,80,9.620661265,12.82453153,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
206,CCI,6,30,1060522310,F,81,10.00210418,13.33300246,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
207,CCI,6,31,1060522311,M,68,5.784770866,7.711213845,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
208,CCI,6,32,1060522312,M,81,10.00210418,13.33300246,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
209,CCI,6,33,1060522313,F,70,6.334176049,8.443581807,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
210,CCI,6,34,1060522314,F,63,4.554798661,6.071636597,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
211,CCI,6,35,1060522315,F,65,5.022871535,6.695586986,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
212,CCI,6,36,1060522316,F,64,4.784940955,6.378420822,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
213,CCI,6,37,1060522317,F,67,5.522648429,7.361799458,,,,,Charter,VOYAGEUR,525931,0,0,,2022,6,5,1
214,CCI,6,38,106052241,F,91,14.39901627,19.19417315,,,,,Charter,ENDURANCE,525931,0,0,,2022,6,5,1
215,CCI,6,39,106052242,F,82,10.39371065,13.85502163,,,,,Charter,ENDURANCE,525931,0,0,,2022,6,5,1
216,CCI,6,40,106052243,F,71,6.621736519,8.826905594,,,,,Charter,ENDURANCE,525931,0,0,,2022,6,5,1
217,CCI,6,41,106052244,F,64,4.784940955,6.378420822,,,,,Charter,ENDURANCE,525931,0,0,,2022,6,5,1
218,CCI,6,42,106052245,M,59,3.709369195,4.944662417,,,,,Charter,ENDURANCE,525931,0,0,,2022,6,5,1
