"","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","SAMPTYPE","LITHCODE","LINENO","LENGTH","AREA","SUBAREA","CLASS","CLASSN","INTVNUMB","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","MONTH","LENCM","GROSSWT","NETWT_B","NETWT","ROUNDWT"
"11","CRAIG","200","B",760,2011,2011-05-26,NA,11,7,22,1,3,9,"A","00115602","03",740,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",5,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"12","CRAIG","200","B",760,2011,2011-05-26,NA,11,7,22,1,3,9,"A","00115602","04",860,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",5,86,14.8664121475711,12.8216474535934,12.8216474535934,17.0527911132793
"13","CRAIG","200","B",760,2011,2011-05-26,NA,11,7,22,1,3,9,"A","00115602","05",770,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",5,77,10.39109071556,8.96187328124,8.96187328124,11.9192914640492
"14","CRAIG","200","B",760,2011,2011-05-27,NA,11,7,22,1,1,11,"D","00113839","01",700,1,NA,1,"Private",3,"2C",103600,"10360","103","60","103-60",5,70,7.6304269041477,6.58091829516383,6.58091829516383,8.7526213325679
"15","CRAIG","200","B",760,2011,2011-05-28,NA,11,7,22,1,1,9,"C","00108376","01",910,1,NA,1,"Private",3,"2C",103600,"10360","103","60","103-60",5,91,17.8535793395215,15.3979519606891,15.3979519606891,20.4792761077166
"16","CRAIG","200","B",760,2011,2011-05-28,NA,11,7,22,1,3,9,"C","00108376","02",960,5,NA,1,"Private",5,"2C",104400,"10440","104","40","104-40",5,96,21.2319548395287,18.3116569755219,18.3116569755219,24.3545037774442
"17","CRAIG","200","B",760,2011,2011-05-28,NA,11,7,22,1,3,9,"C","00108376","03",710,5,NA,1,"Private",6,"2C",104400,"10440","104","40","104-40",5,71,7.98929093548086,6.89042324147201,6.89042324147201,9.16426291115777
"18","CRAIG","200","B",760,2011,2011-05-28,NA,11,7,22,1,3,9,"C","00108376","04",680,5,NA,1,"Private",6,"2C",104400,"10440","104","40","104-40",5,68,6.94640441261685,5.99097802244174,5.99097802244174,7.96800076984751
"19","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","01",670,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",5,67,6.62084693163495,5.71019855759206,5.71019855759206,7.59456408159744
"20","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","02",660,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",5,66,6.3059937777102,5.43865111903038,5.43865111903038,7.2334059883104
"21","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","03",660,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",5,66,6.3059937777102,5.43865111903038,5.43865111903038,7.2334059883104
"22","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","04",650,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",5,65,6.00164719885555,5.17616515408831,5.17616515408831,6.88429965493745
"23","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","05",800,1,NA,1,"Private",2,"2C",103600,"10360","103","60","103-60",5,80,11.7609592329861,10.1433265474259,10.1433265474259,13.4906243080765
"24","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","06",630,5,NA,1,"Private",9,"2C",104400,"10440","104","40","104-40",5,63,5.42368635597346,4.67769853713618,4.67769853713618,6.22133905439112
"25","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","07",590,5,NA,1,"Private",9,"2C",104400,"10440","104","40","104-40",5,59,4.3852232138532,3.78206829564632,3.78206829564632,5.03015083320961
"26","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","08",700,5,NA,1,"Private",9,"2C",104400,"10440","104","40","104-40",5,70,7.6304269041477,6.58091829516383,6.58091829516383,8.7526213325679
"27","CRAIG","200","B",760,2011,2011-05-29,NA,11,7,23,1,1,10,"A","00114135","09",1130,5,NA,1,"Private",13,"2C",104400,"10440","104","40","104-40",5,113,36.0085259679733,31.0558203756211,31.0558203756211,41.3042410995761
"28","CRAIG","200","B",760,2011,2011-05-31,NA,11,8,23,1,3,10,"C","00114132","01",1260,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",5,126,51.242670274401,44.1946211578998,44.1946211578998,58.7788461400068
"29","CRAIG","200","B",760,2011,2011-05-31,NA,11,8,23,1,3,10,"C","00114132","02",940,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",5,94,19.8319506194401,17.1042129489918,17.1042129489918,22.7486032221592
"30","CRAIG","200","B",760,2011,2011-06-02,NA,11,8,23,1,1,11,"D","00113846","01",760,5,NA,2,"Charter",1,"2C",104400,"10440","104","40","104-40",6,76,9.96018088682265,8.5902319024382,8.5902319024382,11.4250084302428
"31","CRAIG","200","B",760,2011,2011-06-02,NA,11,8,23,1,1,11,"D","00113846","02",765,5,NA,2,"Charter",1,"2C",104400,"10440","104","40","104-40",6,76.5,10.1740586444088,8.77469236127076,8.77469236127076,11.6703408404901
"32","CRAIG","200","B",760,2011,2011-06-03,NA,11,8,23,1,5,11,"D","00113848","01",1020,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",6,102,25.8401924146095,22.2860656615977,22.2860656615977,29.6404673299249
"33","CRAIG","200","B",760,2011,2011-06-04,NA,11,8,23,1,4,9,"A","00115021","01",760,1,NA,1,"Private",1,"2C",103600,"10360","103","60","103-60",6,76,9.96018088682265,8.5902319024382,8.5902319024382,11.4250084302428
"34","CRAIG","200","B",760,2011,2011-06-05,NA,11,8,24,1,1,10,"C","00114125","01",1000,3,NA,1,"Private",1,"2C",103700,"10370","103","70","103-70",6,100,24.2343394485858,20.9010858569024,20.9010858569024,27.7984441896802
"35","CRAIG","200","B",760,2011,2011-06-05,NA,11,8,24,1,5,10,"C","00114125","02",680,5,NA,1,"Private",7,"2C",104400,"10440","104","40","104-40",6,68,6.94640441261685,5.99097802244174,5.99097802244174,7.96800076984751
"36","CRAIG","200","B",760,2011,2011-06-05,NA,11,8,24,1,1,10,"C","00114125","03",890,5,NA,1,"Private",8,"2C",104400,"10440","104","40","104-40",6,89,16.6132579480539,14.3282275744224,14.3282275744224,19.0565426739818
"37","CRAIG","200","B",760,2011,2011-06-05,NA,11,8,24,1,5,10,"C","00114125","04",820,5,NA,1,"Private",10,"2C",104400,"10440","104","40","104-40",6,82,12.7405468281241,10.9881791366113,10.9881791366113,14.614278251693
"38","CRAIG","200","B",760,2011,2011-06-05,NA,11,8,24,1,5,10,"C","00114125","05",640,5,NA,1,"Private",10,"2C",104400,"10440","104","40","104-40",6,64,5.70761016092118,4.92257072920152,4.92257072920152,6.54701906983802
"39","CRAIG","200","B",760,2011,2011-06-06,NA,12,9,24,1,5,10,"C","00114245","01",790,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",6,79,11.2912744200948,9.7382433958611,9.7382433958611,12.9518637164953
"40","CRAIG","200","B",760,2011,2011-06-06,NA,12,9,24,1,5,10,"C","00114245","02",660,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",6,66,6.3059937777102,5.43865111903038,5.43865111903038,7.2334059883104
"41","CRAIG","200","B",760,2011,2011-06-06,NA,12,9,24,1,5,10,"C","00114245","03",630,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",6,63,5.42368635597346,4.67769853713618,4.67769853713618,6.22133905439112
"42","CRAIG","200","B",760,2011,2011-06-06,NA,12,9,24,1,5,10,"C","00114245","04",610,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",6,61,4.88539689627812,4.21344679894347,4.21344679894347,5.60388424259482
"43","CRAIG","200","B",760,2011,2011-06-06,NA,12,9,24,1,5,10,"C","00114245","05",680,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",6,68,6.94640441261685,5.99097802244174,5.99097802244174,7.96800076984751
"44","CRAIG","200","B",760,2011,2011-06-06,NA,12,9,24,1,5,10,"C","00114245","06",630,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",6,63,5.42368635597346,4.67769853713618,4.67769853713618,6.22133905439112
"45","CRAIG","200","B",760,2011,2011-06-07,NA,12,9,24,1,5,9,"A","00108469","01",780,3,NA,1,"Private",1,"2C",103700,"10370","103","70","103-70",6,78,10.8347201758416,9.34448480063655,9.34448480063655,12.4281647848466
"46","CRAIG","200","B",760,2011,2011-06-07,NA,12,9,24,1,3,9,"A","00108469","02",650,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",6,65,6.00164719885555,5.17616515408831,5.17616515408831,6.88429965493745
"47","CRAIG","200","B",760,2011,2011-06-07,NA,12,9,24,1,3,9,"A","00108469","03",810,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,81,12.2439810253286,10.5599122758681,10.5599122758681,14.0446833269046
"48","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,2,9,"C","00108467","01",650,5,NA,1,"Private",1,"2C",104400,"10440","104","40","104-40",6,65,6.00164719885555,5.17616515408831,5.17616515408831,6.88429965493745
"49","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,1,9,"C","00108467","02",740,5,NA,2,"Charter",2,"2C",104400,"10440","104","40","104-40",6,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"50","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,1,9,"C","00108467","03",710,5,NA,2,"Charter",2,"2C",104400,"10440","104","40","104-40",6,71,7.98929093548086,6.89042324147201,6.89042324147201,9.16426291115777
"51","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,1,9,"C","00108467","04",630,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,63,5.42368635597346,4.67769853713618,4.67769853713618,6.22133905439112
"52","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,1,9,"C","00108467","05",690,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,69,7.28286468232178,6.2811606783156,6.2811606783156,8.35394370215975
"53","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,1,9,"C","00108467","06",620,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,62,5.14968021090387,4.44137990441386,4.44137990441386,5.90703527287044
"54","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,1,9,"C","00108467","07",670,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,67,6.62084693163495,5.71019855759206,5.71019855759206,7.59456408159744
"55","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,3,9,"C","00108467","08",940,5,NA,1,"Private",4,"2C",104400,"10440","104","40","104-40",6,94,19.8319506194401,17.1042129489918,17.1042129489918,22.7486032221592
"56","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,3,9,"C","00108467","09",760,5,NA,1,"Private",4,"2C",104400,"10440","104","40","104-40",6,76,9.96018088682265,8.5902319024382,8.5902319024382,11.4250084302428
"57","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,3,9,"C","00108467","10",730,5,NA,1,"Private",4,"2C",104400,"10440","104","40","104-40",6,73,8.74172728105141,7.53936755018688,7.53936755018688,10.0273588417485
"58","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,3,9,"C","00108467","11",700,5,NA,1,"Private",6,"2C",104400,"10440","104","40","104-40",6,70,7.6304269041477,6.58091829516383,6.58091829516383,8.7526213325679
"59","CRAIG","200","B",760,2011,2011-06-09,NA,12,9,24,1,3,9,"C","00108467","12",660,5,NA,1,"Private",6,"2C",104400,"10440","104","40","104-40",6,66,6.3059937777102,5.43865111903038,5.43865111903038,7.2334059883104
"60","CRAIG","200","B",760,2011,2011-06-10,NA,12,9,24,1,5,11,"D","00113863","01",695,5,NA,2,"Charter",1,"2C",104400,"10440","104","40","104-40",6,69.5,7.45524557430893,6.42983185753865,6.42983185753865,8.5516763705264
"61","CRAIG","200","B",760,2011,2011-06-10,NA,12,9,24,1,5,11,"D","00113863","02",820,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",6,82,12.7405468281241,10.9881791366113,10.9881791366113,14.614278251693
"62","CRAIG","200","B",760,2011,2011-06-10,NA,12,9,24,1,5,11,"D","00113863","03",630,5,NA,1,"Private",2,"2C",104400,"10440","104","40","104-40",6,63,5.42368635597346,4.67769853713618,4.67769853713618,6.22133905439112
"63","CRAIG","200","B",760,2011,2011-06-10,NA,12,9,24,1,5,11,"D","00113863","04",870,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,87,15.4338247731885,13.3110166823064,13.3110166823064,17.7036521874675
"64","CRAIG","200","B",760,2011,2011-06-10,NA,12,9,24,1,5,11,"D","00113863","05",860,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,86,14.8664121475711,12.8216474535934,12.8216474535934,17.0527911132793
"65","CRAIG","200","B",760,2011,2011-06-10,NA,12,9,24,1,5,11,"D","00113863","06",775,5,NA,1,"Private",4,"2C",104400,"10440","104","40","104-40",6,77.5,10.6113026846215,9.15179672775422,9.15179672775422,12.1718896479131
"66","CRAIG","200","B",760,2011,2011-06-10,NA,12,9,24,1,5,11,"D","00113863","07",580,5,NA,1,"Private",4,"2C",104400,"10440","104","40","104-40",6,58,4.14894698877777,3.57829011234887,3.57829011234887,4.759125849424
"67","CRAIG","200","B",760,2011,2011-06-11,NA,12,9,24,1,1,9,"C","00100516","01",890,1,NA,1,"Private",4,"2C",103600,"10360","103","60","103-60",6,89,16.6132579480539,14.3282275744224,14.3282275744224,19.0565426739818
"68","CRAIG","200","B",760,2011,2011-06-11,NA,12,9,24,1,1,9,"C","00100516","02",640,5,NA,1,"Private",13,"2C",104400,"10440","104","40","104-40",6,64,5.70761016092118,4.92257072920152,4.92257072920152,6.54701906983802
"69","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,5,10,"C","00114250","01",775,4,NA,1,"Private",3,"2C",103800,"10380","103","80","103-80",6,77.5,10.6113026846215,9.15179672775422,9.15179672775422,12.1718896479131
"70","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,5,10,"C","00114250","02",750,4,NA,1,"Private",3,"2C",103800,"10380","103","80","103-80",6,75,9.54178617567186,8.22938427965115,8.22938427965115,10.945081091936
"71","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,5,10,"C","00114250","03",700,4,NA,1,"Private",3,"2C",103800,"10380","103","80","103-80",6,70,7.6304269041477,6.58091829516383,6.58091829516383,8.7526213325679
"72","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,5,10,"C","00114250","04",750,4,NA,1,"Private",3,"2C",103800,"10380","103","80","103-80",6,75,9.54178617567186,8.22938427965115,8.22938427965115,10.945081091936
"73","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,5,10,"C","00114250","05",790,4,NA,1,"Private",3,"2C",103800,"10380","103","80","103-80",6,79,11.2912744200948,9.7382433958611,9.7382433958611,12.9518637164953
"74","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,5,10,"C","00114250","06",900,4,NA,1,"Private",3,"2C",103800,"10380","103","80","103-80",6,90,17.2257015058852,14.8564340647168,14.8564340647168,19.7590573060733
"75","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,1,10,"C","00114250","07",530,3,NA,1,"Private",5,"2C",103700,"10370","103","70","103-70",6,53,3.09802561482112,2.67191517638158,2.67191517638158,3.5536471845875
"76","CRAIG","200","B",760,2011,2011-06-12,NA,12,9,25,1,1,10,"C","00114250","08",660,3,NA,1,"Private",5,"2C",103700,"10370","103","70","103-70",6,66,6.3059937777102,5.43865111903038,5.43865111903038,7.2334059883104
"77","CRAIG","200","B",760,2011,2011-06-13,NA,12,10,25,1,2,9,"C","00100996","01",780,7,NA,1,"Private",1,"2C",104300,"10430","104","30","104-30",6,78,10.8347201758416,9.34448480063655,9.34448480063655,12.4281647848466
"78","CRAIG","200","B",760,2011,2011-06-13,NA,12,10,25,1,5,11,"D","00113868","01",730,5,NA,2,"Charter",5,"2C",104400,"10440","104","40","104-40",6,73,8.74172728105141,7.53936755018688,7.53936755018688,10.0273588417485
"79","CRAIG","200","B",760,2011,2011-06-13,NA,12,10,25,1,5,11,"D","00113868","02",745,5,NA,2,"Charter",5,"2C",104400,"10440","104","40","104-40",6,74.5,9.33721825472724,8.05295315850166,8.05295315850166,10.7104277008072
"80","CRAIG","200","B",760,2011,2011-06-13,NA,12,10,25,1,5,11,"D","00113868","03",740,5,NA,2,"Charter",5,"2C",104400,"10440","104","40","104-40",6,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"81","CRAIG","200","B",760,2011,2011-06-13,NA,12,10,25,1,5,11,"D","00113868","04",695,5,NA,2,"Charter",5,"2C",104400,"10440","104","40","104-40",6,69.5,7.45524557430893,6.42983185753865,6.42983185753865,8.5516763705264
"82","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,2,9,"C","00100996","02",690,7,NA,1,"Private",1,"2C",104300,"10430","104","30","104-30",6,69,7.28286468232178,6.2811606783156,6.2811606783156,8.35394370215975
"83","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,2,9,"C","00100996","03",740,7,NA,1,"Private",1,"2C",104300,"10430","104","30","104-30",6,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"84","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,2,9,"C","00100996","04",720,7,NA,1,"Private",1,"2C",104300,"10430","104","30","104-30",6,72,8.35965732014726,7.20984847775072,7.20984847775072,9.58909847540845
"85","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,2,9,"C","00100996","05",640,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,64,5.70761016092118,4.92257072920152,4.92257072920152,6.54701906983802
"86","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,1,9,"C","00100996","06",760,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,76,9.96018088682265,8.5902319024382,8.5902319024382,11.4250084302428
"87","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,1,9,"C","00100996","07",710,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,71,7.98929093548086,6.89042324147201,6.89042324147201,9.16426291115777
"88","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,1,9,"C","00100996","08",700,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,70,7.6304269041477,6.58091829516383,6.58091829516383,8.7526213325679
"89","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,1,9,"C","00100996","09",610,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,61,4.88539689627812,4.21344679894347,4.21344679894347,5.60388424259482
"90","CRAIG","200","B",760,2011,2011-06-15,NA,12,10,25,1,1,9,"C","00100996","10",610,5,NA,1,"Private",3,"2C",104400,"10440","104","40","104-40",6,61,4.88539689627812,4.21344679894347,4.21344679894347,5.60388424259482
"91","CRAIG","200","B",760,2011,2011-06-17,NA,12,10,25,1,2,11,"D","00113883","01",880,5,NA,2,"Charter",4,"2C",104400,"10440","104","40","104-40",6,88,16.0160363013939,13.8131493343522,13.8131493343522,18.3714886146885
"92","CRAIG","200","B",760,2011,2011-06-17,NA,12,10,25,1,2,11,"D","00113883","02",795,5,NA,2,"Charter",4,"2C",104400,"10440","104","40","104-40",6,79.5,11.5244626193897,9.93935828841346,9.93935828841346,13.2193465235899
"93","CRAIG","200","B",760,2011,2011-06-18,NA,12,10,25,1,5,10,"C","00114251","01",650,5,NA,2,"Charter",4,"2C",104400,"10440","104","40","104-40",6,65,6.00164719885555,5.17616515408831,5.17616515408831,6.88429965493745
"94","CRAIG","200","B",760,2011,2011-06-18,NA,12,10,25,1,5,10,"C","00114251","02",800,5,NA,2,"Charter",4,"2C",104400,"10440","104","40","104-40",6,80,11.7609592329861,10.1433265474259,10.1433265474259,13.4906243080765
"95","CRAIG","200","B",760,2011,2011-06-18,NA,12,10,25,1,5,10,"C","00114251","03",740,5,NA,2,"Charter",4,"2C",104400,"10440","104","40","104-40",6,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"96","CRAIG","200","B",760,2011,2011-06-18,NA,12,10,25,1,5,10,"C","00114251","04",830,5,NA,2,"Charter",4,"2C",104400,"10440","104","40","104-40",6,83,13.2508642867348,11.4283062149386,11.4283062149386,15.1996472658684
"97","CRAIG","200","B",760,2011,2011-06-18,NA,12,10,25,1,5,10,"C","00114251","05",730,5,NA,2,"Charter",5,"2C",104400,"10440","104","40","104-40",6,73,8.74172728105141,7.53936755018688,7.53936755018688,10.0273588417485
"98","CRAIG","200","B",760,2011,2011-06-18,NA,12,10,25,1,5,10,"C","00114251","06",780,5,NA,2,"Charter",5,"2C",104400,"10440","104","40","104-40",6,78,10.8347201758416,9.34448480063655,9.34448480063655,12.4281647848466
"99","CRAIG","200","B",760,2011,2011-06-19,NA,12,10,26,1,4,10,"A","00114261","01",780,5,NA,2,"Charter",2,"2C",104400,"10440","104","40","104-40",6,78,10.8347201758416,9.34448480063655,9.34448480063655,12.4281647848466
"100","CRAIG","200","B",760,2011,2011-06-19,NA,12,10,26,1,4,10,"A","00114261","02",790,5,NA,2,"Charter",2,"2C",104400,"10440","104","40","104-40",6,79,11.2912744200948,9.7382433958611,9.7382433958611,12.9518637164953
"101","CRAIG","200","B",760,2011,2011-06-19,NA,12,10,26,1,4,10,"A","00114261","03",740,5,NA,2,"Charter",2,"2C",104400,"10440","104","40","104-40",6,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"102","CRAIG","200","B",760,2011,2011-06-19,NA,12,10,26,1,4,10,"A","00114261","04",710,5,NA,2,"Charter",2,"2C",104400,"10440","104","40","104-40",6,71,7.98929093548086,6.89042324147201,6.89042324147201,9.16426291115777
"103","CRAIG","200","B",760,2011,2011-06-24,NA,13,11,26,1,5,11,"D","00113897","01",740,6,NA,1,"Private",1,"2C",104350,"10435","104","35","104-35",6,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"104","CRAIG","200","B",760,2011,2011-06-24,NA,13,11,26,1,2,11,"D","00113897","02",925,3,NA,2,"Charter",3,"2C",103700,"10370","103","70","103-70",6,92.5,18.8248012991272,16.2355895454433,16.2355895454433,21.5933340954396
"105","CRAIG","200","B",760,2011,2011-06-24,NA,13,11,26,1,2,11,"D","00113897","03",820,3,NA,2,"Charter",3,"2C",103700,"10370","103","70","103-70",6,82,12.7405468281241,10.9881791366113,10.9881791366113,14.614278251693
"106","CRAIG","200","B",760,2011,2011-06-24,NA,13,11,26,1,2,11,"D","00113897","04",750,3,NA,2,"Charter",3,"2C",103700,"10370","103","70","103-70",6,75,9.54178617567186,8.22938427965115,8.22938427965115,10.945081091936
"107","CRAIG","200","B",760,2011,2011-06-24,NA,13,11,26,1,2,11,"D","00113897","05",825,3,NA,2,"Charter",3,"2C",103700,"10370","103","70","103-70",6,82.5,12.9939735987757,11.2067489351843,11.2067489351843,14.9049760837951
"108","CRAIG","200","B",760,2011,2011-06-25,NA,13,11,26,1,1,10,"A","00114253","01",890,5,NA,2,"Charter",7,"2C",104400,"10440","104","40","104-40",6,89,16.6132579480539,14.3282275744224,14.3282275744224,19.0565426739818
"109","CRAIG","200","B",760,2011,2011-06-25,NA,13,11,26,1,1,10,"A","00114253","02",700,5,NA,2,"Charter",7,"2C",104400,"10440","104","40","104-40",6,70,7.6304269041477,6.58091829516383,6.58091829516383,8.7526213325679
"110","CRAIG","200","B",760,2011,2011-06-25,NA,13,11,26,1,1,10,"A","00114253","03",740,5,NA,2,"Charter",7,"2C",104400,"10440","104","40","104-40",6,74,9.13570271299548,7.87915458445051,7.87915458445051,10.4792755973192
"111","CRAIG","200","B",760,2011,2011-06-29,NA,13,12,27,1,3,10,"C","00114264","01",700,5,NA,2,"Charter",3,"2C",104400,"10440","104","40","104-40",6,70,7.6304269041477,6.58091829516383,6.58091829516383,8.7526213325679
"112","CRAIG","200","B",760,2011,2011-06-29,NA,13,12,27,1,3,10,"C","00114264","02",890,5,NA,2,"Charter",3,"2C",104400,"10440","104","40","104-40",6,89,16.6132579480539,14.3282275744224,14.3282275744224,19.0565426739818
"113","CRAIG","200","B",760,2011,2011-06-29,NA,13,12,27,1,3,10,"C","00114264","03",810,5,NA,2,"Charter",3,"2C",104400,"10440","104","40","104-40",6,81,12.2439810253286,10.5599122758681,10.5599122758681,14.0446833269046
