"","MB_MR","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","DAY_TYPE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","SAMPTYPE","LITHCODE","LINENO","LENGTH","LENGTH_TYPE","LEN_VER","AREA","SUBAREA","CLASS","CLASSN","GAF","INTVNUMB","PHOTO_NUM","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES2","SAMP_TYPE","R_SLOT","MONTH","LENCM","GROSSWT","NETWT","ROUNDWT","TAGNUM","GF_area","LC_area"
"26","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,8,10,"A","00118192","01",1220,"STF","",1,NA,1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,122,46.1569430614005,39.8083979910079,52.9451693280405,NA,"SSEI","SSEOC"
"27","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,9,10,"A","00118192","02",730,"STF","",5,NA,1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,73,8.74172728105141,7.53936755018688,10.0273588417485,NA,"SSEO","SSEOC"
"28","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,9,10,"A","00118192","03",680,"STF","",5,NA,1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,68,6.94640441261685,5.99097802244174,7.96800076984751,NA,"SSEO","SSEOC"
"29","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,9,10,"A","00118192","04",980,"STF","",5,NA,1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,98,22.6988404372717,19.5767833424166,26.037121845414,NA,"SSEO","SSEOC"
"30","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,9,10,"A","00118192","05",910,"STF","",5,NA,1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,91,17.8535793395215,15.3979519606891,20.4792761077166,NA,"SSEO","SSEOC"
"31","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,9,10,"A","00118192","06",700,"STF","",5,NA,1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,70,7.6304269041477,6.58091829516383,8.7526213325679,NA,"SSEO","SSEOC"
"32","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,9,10,"A","00118192","07",660,"STF","",5,NA,1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,66,6.3059937777102,5.43865111903038,7.2334059883104,NA,"SSEO","SSEOC"
"33","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-27,1,NA,11,7,22,2,9,10,"A","00118192","08",850,"STF","",5,NA,1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,85,14.3135877905572,12.344859985371,16.4186637805435,NA,"SSEO","SSEOC"
"34","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-29,1,NA,11,7,22,1,3,10,"C","00118186","01",830,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,83,13.2508642867348,11.4283062149386,15.1996472658684,NA,"SSEO","SSEOC"
"35","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-29,1,NA,11,7,22,1,3,10,"C","00118186","02",820,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,82,12.7405468281241,10.9881791366113,14.614278251693,NA,"SSEO","SSEOC"
"36","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-29,1,NA,11,7,22,1,3,10,"C","00118186","03",930,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,93,19.1564901234037,16.5216570328072,21.9738038536336,NA,"SSEO","SSEOC"
"37","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-29,1,NA,11,7,22,1,3,10,"C","00118186","04",800,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,80,11.7609592329861,10.1433265474259,13.4906243080765,NA,"SSEO","SSEOC"
"38","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,8,9,"A","00117770","01",720,"STF","",1,NA,1,"Private","SF",1,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775072,9.58909847540845,NA,"SSEI","SSEOC"
"39","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,9,9,"A","00117770","02",950,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,95,20.5237004736467,17.7008177429845,23.5420875981694,NA,"SSEO","SSEOC"
"40","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,9,9,"A","00117770","03",640,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,64,5.70761016092118,4.92257072920152,6.54701906983802,NA,"SSEO","SSEOC"
"41","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,9,9,"A","00117770","04",700,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,70,7.6304269041477,6.58091829516383,8.7526213325679,NA,"SSEO","SSEOC"
"42","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,9,9,"A","00117770","05",720,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775072,9.58909847540845,NA,"SSEO","SSEOC"
"43","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,9,9,"A","00117770","06",690,"STF","",5,NA,1,"Private","SF",4,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,69,7.28286468232178,6.2811606783156,8.35394370215975,NA,"SSEO","SSEOC"
"44","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,7,9,"A","00117770","07",740,"STF","",6,NA,1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,74,9.13570271299549,7.87915458445051,10.4792755973192,NA,"SSEO","SSEOC"
"45","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,7,9,"A","00117770","08",690,"STF","",6,NA,1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,69,7.28286468232178,6.2811606783156,8.35394370215975,NA,"SSEO","SSEOC"
"46","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,7,9,"A","00117770","09",700,"STF","",6,NA,1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,70,7.6304269041477,6.58091829516383,8.7526213325679,NA,"SSEO","SSEOC"
"47","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,7,9,"A","00117770","10",740,"STF","",6,NA,1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,74,9.13570271299549,7.87915458445051,10.4792755973192,NA,"SSEO","SSEOC"
"48","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,7,9,"A","00117770","11",680,"STF","",6,NA,1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,68,6.94640441261685,5.99097802244174,7.96800076984751,NA,"SSEO","SSEOC"
"49","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,2,7,9,"A","00117770","12",710,"STF","",6,NA,1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,71,7.98929093548086,6.89042324147201,9.16426291115777,NA,"SSEO","SSEOC"
"50","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,1,3,10,"A","00118184","01",910,"STF","",5,NA,1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,91,17.8535793395215,15.3979519606891,20.4792761077166,NA,"SSEO","SSEOC"
"51","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,1,3,10,"A","00118184","02",790,"STF","",5,NA,1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,79,11.2912744200948,9.7382433958611,12.9518637164953,NA,"SSEO","SSEOC"
"52","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,1,3,10,"A","00118184","03",760,"STF","",5,NA,1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,76,9.96018088682265,8.5902319024382,11.4250084302428,NA,"SSEO","SSEOC"
"53","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,1,3,10,"A","00118184","04",750,"STF","",5,NA,1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,75,9.54178617567186,8.22938427965115,10.945081091936,NA,"SSEO","SSEOC"
"54","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-30,1,NA,11,7,22,1,3,10,"A","00118184","05",820,"STF","",5,NA,1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,82,12.7405468281241,10.9881791366113,14.614278251693,NA,"SSEO","SSEOC"
"55","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,1,6,9,"C","00117768","01",690,"STF","",1,NA,1,"Private","SF",4,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,69,7.28286468232178,6.2811606783156,8.35394370215975,NA,"SSEI","SSEOC"
"56","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","01",540,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,54,3.29144777475625,2.83873355325578,3.77551562583018,NA,"SSEI","SSEOC"
"57","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","02",610,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,61,4.88539689627812,4.21344679894347,5.60388424259482,NA,"SSEI","SSEOC"
"58","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","03",570,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,57,3.92162189915275,3.38223190223092,4.49836842996713,NA,"SSEI","SSEOC"
"59","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","04",620,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,62,5.14968021090387,4.44137990441386,5.90703527287044,NA,"SSEI","SSEOC"
"60","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","05",560,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,56,3.70305697584006,3.19372896254249,4.24765952018151,NA,"SSEI","SSEOC"
"61","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","06",550,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,55,3.49306205215912,3.01261728261902,4.0067809858833,NA,"SSEI","SSEOC"
"62","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","07",630,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,63,5.42368635597346,4.67769853713618,6.22133905439112,NA,"SSEI","SSEOC"
"63","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","08",480,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,48,2.24725727908297,1.93816371320172,2.57775773855829,NA,"SSEI","SSEOC"
"64","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","09",520,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,52,2.91260787966822,2.51200027504725,3.34096036581284,NA,"SSEI","SSEOC"
"65","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-05-31,1,NA,11,7,22,2,7,11,"C","00118083","10",530,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,53,3.09802561482112,2.67191517638158,3.5536471845875,NA,"SSEI","SSEOC"
"66","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-01,1,NA,11,7,23,1,6,9,"C","00117767","01",710,"STF","",2,NA,1,"Private","SF",3,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",6,71,7.98929093548086,6.89042324147201,9.16426291115777,NA,"SSEI","SSEOC"
"67","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-01,1,NA,11,7,23,1,6,9,"C","00117767","02",690,"STF","",3,NA,1,"Private","SF",5,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,69,7.28286468232178,6.2811606783156,8.35394370215975,NA,"SSEI","SSEOC"
"68","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-01,1,NA,11,7,23,2,8,11,"C","00118089","01",600,"STF","",3,NA,1,"Private","SF",3,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,60,4.63064233543596,3.99373183786951,5.31166334436644,NA,"SSEI","SSEOC"
"69","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-01,1,NA,11,7,23,2,8,11,"C","00118089","02",740,"STF","",3,NA,1,"Private","SF",3,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,74,9.13570271299549,7.87915458445051,10.4792755973192,NA,"SSEI","SSEOC"
"70","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-01,1,NA,11,7,23,2,8,11,"A","00118089","03",680,"STF","",3,NA,1,"Private","SF",3,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,68,6.94640441261685,5.99097802244174,7.96800076984751,NA,"SSEI","SSEOC"
"71","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-02,1,NA,11,8,23,2,7,10,"A","00118180","01",780,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,78,10.8347201758416,9.34448480063655,12.4281647848466,NA,"SSEO","SSEOC"
"72","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-02,1,NA,11,8,23,2,7,10,"A","00118180","02",720,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,72,8.35965732014726,7.20984847775072,9.58909847540845,NA,"SSEO","SSEOC"
"73","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-02,1,NA,11,8,23,2,7,10,"A","00118180","03",690,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,69,7.28286468232178,6.2811606783156,8.35394370215975,NA,"SSEO","SSEOC"
"74","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-02,1,NA,11,8,23,1,5,11,"A","00118088","01",630,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,63,5.42368635597346,4.67769853713618,6.22133905439112,NA,"SSEI","SSEOC"
"75","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-02,1,NA,11,8,23,1,5,11,"A","00118088","02",650,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,65,6.00164719885555,5.17616515408831,6.88429965493745,NA,"SSEI","SSEOC"
"76","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-02,1,NA,11,8,23,1,5,11,"A","00118088","03",710,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,71,7.98929093548086,6.89042324147201,9.16426291115777,NA,"SSEI","SSEOC"
"77","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-02,1,NA,11,8,23,1,5,11,"A","00118088","04",640,"STF","",3,NA,1,"Private","SF",2,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",6,64,5.70761016092118,4.92257072920152,6.54701906983802,NA,"SSEI","SSEOC"
"78","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-03,1,NA,11,8,23,1,3,11,"C","00118099","01",840,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,84,13.7751416551806,11.8804731210747,15.8010292510293,NA,"SSEO","SSEOC"
"79","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-03,1,NA,11,8,23,1,3,11,"C","00118099","02",720,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,72,8.35965732014726,7.20984847775072,9.58909847540845,NA,"SSEO","SSEOC"
"80","Marine Boat","CRAIG_KLAWOCK","200","B",760,2014,2014-06-03,1,NA,11,8,23,1,3,11,"C","00118099","03",680,"STF","",5,NA,1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",6,68,6.94640441261685,5.99097802244174,7.96800076984751,NA,"SSEO","SSEOC"
