"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","LITHO","USER","PORT","CAS","NETWT","RNDWT"
"72",NA,2006,6,28,8,8,NA,12,"","F",143,NA,525733,NA,"Private","Kodiak",0,66.6,88.6
"73",NA,2006,6,28,8,9,NA,NA,"","F",78,NA,525733,NA,"Private","Kodiak",0,9.3,12.4
"74",NA,2006,6,28,8,10,NA,15,"","F",161,NA,525733,NA,"Charter","Kodiak",0,97.8,130.1
"75",NA,2006,6,28,8,11,NA,7,"","F",83,NA,525733,NA,"Charter","Kodiak",0,11.4,15.2
"76",NA,2006,6,28,8,12,NA,NA,"I","F",138,NA,525733,NA,"Charter","Kodiak",0,59.3,78.9
"77",NA,2006,6,28,8,13,NA,NA,"","F",96,NA,525733,NA,"Charter","Kodiak",0,18.3,24.4
"78",NA,2006,6,28,8,14,NA,8,"","F",82,NA,525733,NA,"Charter","Kodiak",0,11,14.6
"79",NA,2006,6,28,8,15,NA,14,"","F",149,NA,525733,NA,"Charter","Kodiak",0,76.1,101.2
"80",NA,2006,6,28,8,16,NA,15,"","F",156,NA,525733,NA,"Charter","Kodiak",0,88.3,117.4
"81",NA,2006,6,28,8,17,NA,11,"","F",122,NA,525733,NA,"Charter","Kodiak",0,39.8,52.9
"82",NA,2006,6,28,8,18,NA,NA,"","F",135,NA,525733,NA,"Charter","Kodiak",0,55.3,73.5
"83",NA,2006,6,28,8,19,NA,NA,"","F",118,NA,525733,NA,"Charter","Kodiak",0,35.7,47.5
"84",NA,2006,6,28,8,20,NA,8,"","F",99,NA,525733,NA,"Charter","Kodiak",0,20.2,26.9
"85",NA,2006,6,28,8,21,NA,NA,"","F",93,NA,525733,NA,"Charter","Kodiak",0,16.5,22
"86",NA,2006,6,28,8,22,NA,7,"","F",78,NA,525733,NA,"Charter","Kodiak",0,9.3,12.4
"87",NA,2006,6,28,8,23,NA,13,"","F",104,NA,525733,NA,"Charter","Kodiak",0,23.7,31.6
"88",NA,2006,6,28,8,24,NA,NA,"","F",141,NA,525733,NA,"Charter","Kodiak",0,63.6,84.6
"89",NA,2006,6,28,8,25,NA,NA,"","F",125,NA,525733,NA,"Charter","Kodiak",0,43.1,57.3
"90",NA,2006,6,28,8,26,NA,10,"","F",107,NA,525733,NA,"Charter","Kodiak",0,26,34.6
"91",NA,2006,6,28,8,27,NA,8,"","F",86,NA,525733,NA,"Charter","Kodiak",0,12.8,17.1
"92",NA,2006,6,29,9,1,NA,6,"","F",72,NA,525733,NA,"Private","Kodiak",0,7.2,9.6
"93",NA,2006,6,29,9,2,NA,7,"","F",79,NA,525733,NA,"Private","Kodiak",0,9.7,13
"94",NA,2006,6,29,9,3,NA,11,"","F",91,NA,525733,NA,"Private","Kodiak",0,15.4,20.5
"95",NA,2006,6,29,9,4,NA,NA,"I","F",79,NA,525733,NA,"Private","Kodiak",0,9.7,13
"96",NA,2006,6,29,9,5,NA,9,"","F",75,NA,525733,NA,"Private","Kodiak",0,8.2,10.9
"97",NA,2006,6,29,9,6,NA,NA,"","F",100,NA,525733,NA,"Private","Kodiak",0,20.9,27.8
"98",NA,2006,6,29,9,7,NA,7,"","F",89,NA,525733,NA,"Charter","Kodiak",0,14.3,19.1
"99",NA,2006,6,29,9,8,NA,7,"","F",84,NA,525733,NA,"Charter","Kodiak",0,11.9,15.8
"100",NA,2006,6,29,9,9,NA,NA,"","F",100,NA,525733,NA,"Charter","Kodiak",0,20.9,27.8
"101",NA,2006,6,29,9,10,NA,7,"","F",86,NA,525733,NA,"Charter","Kodiak",0,12.8,17.1
"102",NA,2006,6,29,9,11,NA,8,"","F",87,NA,525733,NA,"Charter","Kodiak",0,13.3,17.7
"103",NA,2006,6,29,9,12,NA,8,"","F",87,NA,NA,NA,"Charter","Kodiak",0,13.3,17.7
"104",NA,2006,6,29,9,13,NA,NA,"","F",93,NA,NA,NA,"Charter","Kodiak",0,16.5,22
"105",NA,2006,6,29,9,14,NA,NA,"","F",103,NA,NA,NA,"Charter","Kodiak",0,23,30.6
"106",NA,2006,6,29,9,15,NA,7,"","F",94,NA,NA,NA,"Charter","Kodiak",0,17.1,22.7
"107",NA,2006,6,29,9,16,NA,NA,"","F",98,NA,NA,NA,"Charter","Kodiak",0,19.6,26
"108",NA,2006,6,29,9,17,NA,8,"","F",88,NA,NA,NA,"Charter","Kodiak",0,13.8,18.4
"109",NA,2006,6,29,9,18,NA,NA,"","F",88,NA,NA,NA,"Charter","Kodiak",0,13.8,18.4
"110",NA,2006,6,29,9,19,NA,NA,"","F",86,NA,NA,NA,"Charter","Kodiak",0,12.8,17.1
"111",NA,2006,6,29,9,20,NA,11,"","F",118,NA,NA,NA,"Charter","Kodiak",0,35.7,47.5
"112",NA,2006,6,29,9,21,NA,8,"","F",86,NA,NA,NA,"Charter","Kodiak",0,12.8,17.1
"113",NA,2006,6,29,9,22,NA,9,"","F",95,NA,NA,NA,"Charter","Kodiak",0,17.7,23.5
"114",NA,2006,6,29,9,23,NA,11,"","F",113,NA,NA,NA,"Charter","Kodiak",0,31.1,41.3
"115",NA,2006,6,29,9,24,NA,8,"","F",89,NA,NA,NA,"Charter","Kodiak",0,14.3,19.1
"116",NA,2006,6,30,10,1,NA,6,"","F",78,NA,525733,NA,"Private","Kodiak",0,9.3,12.4
"117",NA,2006,6,30,10,2,NA,9,"","F",97,NA,525733,NA,"Private","Kodiak",0,18.9,25.2
"118",NA,2006,6,30,10,3,NA,8,"","F",92,NA,525733,NA,"Private","Kodiak",0,16,21.2
"119",NA,2006,6,30,10,4,NA,5,"","F",67,NA,525733,NA,"Private","Kodiak",0,5.7,7.6
"120",NA,2006,6,30,10,5,NA,NA,"","F",69,NA,525733,NA,"Private","Kodiak",0,6.3,8.4
"121",NA,2006,6,30,10,6,NA,6,"","F",75,NA,525733,NA,"Private","Kodiak",0,8.2,10.9
"122",NA,2006,6,30,10,7,NA,NA,"","F",107,NA,525733,NA,"Private","Kodiak",0,26,34.6
"123",NA,2006,6,30,10,8,NA,9,"","F",NA,NA,525733,NA,"Private","Kodiak",0,NA,NA
"124",NA,2006,6,30,10,9,NA,10,"","F",93,NA,525733,NA,"Private","Kodiak",0,16.5,22
"125",NA,2006,6,30,10,10,NA,10,"","F",101,NA,525733,NA,"Private","Kodiak",0,21.6,28.7
"126",NA,2006,6,30,10,11,NA,20,"","F",199,NA,525733,NA,"Private","Kodiak",0,194.3,258.4
"127",NA,2006,6,30,10,12,NA,8,"","F",96,NA,525733,NA,"Private","Kodiak",0,18.3,24.4
"128",NA,2006,6,30,10,13,NA,11,"","M",NA,NA,525733,NA,"Private","Kodiak",0,NA,NA
"129",NA,2006,6,30,10,14,NA,NA,"","F",131,NA,525733,NA,"Charter","Kodiak",0,50.1,66.7
"130",NA,2006,6,30,10,15,NA,NA,"","F",80,NA,525733,NA,"Charter","Kodiak",0,10.1,13.5
"131",NA,2006,6,30,10,16,NA,NA,"I","F",76,NA,525733,NA,"Charter","Kodiak",0,8.6,11.4
"132",NA,2006,6,30,10,17,NA,6,"","F",84,NA,525733,NA,"Charter","Kodiak",0,11.9,15.8
"133",NA,2006,6,30,10,18,NA,13,"","F",94,NA,525733,NA,"Charter","Kodiak",0,17.1,22.7
"134",NA,2006,6,30,10,19,NA,7,"","F",76,NA,525733,NA,"Charter","Kodiak",0,8.6,11.4
"135",NA,2006,6,30,10,20,NA,14,"","F",105,NA,525733,NA,"Charter","Kodiak",0,24.5,32.6
"136",NA,2006,6,30,10,21,NA,7,"","F",77,NA,525733,NA,"Charter","Kodiak",0,9,11.9
"137",NA,2006,6,30,10,22,NA,6,"","F",83,NA,525733,NA,"Charter","Kodiak",0,11.4,15.2
"138",NA,2006,6,30,10,23,NA,7,"","F",74,NA,525733,NA,"Charter","Kodiak",0,7.9,10.5
"139",NA,2006,6,30,10,24,NA,7,"","F",79,NA,525733,NA,"Charter","Kodiak",0,9.7,13
"140",NA,2006,6,30,10,25,NA,6,"","F",71,NA,525733,NA,"Charter","Kodiak",0,6.9,9.2
"141",NA,2006,6,30,10,26,NA,9,"","F",93,NA,525733,NA,"Charter","Kodiak",0,16.5,22
"142",NA,2006,6,30,10,27,NA,9,"","F",93,NA,525733,NA,"Charter","Kodiak",0,16.5,22
"143",NA,2006,6,30,10,28,NA,11,"","F",128,NA,525733,NA,"Charter","Kodiak",0,46.5,61.9
"144",NA,2006,6,30,10,29,NA,NA,"","M",80,NA,525733,NA,"Charter","Kodiak",0,10.1,13.5
"145",NA,2006,6,30,10,30,NA,11,"","M",78,NA,525733,NA,"Charter","Kodiak",0,9.3,12.4
"146",NA,2006,6,30,11,1,NA,NA,"","M",75,NA,525733,NA,"Charter","Kodiak",0,8.2,10.9
"147",NA,2006,7,1,12,1,NA,NA,"","F",106,NA,525731,NA,"Private","Kodiak",0,25.2,33.6
"148",NA,2006,7,1,12,2,NA,14,"","F",117,NA,525732,NA,"Private","Kodiak",0,34.8,46.2
"149",NA,2006,7,1,12,3,NA,8,"","F",102,NA,525732,NA,"Private","Kodiak",0,22.3,29.6
"150",NA,2006,7,1,12,4,NA,NA,"","F",144,NA,525733,NA,"Private","Kodiak",0,68.1,90.6
"151",NA,2006,7,1,12,5,NA,NA,"","F",133,NA,525733,NA,"Private","Kodiak",0,52.7,70
"152",NA,2006,7,1,12,6,NA,NA,"","F",93,NA,525733,NA,"Private","Kodiak",0,16.5,22
"153",NA,2006,7,1,12,7,NA,NA,"","F",82,NA,525733,NA,"Private","Kodiak",0,11,14.6
"154",NA,2006,7,2,13,1,NA,NA,"","F",114,NA,525732,NA,"Private","Kodiak",0,32,42.5
"155",NA,2006,7,2,13,2,NA,8,"","F",80,NA,525733,NA,"Private","Kodiak",0,10.1,13.5
"156",NA,2006,7,2,13,3,NA,8,"","F",78,NA,525733,NA,"Private","Kodiak",0,9.3,12.4
"157",NA,2006,7,2,13,4,NA,NA,"","F",84,NA,525733,NA,"Private","Kodiak",0,11.9,15.8
"158",NA,2006,7,2,13,5,NA,NA,"","F",88,NA,525733,NA,"Private","Kodiak",0,13.8,18.4
"159",NA,2006,7,2,13,6,NA,20,"","M",81,NA,525733,NA,"Private","Kodiak",0,10.6,14
"160",NA,2006,7,2,13,7,NA,NA,"","M",85,NA,525733,NA,"Private","Kodiak",0,12.3,16.4
"161",NA,2006,7,2,13,8,NA,NA,"","M",NA,NA,525733,NA,"Private","Kodiak",0,NA,NA
"162",NA,2006,7,2,13,9,NA,NA,"","M",83,NA,525733,NA,"Private","Kodiak",0,11.4,15.2
"163",NA,2006,7,2,13,10,NA,20,"","M",83,NA,525733,NA,"Private","Kodiak",0,11.4,15.2
"164",NA,2006,7,2,13,11,NA,8,"","F",102,NA,525733,NA,"Private","Kodiak",0,22.3,29.6
"165",NA,2006,7,2,13,12,NA,NA,"","F",82,NA,525733,NA,"Private","Kodiak",0,11,14.6
"166",NA,2006,7,2,13,13,NA,NA,"","F",97,NA,525733,NA,"Private","Kodiak",0,18.9,25.2
"167",NA,2006,7,2,13,14,NA,NA,"","F",84,NA,525733,NA,"Private","Kodiak",0,11.9,15.8
"168",NA,2006,7,2,13,15,NA,12,"","F",124,NA,525733,NA,"Private","Kodiak",0,42,55.8
"169",NA,2006,7,2,13,16,NA,NA,"","F",56,NA,525733,NA,"Private","Kodiak",0,3.2,4.2
"170",NA,2006,7,2,13,17,NA,12,"","F",123,NA,525733,NA,"Charter","Kodiak",0,40.9,54.4
"171",NA,2006,7,2,13,18,NA,12,"","F",97,NA,525733,NA,"Charter","Kodiak",0,18.9,25.2
"172",NA,2006,7,2,13,19,NA,11,"","F",112,NA,525733,NA,"Charter","Kodiak",0,30.2,40.1
"173",NA,2006,7,2,13,20,NA,10,"","F",84,NA,525733,NA,"Charter","Kodiak",0,11.9,15.8
"174",NA,2006,7,2,13,21,NA,NA,"I","F",111,NA,525733,NA,"Charter","Kodiak",0,29.3,39
"175",NA,2006,7,2,13,22,NA,7,"","F",76,NA,525733,NA,"Charter","Kodiak",0,8.6,11.4
"176",NA,2006,7,2,13,23,NA,13,"","F",121,NA,525733,NA,"Charter","Kodiak",0,38.8,51.6
"177",NA,2006,7,2,13,24,NA,NA,"","F",106,NA,525733,NA,"Charter","Kodiak",0,25.2,33.6
"178",NA,2006,7,2,13,25,NA,NA,"","F",90,NA,525733,NA,"Charter","Kodiak",0,14.9,19.8
"179",NA,2006,7,2,13,26,NA,13,"","F",142,NA,525733,NA,"Charter","Kodiak",0,65.1,86.6
"180",NA,2006,7,2,13,27,NA,12,"","M",87,NA,525733,NA,"Charter","Kodiak",0,13.3,17.7
"181",NA,2006,7,3,14,1,NA,NA,"","F",73,NA,525733,NA,"Private","Kodiak",0,7.5,10
"182",NA,2006,7,3,14,2,NA,NA,"I","F",146,NA,525733,NA,"Private","Kodiak",0,71.2,94.7
"183",NA,2006,7,3,14,3,NA,12,"","F",123,NA,525733,NA,"Private","Kodiak",0,40.9,54.4
"184",NA,2006,7,3,14,4,NA,NA,"","F",88,NA,525733,NA,"Private","Kodiak",0,13.8,18.4
"185",NA,2006,7,3,14,5,NA,17,"","M",87,NA,525733,NA,"Private","Kodiak",0,13.3,17.7
"186",NA,2006,7,3,14,6,NA,7,"","F",80,NA,525733,NA,"Private","Kodiak",0,10.1,13.5
"187",NA,2006,7,3,14,7,NA,8,"","F",96,NA,525733,NA,"Private","Kodiak",0,18.3,24.4
"188",NA,2006,7,3,14,8,NA,7,"","F",82,NA,525733,NA,"Private","Kodiak",0,11,14.6
"189",NA,2006,7,3,14,9,NA,5,"","F",78,NA,525733,NA,"Private","Kodiak",0,9.3,12.4
"190",NA,2006,7,3,14,10,NA,8,"","F",102,NA,525733,NA,"Private","Kodiak",0,22.3,29.6
"191",NA,2006,7,3,14,11,NA,6,"","F",68,NA,525733,NA,"Private","Kodiak",0,6,8
"192",NA,2006,7,3,14,12,NA,12,"","F",112,NA,525733,NA,"Private","Kodiak",0,30.2,40.1
"193",NA,2006,7,3,14,13,NA,14,"","F",89,NA,525733,NA,"Private","Kodiak",0,14.3,19.1
"194",NA,2006,7,3,14,14,NA,12,"","F",96,NA,525733,NA,"Private","Kodiak",0,18.3,24.4
"195",NA,2006,7,3,14,15,NA,NA,"","F",93,NA,525733,NA,"Private","Kodiak",0,16.5,22
"196",NA,2006,7,3,14,16,NA,NA,"","F",125,NA,525733,NA,"Private","Kodiak",0,43.1,57.3
"197",NA,2006,7,3,14,17,NA,NA,"","F",77,NA,525733,NA,"Private","Kodiak",0,9,11.9
"198",NA,2006,7,3,14,18,NA,NA,"","F",85,NA,525733,NA,"Private","Kodiak",0,12.3,16.4
"199",NA,2006,7,3,14,19,NA,22,"","M",95,NA,525733,NA,"Private","Kodiak",0,17.7,23.5
"200",NA,2006,7,3,14,20,NA,NA,"","M",83,NA,525733,NA,"Private","Kodiak",0,11.4,15.2
"201",NA,2006,7,3,14,21,NA,13,"","M",86,NA,525733,NA,"Private","Kodiak",0,12.8,17.1
"202",NA,2006,7,3,14,22,NA,NA,"","M",88,NA,525733,NA,"Private","Kodiak",0,13.8,18.4
"203",NA,2006,7,3,14,23,NA,11,"","M",98,NA,525733,NA,"Private","Kodiak",0,19.6,26
"204",NA,2006,7,3,14,24,NA,NA,"","M",86,NA,525733,NA,"Private","Kodiak",0,12.8,17.1
"205",NA,2006,7,3,14,25,NA,11,"","F",93,NA,525702,NA,"Charter","Kodiak",0,16.5,22
"206",NA,2006,7,3,14,26,NA,NA,"","F",83,NA,525702,NA,"Charter","Kodiak",0,11.4,15.2
"207",NA,2006,7,3,14,27,NA,8,"","F",85,NA,525702,NA,"Charter","Kodiak",0,12.3,16.4
"208",NA,2006,7,3,14,28,NA,7,"","F",105,NA,525702,NA,"Charter","Kodiak",0,24.5,32.6
"209",NA,2006,7,3,14,29,NA,17,"","F",93,NA,525702,NA,"Charter","Kodiak",0,16.5,22
"210",NA,2006,7,3,14,30,NA,16,"","M",78,NA,525702,NA,"Charter","Kodiak",0,9.3,12.4
"211",NA,2006,7,3,15,1,NA,10,"","M",86,NA,525702,NA,"Charter","Kodiak",0,12.8,17.1
"212",NA,2006,7,3,15,2,NA,16,"","M",83,NA,525702,NA,"Charter","Kodiak",0,11.4,15.2
"213",NA,2006,7,3,15,3,NA,24,"","M",94,NA,525702,NA,"Charter","Kodiak",0,17.1,22.7
"214",NA,2006,7,3,15,4,NA,NA,"","M",89,NA,525702,NA,"Charter","Kodiak",0,14.3,19.1
"215",NA,2006,7,3,15,5,NA,15,"","M",85,NA,525702,NA,"Charter","Kodiak",0,12.3,16.4
"216",NA,2006,7,4,16,1,NA,6,"","F",74,NA,525733,NA,"Private","Kodiak",0,7.9,10.5
"217",NA,2006,7,4,16,2,NA,NA,"","F",110,NA,525733,NA,"Private","Kodiak",0,28.5,37.9
"218",NA,2006,7,4,16,3,NA,7,"","F",90,NA,525733,NA,"Private","Kodiak",0,14.9,19.8
"219",NA,2006,7,4,16,4,NA,NA,"","F",118,NA,525733,NA,"Private","Kodiak",0,35.7,47.5
"220",NA,2006,7,4,16,5,NA,6,"","F",72,NA,525733,NA,"Private","Kodiak",0,7.2,9.6
"221",NA,2006,7,4,16,6,NA,14,"","F",147,NA,525733,NA,"Private","Kodiak",0,72.8,96.9
"222",NA,2006,7,4,16,7,NA,12,"","F",133,NA,525733,NA,"Private","Kodiak",0,52.7,70
"223",NA,2006,7,4,16,8,NA,6,"","F",77,NA,525733,NA,"Private","Kodiak",0,9,11.9
"224",NA,2006,7,4,16,9,NA,7,"","F",78,NA,525733,NA,"Private","Kodiak",0,9.3,12.4
"225",NA,2006,7,4,16,10,NA,NA,"","F",79,NA,525733,NA,"Private","Kodiak",0,9.7,13
"226",NA,2006,7,4,16,11,NA,11,"","F",95,NA,525733,NA,"Private","Kodiak",0,17.7,23.5
"227",NA,2006,7,4,16,12,NA,NA,"","F",137,NA,525733,NA,"Private","Kodiak",0,58,77.1
"228",NA,2006,7,4,16,13,NA,NA,"","F",126,NA,525733,NA,"Private","Kodiak",0,44.2,58.8
"229",NA,2006,7,4,16,14,NA,NA,"","F",72,NA,525733,NA,"Private","Kodiak",0,7.2,9.6
"230",NA,2006,7,4,16,15,NA,10,"","F",122,NA,525733,NA,"Private","Kodiak",0,39.8,52.9
"231",NA,2006,7,4,16,16,NA,NA,"","F",81,NA,525733,NA,"Private","Kodiak",0,10.6,14
"232",NA,2006,7,4,16,17,NA,8,"","F",104,NA,525733,NA,"Private","Kodiak",0,23.7,31.6
"233",NA,2006,7,4,16,18,NA,NA,"","F",85,NA,525733,NA,"Private","Kodiak",0,12.3,16.4
"234",NA,2006,7,4,16,19,NA,NA,"","F",73,NA,525733,NA,"Private","Kodiak",0,7.5,10
"235",NA,2006,7,4,16,20,NA,11,"","F",110,NA,525733,NA,"Charter","Kodiak",0,28.5,37.9
"236",NA,2006,7,4,16,21,NA,9,"","F",89,NA,525733,NA,"Charter","Kodiak",0,14.3,19.1
"237",NA,2006,7,4,16,22,NA,6,"","F",64,NA,525733,NA,"Charter","Kodiak",0,4.9,6.5
"238",NA,2006,7,4,16,23,NA,NA,"","F",84,NA,525733,NA,"Charter","Kodiak",0,11.9,15.8
"239",NA,2006,7,4,16,24,NA,NA,"","F",88,NA,525733,NA,"Charter","Kodiak",0,13.8,18.4
"240",NA,2006,7,4,16,25,NA,NA,"","F",86,NA,525733,NA,"Charter","Kodiak",0,12.8,17.1
