"","SUB","YEAR","MONTH","DAY","PAGE","AGECONF","LINE","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","USER","PORT","CAS","NETWT","RNDWT"
"23",NA,2000,5,28,3,NA,11,12,"","F",136,NA,525733,"Private","Kodiak",0,56.6,75.3
"24",NA,2000,5,28,3,NA,12,NA,"","M",82,NA,525733,"Private","Kodiak",0,11,14.6
"25",NA,2000,5,28,3,NA,13,5,"","F",68,NA,525733,"Private","Kodiak",0,6,8
"26",NA,2000,5,28,3,NA,14,NA,"","F",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"27",NA,2000,5,28,3,NA,15,8,"","F",98,NA,525733,"Private","Kodiak",0,19.6,26
"28",NA,2000,5,28,3,NA,16,NA,"","F",161,NA,525733,"Private","Kodiak",0,97.8,130.1
"29",NA,2000,5,28,3,NA,17,12,"","F",119,NA,525733,"Private","Kodiak",0,36.7,48.8
"30",NA,2000,5,28,3,NA,18,NA,"","F",162,NA,525733,"Private","Kodiak",0,99.8,132.7
"31",NA,2000,5,28,3,NA,19,NA,"","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"32",NA,2000,5,28,3,NA,20,13,"","M",96,NA,525733,"Private","Kodiak",0,18.3,24.4
"33",NA,2000,5,28,3,NA,21,9,"","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"34",NA,2000,5,29,4,NA,1,11,"","F",134,NA,525731,"Private","Kodiak",0,53.9,71.8
"35",NA,2000,5,29,4,NA,2,15,"","F",166,NA,525731,"Private","Kodiak",0,108,143.6
"36",NA,2000,5,29,4,NA,3,14,"","F",112,NA,525731,"Private","Kodiak",0,30.2,40.1
"37",NA,2000,5,29,4,NA,4,7,"","F",81,NA,525731,"Private","Kodiak",0,10.6,14
"38",NA,2000,5,29,4,NA,5,7,"","F",75,NA,525733,"Private","Kodiak",0,8.2,10.9
"39",NA,2000,5,29,4,NA,6,NA,"","F",73,NA,525733,"Private","Kodiak",0,7.5,10
"40",NA,2000,5,29,4,NA,7,NA,"","F",105,NA,525733,"Private","Kodiak",0,24.5,32.6
"41",NA,2000,5,29,4,NA,8,9,"","M",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"42",NA,2000,5,29,4,NA,9,14,"","M",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"43",NA,2000,5,29,4,NA,10,9,"","M",81,NA,525733,"Private","Kodiak",0,10.6,14
"44",NA,2000,5,30,5,NA,1,NA,"","M",86,NA,525733,"Private","Kodiak",0,12.8,17.1
"45",NA,2000,5,30,5,NA,2,11,"","F",96,NA,525733,"Private","Kodiak",0,18.3,24.4
"46",NA,2000,5,30,5,NA,3,11,"","F",92,NA,525733,"Private","Kodiak",0,16,21.2
"47",NA,2000,5,30,5,NA,4,NA,"","F",82,NA,525733,"Private","Kodiak",0,11,14.6
"48",NA,2000,5,30,5,NA,5,NA,"","F",91,NA,525733,"Private","Kodiak",0,15.4,20.5
"49",NA,2000,5,30,5,NA,6,NA,"","F",86,NA,525733,"Private","Kodiak",0,12.8,17.1
"50",NA,2000,6,2,6,NA,1,8,"","F",86,NA,525733,"Private","Kodiak",0,12.8,17.1
"51",NA,2000,6,2,6,NA,2,4,"","F",60,NA,525733,"Private","Kodiak",0,4,5.3
"52",NA,2000,6,2,6,NA,3,5,"","M",73,NA,525733,"Private","Kodiak",0,7.5,10
"53",NA,2000,6,2,6,NA,4,6,"","F",67,NA,525733,"Private","Kodiak",0,5.7,7.6
"54",NA,2000,6,2,6,NA,5,10,"","M",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"55",NA,2000,6,2,6,NA,6,NA,"","F",78,NA,525733,"Private","Kodiak",0,9.3,12.4
"56",NA,2000,6,3,7,NA,1,13,"","F",151,NA,525733,"Private","Kodiak",0,79.4,105.7
"57",NA,2000,6,3,7,NA,2,NA,"","F",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"58",NA,2000,6,3,7,NA,3,11,"","F",87,NA,525733,"Private","Kodiak",0,13.3,17.7
"59",NA,2000,6,3,7,NA,4,8,"","F",87,NA,525733,"Private","Kodiak",0,13.3,17.7
"60",NA,2000,6,3,7,NA,5,NA,"","M",75,NA,525733,"Private","Kodiak",0,8.2,10.9
"61",NA,2000,6,3,7,NA,6,12,"","M",79,NA,525733,"Private","Kodiak",0,9.7,13
"62",NA,2000,6,3,7,NA,7,10,"","M",75,NA,525733,"Private","Kodiak",0,8.2,10.9
"63",NA,2000,6,3,7,NA,8,NA,"","F",69,NA,525733,"Private","Kodiak",0,6.3,8.4
"64",NA,2000,6,3,7,NA,9,NA,"","F",73,NA,525733,"Private","Kodiak",0,7.5,10
"65",NA,2000,6,3,7,NA,10,NA,"","F",69,NA,525733,"Private","Kodiak",0,6.3,8.4
"66",NA,2000,6,3,7,NA,11,11,"","F",123,NA,525733,"Private","Kodiak",0,40.9,54.4
"67",NA,2000,6,3,7,NA,12,NA,"","F",124,NA,525733,"Private","Kodiak",0,42,55.8
"68",NA,2000,6,3,7,NA,13,12,"","F",94,NA,525733,"Private","Kodiak",0,17.1,22.7
"69",NA,2000,6,4,8,NA,1,14,"","F",83,NA,525731,"Private","Kodiak",0,11.4,15.2
"70",NA,2000,6,4,8,NA,2,15,"","M",79,NA,525733,"Private","Kodiak",0,9.7,13
"71",NA,2000,6,4,8,NA,3,9,"","M",79,NA,525733,"Private","Kodiak",0,9.7,13
"72",NA,2000,6,4,8,NA,4,NA,"","F",126,NA,525733,"Private","Kodiak",0,44.2,58.8
"73",NA,2000,6,4,8,NA,5,12,"","F",116,NA,525733,"Private","Kodiak",0,33.8,45
"74",NA,2000,6,4,8,NA,6,11,"","F",116,NA,525733,"Private","Kodiak",0,33.8,45
"75",NA,2000,6,4,8,NA,7,7,"","F",77,NA,525733,"Private","Kodiak",0,9,11.9
"76",NA,2000,6,4,8,NA,8,NA,"","F",77,NA,525733,"Private","Kodiak",0,9,11.9
"77",NA,2000,6,4,8,NA,9,NA,"","M",81,NA,525733,"Private","Kodiak",0,10.6,14
"78",NA,2000,6,4,8,NA,10,NA,"","F",148,NA,525733,"Private","Kodiak",0,74.4,99
"79",NA,2000,6,4,8,NA,11,NA,"","F",75,NA,525733,"Private","Kodiak",0,8.2,10.9
"80",NA,2000,6,4,8,NA,12,NA,"","F",68,NA,525733,"Private","Kodiak",0,6,8
"81",NA,2000,6,4,8,NA,13,17,"","M",84,NA,525733,"Private","Kodiak",0,11.9,15.8
"82",NA,2000,6,4,8,NA,14,NA,"","F",104,NA,525733,"Private","Kodiak",0,23.7,31.6
"83",NA,2000,6,4,8,NA,15,13,"","F",118,NA,525733,"Private","Kodiak",0,35.7,47.5
"84",NA,2000,6,4,8,NA,16,6,"","F",88,NA,525733,"Private","Kodiak",0,13.8,18.4
"85",NA,2000,6,4,8,NA,17,8,"","F",77,NA,NA,"Private","Kodiak",0,9,11.9
"86",NA,2000,6,4,8,NA,18,8,"","F",80,NA,NA,"Private","Kodiak",0,10.1,13.5
"87",NA,2000,6,4,8,NA,19,NA,"","F",92,NA,NA,"Private","Kodiak",0,16,21.2
"88",NA,2000,6,4,8,NA,20,NA,"","F",73,NA,NA,"Private","Kodiak",0,7.5,10
"89",NA,2000,6,5,9,NA,1,6,"","F",64,NA,525733,"Private","Kodiak",0,4.9,6.5
"90",NA,2000,6,5,9,NA,2,NA,"","F",81,NA,525733,"Private","Kodiak",0,10.6,14
"91",NA,2000,6,5,9,NA,3,NA,"","F",86,NA,525733,"Private","Kodiak",0,12.8,17.1
"92",NA,2000,6,5,9,NA,4,9,"","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"93",NA,2000,6,5,9,NA,5,NA,"","F",147,NA,525733,"Private","Kodiak",0,72.8,96.9
"94",NA,2000,6,5,9,NA,6,NA,"","F",156,NA,525731,"Private","Kodiak",0,88.3,117.4
"95",NA,2000,6,5,9,NA,7,4,"","F",57,NA,525733,"Private","Kodiak",0,3.4,4.5
"96",NA,2000,6,5,9,NA,8,8,"","F",94,NA,525733,"Private","Kodiak",0,17.1,22.7
"97",NA,2000,6,5,9,NA,9,11,"","F",100,NA,525733,"Private","Kodiak",0,20.9,27.8
"98",NA,2000,6,5,9,NA,10,NA,"I","M",75,NA,525733,"Private","Kodiak",0,8.2,10.9
"99",NA,2000,6,5,9,NA,11,11,"","M",95,NA,525733,"Private","Kodiak",0,17.7,23.5
"100",NA,2000,6,8,10,NA,1,8,"","F",104,NA,525805,"Private","Kodiak",0,23.7,31.6
"101",NA,2000,6,8,10,NA,2,12,"","F",123,NA,525733,"Private","Kodiak",0,40.9,54.4
"102",NA,2000,6,9,11,NA,1,9,"","F",124,NA,525733,"Charter","Kodiak",0,42,55.8
"103",NA,2000,6,9,11,NA,2,15,"","F",114,NA,525733,"Charter","Kodiak",0,32,42.5
"104",NA,2000,6,9,11,NA,3,14,"","F",149,NA,525733,"Charter","Kodiak",0,76.1,101.2
"105",NA,2000,6,9,11,NA,4,NA,"","F",71,NA,525733,"Charter","Kodiak",0,6.9,9.2
"106",NA,2000,6,9,11,NA,5,9,"","F",84,NA,525733,"Charter","Kodiak",0,11.9,15.8
"107",NA,2000,6,10,12,NA,1,9,"","F",84,NA,525733,"Private","Kodiak",0,11.9,15.8
"108",NA,2000,6,10,12,NA,2,12,"","F",127,NA,525733,"Private","Kodiak",0,45.3,60.3
"109",NA,2000,6,10,12,NA,3,NA,"","F",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"110",NA,2000,6,10,12,NA,4,NA,"","F",106,NA,525733,"Private","Kodiak",0,25.2,33.6
"111",NA,2000,6,10,12,NA,5,11,"","F",113,NA,525733,"Private","Kodiak",0,31.1,41.3
"112",NA,2000,6,10,12,NA,6,NA,"","F",108,NA,525733,"Private","Kodiak",0,26.8,35.7
"113",NA,2000,6,10,12,NA,7,10,"","F",103,NA,525733,"Private","Kodiak",0,23,30.6
"114",NA,2000,6,10,12,NA,8,NA,"","F",99,NA,525733,"Private","Kodiak",0,20.2,26.9
"115",NA,2000,6,10,12,NA,9,NA,"","F",86,NA,525733,"Private","Kodiak",0,12.8,17.1
"116",NA,2000,6,10,12,NA,10,7,"","F",82,NA,525733,"Private","Kodiak",0,11,14.6
"117",NA,2000,6,13,13,NA,1,10,"","F",105,NA,525733,"Private","Kodiak",0,24.5,32.6
"118",NA,2000,6,14,14,NA,1,7,"","F",62,NA,525733,"Private","Kodiak",0,4.4,5.9
"119",NA,2000,6,14,14,NA,2,7,"","F",94,NA,525733,"Private","Kodiak",0,17.1,22.7
"120",NA,2000,6,14,14,NA,3,8,"","F",122,NA,525733,"Private","Kodiak",0,39.8,52.9
"121",NA,2000,6,14,14,NA,4,13,"","F",103,NA,525733,"Private","Kodiak",0,23,30.6
"122",NA,2000,6,14,14,NA,5,NA,"","F",97,NA,525733,"Private","Kodiak",0,18.9,25.2
"123",NA,2000,6,14,14,NA,6,NA,"","F",105,NA,525733,"Private","Kodiak",0,24.5,32.6
"124",NA,2000,6,15,15,NA,1,16,"","F",115,NA,525733,"Charter","Kodiak",0,32.9,43.7
"125",NA,2000,6,15,15,NA,2,NA,"","F",102,NA,525733,"Charter","Kodiak",0,22.3,29.6
"126",NA,2000,6,15,15,NA,3,17,"","F",94,NA,525733,"Charter","Kodiak",0,17.1,22.7
"127",NA,2000,6,15,15,NA,4,NA,"","F",129,NA,525733,"Charter","Kodiak",0,47.7,63.4
"128",NA,2000,6,15,15,NA,5,11,"","F",134,NA,525733,"Charter","Kodiak",0,53.9,71.8
"129",NA,2000,6,15,15,NA,6,9,"","F",97,NA,525733,"Charter","Kodiak",0,18.9,25.2
"130",NA,2000,6,15,15,NA,7,11,"","F",95,NA,525733,"Private","Kodiak",0,17.7,23.5
"131",NA,2000,6,15,15,NA,8,12,"","F",109,NA,525733,"Private","Kodiak",0,27.6,36.8
"132",NA,2000,6,15,15,NA,9,12,"","F",106,NA,525733,"Private","Kodiak",0,25.2,33.6
"133",NA,2000,6,15,15,NA,10,NA,"I","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"134",NA,2000,6,15,15,NA,11,NA,"","F",87,NA,525733,"Private","Kodiak",0,13.3,17.7
"135",NA,2000,6,15,15,NA,12,NA,"","F",108,NA,525733,"Private","Kodiak",0,26.8,35.7
"136",NA,2000,6,16,16,NA,1,11,"","F",110,NA,525733,"Charter","Kodiak",0,28.5,37.9
"137",NA,2000,6,16,16,NA,2,7,"","F",88,NA,525733,"Charter","Kodiak",0,13.8,18.4
"138",NA,2000,6,16,16,NA,3,NA,"I","M",101,NA,525733,"Charter","Kodiak",0,21.6,28.7
"139",NA,2000,6,16,16,NA,4,16,"","M",97,NA,525733,"Charter","Kodiak",0,18.9,25.2
"140",NA,2000,6,16,16,NA,5,11,"","M",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"141",NA,2000,6,16,16,NA,6,7,"","M",67,NA,525733,"Private","Kodiak",0,5.7,7.6
"142",NA,2000,6,16,16,NA,7,20,"","M",NA,NA,525733,"Private","Kodiak",0,NA,NA
"143",NA,2000,6,16,16,NA,8,11,"","F",94,NA,525733,"Private","Kodiak",0,17.1,22.7
"144",NA,2000,6,16,16,NA,9,NA,"","F",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"145",NA,2000,6,16,16,NA,10,9,"","F",105,NA,525733,"Private","Kodiak",0,24.5,32.6
"146",NA,2000,6,20,17,NA,1,NA,"","M",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"147",NA,2000,6,20,17,NA,2,8,"","F",79,NA,525733,"Private","Kodiak",0,9.7,13
"148",NA,2000,6,20,17,NA,3,NA,"","F",95,NA,525733,"Private","Kodiak",0,17.7,23.5
"149",NA,2000,6,20,17,NA,4,NA,"","M",78,NA,525733,"Private","Kodiak",0,9.3,12.4
"150",NA,2000,6,20,17,NA,5,NA,"","F",61,NA,525733,"Private","Kodiak",0,4.2,5.6
"151",NA,2000,6,20,17,NA,6,NA,"","F",137,NA,525733,"Private","Kodiak",0,58,77.1
"152",NA,2000,6,20,17,NA,7,NA,"","F",159,NA,525733,"Private","Kodiak",0,93.9,124.9
"153",NA,2000,6,20,17,NA,8,12,"","F",125,NA,525733,"Private","Kodiak",0,43.1,57.3
"154",NA,2000,6,20,17,NA,9,8,"","F",103,NA,525733,"Private","Kodiak",0,23,30.6
"155",NA,2000,6,20,17,NA,10,NA,"","F",69,NA,525733,"Private","Kodiak",0,6.3,8.4
"156",NA,2000,6,20,17,NA,11,NA,"","F",63,NA,525733,"Private","Kodiak",0,4.7,6.2
"157",NA,2000,6,20,17,NA,12,NA,"","F",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"158",NA,2000,6,21,18,NA,1,NA,"","F",91,NA,NA,"Private","Kodiak",0,15.4,20.5
"159",NA,2000,6,21,18,NA,2,NA,"","F",103,NA,NA,"Private","Kodiak",0,23,30.6
"160",NA,2000,6,21,18,NA,3,15,"","F",96,NA,525733,"Charter","Kodiak",0,18.3,24.4
"161",NA,2000,6,21,18,NA,4,5,"","F",72,NA,525733,"Charter","Kodiak",0,7.2,9.6
"162",NA,2000,6,21,18,NA,5,12,"","F",88,NA,525733,"Charter","Kodiak",0,13.8,18.4
"163",NA,2000,6,21,18,NA,6,14,"","M",89,NA,525733,"Charter","Kodiak",0,14.3,19.1
"164",NA,2000,6,21,18,NA,7,13,"","M",86,NA,525733,"Charter","Kodiak",0,12.8,17.1
"165",NA,2000,6,21,18,NA,8,NA,"","F",97,NA,525733,"Charter","Kodiak",0,18.9,25.2
"166",NA,2000,6,21,18,NA,9,NA,"","F",99,NA,525733,"Private","Kodiak",0,20.2,26.9
"167",NA,2000,6,21,18,NA,10,NA,"","F",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"168",NA,2000,6,21,18,NA,11,5,"","F",71,NA,525733,"Private","Kodiak",0,6.9,9.2
"169",NA,2000,6,21,18,NA,12,13,"","F",98,NA,525733,"Private","Kodiak",0,19.6,26
"170",NA,2000,6,21,18,NA,13,NA,"","F",98,NA,525733,"Private","Kodiak",0,19.6,26
"171",NA,2000,6,21,18,NA,14,NA,"","F",78,NA,525733,"Private","Kodiak",0,9.3,12.4
"172",NA,2000,6,21,18,NA,15,NA,"","F",102,NA,525733,"Private","Kodiak",0,22.3,29.6
"173",NA,2000,6,22,19,NA,1,NA,"","M",86,NA,525733,"Private","Kodiak",0,12.8,17.1
"174",NA,2000,6,22,19,NA,2,NA,"","F",83,NA,525733,"Private","Kodiak",0,11.4,15.2
"175",NA,2000,6,22,19,NA,3,8,"","F",87,NA,525733,"Private","Kodiak",0,13.3,17.7
"176",NA,2000,6,22,19,NA,4,21,"","M",84,NA,525733,"Private","Kodiak",0,11.9,15.8
"177",NA,2000,6,22,19,NA,5,8,"","F",79,NA,525733,"Private","Kodiak",0,9.7,13
"178",NA,2000,6,22,19,NA,6,9,"","F",82,NA,525733,"Private","Kodiak",0,11,14.6
"179",NA,2000,6,22,19,NA,7,7,"","F",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"180",NA,2000,6,22,19,NA,8,9,"","F",91,NA,525733,"Private","Kodiak",0,15.4,20.5
"181",NA,2000,6,22,19,NA,9,6,"","F",72,NA,525733,"Private","Kodiak",0,7.2,9.6
"182",NA,2000,6,22,19,NA,10,NA,"","F",94,NA,525733,"Private","Kodiak",0,17.1,22.7
"183",NA,2000,6,22,19,NA,11,NA,"","F",98,NA,525733,"Private","Kodiak",0,19.6,26
"184",NA,2000,6,22,19,NA,12,NA,"","F",150,NA,525733,"Private","Kodiak",0,77.8,103.4
"185",NA,2000,6,22,19,NA,13,13,"","M",88,NA,525733,"Private","Kodiak",0,13.8,18.4
"186",NA,2000,6,22,19,NA,14,NA,"","F",63,NA,525733,"Charter","Kodiak",0,4.7,6.2
"187",NA,2000,6,22,19,NA,15,11,"","F",100,NA,525733,"Charter","Kodiak",0,20.9,27.8
"188",NA,2000,6,22,19,NA,16,12,"","F",107,NA,525733,"Charter","Kodiak",0,26,34.6
"189",NA,2000,6,22,19,NA,17,NA,"","F",91,NA,525733,"Charter","Kodiak",0,15.4,20.5
"190",NA,2000,6,22,19,NA,18,12,"","F",101,NA,525733,"Charter","Kodiak",0,21.6,28.7
"191",NA,2000,6,22,19,NA,19,5,"","F",69,NA,525733,"Charter","Kodiak",0,6.3,8.4
"192",NA,2000,6,22,19,NA,20,13,"","F",95,NA,525733,"Charter","Kodiak",0,17.7,23.5
"193",NA,2000,6,22,19,NA,21,11,"","F",90,NA,525733,"Charter","Kodiak",0,14.9,19.8
"194",NA,2000,6,22,19,NA,22,15,"","M",88,NA,525733,"Charter","Kodiak",0,13.8,18.4
"195",NA,2000,6,22,19,NA,23,11,"","F",87,NA,525733,"Charter","Kodiak",0,13.3,17.7
"196",NA,2000,6,22,19,NA,24,12,"","M",86,NA,525733,"Charter","Kodiak",0,12.8,17.1
"197",NA,2000,6,22,19,NA,25,10,"","F",89,NA,525733,"Charter","Kodiak",0,14.3,19.1
"198",NA,2000,6,22,19,NA,26,11,"","F",94,NA,525733,"Charter","Kodiak",0,17.1,22.7
"199",NA,2000,6,22,19,NA,27,11,"","M",90,NA,525733,"Charter","Kodiak",0,14.9,19.8
"200",NA,2000,6,22,19,NA,28,NA,"","F",87,NA,525733,"Charter","Kodiak",0,13.3,17.7
"201",NA,2000,6,27,20,NA,1,NA,"","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"202",NA,2000,6,27,20,NA,2,12,"","F",113,NA,525733,"Private","Kodiak",0,31.1,41.3
"203",NA,2000,6,27,20,NA,3,NA,"","F",132,NA,525733,"Private","Kodiak",0,51.4,68.3
"204",NA,2000,6,27,20,NA,4,11,"","F",90,NA,525733,"Private","Kodiak",0,14.9,19.8
"205",NA,2000,6,27,20,NA,5,NA,"","F",187,NA,525733,"Private","Kodiak",0,158.8,211.2
"206",NA,2000,6,27,20,NA,6,10,"","F",94,NA,525733,"Private","Kodiak",0,17.1,22.7
"207",NA,2000,6,27,20,NA,7,NA,"","F",118,NA,525733,"Private","Kodiak",0,35.7,47.5
"208",NA,2000,6,27,20,NA,8,13,"","F",113,NA,525733,"Private","Kodiak",0,31.1,41.3
"209",NA,2000,6,27,20,NA,9,NA,"","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"210",NA,2000,6,27,20,NA,10,NA,"","F",108,NA,525733,"Private","Kodiak",0,26.8,35.7
"211",NA,2000,6,27,20,NA,11,NA,"","F",96,NA,525733,"Private","Kodiak",0,18.3,24.4
"212",NA,2000,6,27,20,NA,12,10,"","F",62,NA,525733,"Private","Kodiak",0,4.4,5.9
"213",NA,2000,6,27,20,NA,13,NA,"I","F",99,NA,525733,"Private","Kodiak",0,20.2,26.9
"214",NA,2000,6,27,20,NA,14,9,"","F",115,NA,525733,"Private","Kodiak",0,32.9,43.7
"215",NA,2000,6,27,20,NA,15,NA,"","F",105,NA,525733,"Private","Kodiak",0,24.5,32.6
"216",NA,2000,6,27,20,NA,16,7,"","F",89,NA,525733,"Private","Kodiak",0,14.3,19.1
"217",NA,2000,6,27,20,NA,17,8,"","M",76,NA,525733,"Private","Kodiak",0,8.6,11.4
"218",NA,2000,6,27,20,NA,18,11,"","F",104,NA,525733,"Private","Kodiak",0,23.7,31.6
"219",NA,2000,6,28,21,NA,1,NA,"","M",88,NA,525733,"Charter","Kodiak",0,13.8,18.4
"220",NA,2000,6,28,21,NA,2,13,"","F",127,NA,525733,"Charter","Kodiak",0,45.3,60.3
"221",NA,2000,6,28,21,NA,3,9,"","F",108,NA,525733,"Charter","Kodiak",0,26.8,35.7
"222",NA,2000,6,28,21,NA,4,NA,"","F",92,NA,525733,"Charter","Kodiak",0,16,21.2
"223",NA,2000,6,28,21,NA,5,12,"","F",115,NA,525733,"Charter","Kodiak",0,32.9,43.7
"224",NA,2000,6,28,21,NA,6,NA,"","F",117,NA,525733,"Private","Kodiak",0,34.8,46.2
"225",NA,2000,6,28,21,NA,7,NA,"I","M",79,NA,525733,"Private","Kodiak",0,9.7,13
"226",NA,2000,6,28,21,NA,8,9,"","F",95,NA,525733,"Private","Kodiak",0,17.7,23.5
"227",NA,2000,6,28,21,NA,9,13,"","M",88,NA,525733,"Private","Kodiak",0,13.8,18.4
"228",NA,2000,6,28,21,NA,10,10,"","F",134,NA,525733,"Private","Kodiak",0,53.9,71.8
"229",NA,2000,6,28,21,NA,11,13,"","F",148,NA,525733,"Private","Kodiak",0,74.4,99
"230",NA,2000,6,28,21,NA,12,NA,"","F",107,NA,525733,"Private","Kodiak",0,26,34.6
"231",NA,2000,6,28,21,NA,13,5,"","F",82,NA,525733,"Private","Kodiak",0,11,14.6
"232",NA,2000,6,28,21,NA,14,NA,"","M",90,NA,525733,"Private","Kodiak",0,14.9,19.8
"233",NA,2000,6,28,21,NA,15,NA,"","F",66,NA,525733,"Private","Kodiak",0,5.4,7.2
"234",NA,2000,6,28,21,NA,16,NA,"","F",74,NA,525733,"Private","Kodiak",0,7.9,10.5
"235",NA,2000,6,28,21,NA,17,6,"","M",68,NA,525733,"Private","Kodiak",0,6,8
"236",NA,2000,6,28,21,NA,18,NA,"","F",74,NA,525733,"Private","Kodiak",0,7.9,10.5
"237",NA,2000,6,29,22,NA,1,5,"","F",68,NA,525731,"Private","Kodiak",0,6,8
"238",NA,2000,6,29,22,NA,2,NA,"","F",126,NA,525733,"Private","Kodiak",0,44.2,58.8
"239",NA,2000,6,29,22,NA,3,NA,"","F",129,NA,525733,"Private","Kodiak",0,47.7,63.4
"240",NA,2000,6,29,22,NA,4,NA,"","F",95,NA,525733,"Private","Kodiak",0,17.7,23.5
"241",NA,2000,6,29,22,NA,5,6,"","F",87,NA,525733,"Private","Kodiak",0,13.3,17.7
"242",NA,2000,6,29,22,NA,6,6,"","F",64,NA,525733,"Private","Kodiak",0,4.9,6.5
"243",NA,2000,6,29,22,NA,7,NA,"","F",132,NA,525701,"Charter","Kodiak",0,51.4,68.3
"244",NA,2000,6,29,22,NA,8,NA,"","F",122,NA,525701,"Charter","Kodiak",0,39.8,52.9
"245",NA,2000,6,29,22,NA,9,NA,"","M",87,NA,525701,"Charter","Kodiak",0,13.3,17.7
"246",NA,2000,6,29,22,NA,10,11,"","F",158,NA,525701,"Charter","Kodiak",0,92,122.4
"247",NA,2000,6,29,22,NA,11,7,"","F",97,NA,525701,"Charter","Kodiak",0,18.9,25.2
"248",NA,2000,6,29,22,NA,12,NA,"","M",94,NA,525701,"Charter","Kodiak",0,17.1,22.7
"249",NA,2000,6,29,22,NA,13,NA,"","M",90,NA,525731,"Private","Kodiak",0,14.9,19.8
"250",NA,2000,6,30,23,NA,1,NA,"","F",71,NA,NA,"Private","Kodiak",0,6.9,9.2
"251",NA,2000,6,30,23,NA,2,NA,"","F",69,NA,NA,"Private","Kodiak",0,6.3,8.4
"252",NA,2000,6,30,23,NA,3,NA,"","F",86,NA,NA,"Private","Kodiak",0,12.8,17.1
"253",NA,2000,6,30,23,NA,4,NA,"","F",171,NA,525733,"Charter","Kodiak",0,118.9,158.1
"254",NA,2000,6,30,23,NA,5,6,"","F",79,NA,525733,"Charter","Kodiak",0,9.7,13
"255",NA,2000,6,30,23,NA,6,NA,"","F",101,NA,525733,"Charter","Kodiak",0,21.6,28.7
