"","Area_name","DATE","WK","WD","Site","snum","Area","SPECIES","ID","day_type","LITHCODE","LINE","LENGTH","CATAREA","CHAR_NON","CAS"
"19","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,5,785,55,2,0
"20","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,6,625,55,2,0
"21","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,7,810,55,2,0
"22","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,8,580,55,2,0
"23","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,9,735,55,2,0
"24","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,10,710,55,2,0
"25","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,11,805,55,2,0
"26","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,12,805,55,2,0
"27","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,13,710,55,2,0
"28","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,14,790,55,2,0
"29","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,15,945,55,2,0
"30","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,16,720,55,2,0
"31","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,17,905,46,1,0
"32","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,18,1120,46,1,0
"33","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,19,1200,46,1,0
"34","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8280,20,1090,46,1,0
"35","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8282,1,905,53,2,0
"36","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8282,2,930,53,2,0
"37","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8282,3,725,53,2,0
"38","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8282,4,1100,53,2,0
"39","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8282,5,825,53,2,0
"40","Elfin Cove",2006-05-20,21,1,"G",82,"G 82",200,1,"C",8282,6,1430,53,2,0
"41","Elfin Cove",2006-05-21,21,1,"G",82,"G 82",200,1,"A",8286,1,855,55,2,NA
"42","Elfin Cove",2006-05-21,21,1,"G",82,"G 82",200,1,"A",8286,2,850,55,2,NA
"43","Elfin Cove",2006-05-21,21,1,"G",82,"G 82",200,1,"A",8286,3,670,55,2,NA
"44","Elfin Cove",2006-05-21,21,1,"G",82,"G 82",200,1,"A",8286,4,810,55,2,NA
"45","Elfin Cove",2006-05-21,21,1,"G",82,"G 82",200,1,"A",8286,5,755,55,2,NA
"46","Elfin Cove",2006-05-21,21,1,"G",82,"G 82",200,1,"A",8286,6,855,55,2,NA
"47","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,1,715,55,1,0
"48","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,2,660,55,1,0
"49","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,3,905,55,1,0
"50","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,4,805,55,1,0
"51","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,5,695,55,1,0
"52","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,6,885,55,1,0
"53","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,7,710,55,1,0
"54","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,8,655,55,1,0
"55","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,9,790,55,1,0
"56","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,10,755,55,1,NA
"57","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,11,800,55,1,NA
"58","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,12,755,55,1,NA
"59","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,13,820,46,2,NA
"60","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,14,1265,46,2,NA
"61","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,15,1510,46,2,NA
"62","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,16,1135,46,2,NA
"63","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,17,1250,46,2,NA
"64","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,18,845,46,2,NA
"65","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,19,1070,29,2,NA
"66","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10373,20,1160,29,2,NA
"67","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10402,1,1170,29,2,NA
"68","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10402,2,885,29,2,NA
"69","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10402,3,815,29,2,NA
"70","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10402,4,975,29,2,NA
"71","Elfin Cove",2006-05-24,21,2,"G",82,"G 82",200,1,"A",10402,5,1570,53,1,NA
"72","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,1,880,55,2,0
"73","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,2,820,55,2,0
"74","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,3,765,55,2,0
"75","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,4,865,55,2,0
"76","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,5,780,55,2,0
"77","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,6,885,55,2,0
"78","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,7,830,55,2,0
"79","Elfin Cove",2006-05-26,21,2,"G",82,"G 82",200,1,"C",10410,8,840,55,2,0
"80","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,1,870,53,2,0
"81","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,2,935,53,2,0
"82","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,3,965,55,2,0
"83","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,4,860,55,2,0
"84","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,5,1440,53,2,0
"85","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,6,1455,53,2,0
"86","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,7,960,53,2,0
"87","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,8,1075,53,2,0
"88","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,9,1495,53,2,0
"89","Elfin Cove",2006-05-27,22,1,"G",82,"G 82",200,1,"A",10412,10,1610,53,2,0
"90","Elfin Cove",2006-05-28,22,1,"G",82,"G 82",200,1,"C",10417,1,785,55,2,0
"91","Elfin Cove",2006-05-28,22,1,"G",82,"G 82",200,1,"C",10417,2,810,55,2,0
"92","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10424,1,1195,53,2,0
"93","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10424,2,910,53,2,0
"94","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10424,3,1010,53,2,0
"95","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10424,4,785,53,2,0
"96","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10424,5,1210,53,2,0
"97","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,1,860,55,2,0
"98","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,2,825,55,2,0
"99","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,3,845,55,2,0
"100","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,4,730,55,2,0
"101","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,5,840,55,2,0
"102","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,6,910,55,2,0
"103","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,7,820,55,2,0
"104","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,8,910,55,2,0
"105","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,9,950,55,2,0
"106","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,10,1020,55,2,0
"107","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,11,860,55,2,0
"108","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,12,920,55,2,0
"109","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,13,1180,55,2,0
"110","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,14,1295,55,2,0
"111","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,15,1435,55,2,0
"112","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,16,1025,55,2,0
"113","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,17,795,55,2,0
"114","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,18,1910,53,2,0
"115","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,19,1560,53,2,0
"116","Elfin Cove",2006-05-29,22,2,"G",82,"G 82",200,1,"A",10421,20,1440,53,2,0
"117","Elfin Cove",2006-06-01,22,2,"G",82,"G 82",200,1,"C",10426,1,840,55,1,1
"118","Elfin Cove",2006-06-01,22,2,"G",82,"G 82",200,1,"C",10426,2,750,55,1,0
"119","Elfin Cove",2006-06-01,22,2,"G",82,"G 82",200,1,"C",10426,3,700,55,1,0
"120","Elfin Cove",2006-06-01,22,2,"G",82,"G 82",200,1,"C",10426,4,1580,55,2,0
"121","Elfin Cove",2006-06-01,22,2,"G",82,"G 82",200,1,"C",10426,5,820,55,2,0
"122","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,1,770,55,1,0
"123","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,2,920,55,1,0
"124","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,3,740,55,1,0
"125","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,4,745,55,1,0
"126","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,5,825,55,2,0
"127","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,6,795,55,2,0
"128","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,7,970,55,2,0
"129","Elfin Cove",2006-06-02,22,2,"G",82,"G 82",200,1,"A",16260,8,1405,55,2,0
"130","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18516,1,940,53,2,0
"131","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18516,2,945,53,2,0
"132","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18516,3,695,55,1,0
"133","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,1,1430,46,1,0
"134","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,2,950,46,1,0
"135","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,3,1005,55,2,0
"136","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,4,1040,55,2,0
"137","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,5,885,55,2,0
"138","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,6,1105,55,2,0
"139","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,7,795,55,2,0
"140","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,8,1500,55,2,0
"141","Elfin Cove",2006-06-03,23,1,"G",82,"G 82",200,1,"C",18513,9,1090,53,2,0
"142","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18520,1,1210,46,2,0
"143","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18520,2,1240,46,2,0
"144","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18520,3,1225,46,2,0
"145","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18520,4,1540,46,2,0
"146","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18520,5,920,46,2,0
"147","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18520,6,1530,46,2,0
"148","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18520,7,970,53,2,0
"149","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,1,1240,47,2,0
"150","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,2,1420,47,2,0
"151","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,3,1280,47,2,0
"152","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,4,935,47,2,0
"153","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,5,1050,46,2,0
"154","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,6,1185,46,2,0
"155","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,7,1515,46,2,0
"156","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,8,1400,46,2,0
"157","Elfin Cove",2006-06-04,23,1,"G",82,"G 82",200,1,"C",18518,9,1140,46,2,0
"158","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,1,1190,46,2,0
"159","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,2,1285,53,2,0
"160","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,3,940,53,2,0
"161","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,4,1335,53,2,0
"162","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,5,1115,53,2,0
"163","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,6,925,46,2,0
"164","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,7,1355,46,2,0
"165","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,8,1270,46,2,0
"166","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,9,1370,46,2,0
"167","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,10,1345,53,2,0
"168","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,11,820,46,2,0
"169","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,12,1185,46,2,0
"170","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,13,1235,46,2,0
"171","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,14,1270,46,2,0
"172","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,15,1340,46,2,0
"173","Elfin Cove",2006-06-05,23,2,"G",82,"G 82",200,1,"A",18526,16,1125,46,2,0
"174","Elfin Cove",2006-06-08,23,2,"G",82,"G 82",200,1,"A",18530,1,1350,55,2,0
"175","Elfin Cove",2006-06-08,23,2,"G",82,"G 82",200,1,"A",18530,2,1310,55,2,0
"176","Elfin Cove",2006-06-08,23,2,"G",82,"G 82",200,1,"A",18530,3,1270,55,2,0
"177","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,1,880,55,2,0
"178","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,2,915,55,2,0
"179","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,3,845,55,2,0
"180","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,4,830,55,2,0
"181","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,5,705,55,2,0
"182","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,6,840,55,2,0
"183","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,7,975,55,2,0
"184","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,8,890,55,2,0
"185","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,9,1360,55,2,0
"186","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,10,1020,55,2,0
"187","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,11,1065,55,2,0
"188","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,12,1655,55,2,0
"189","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,13,1095,46,1,0
"190","Elfin Cove",2006-06-09,23,2,"G",82,"G 82",200,1,"C",18531,14,1730,46,1,0
"191","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,1,1050,53,2,0
"192","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,2,1305,53,2,0
"193","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,3,945,53,2,0
"194","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,4,1205,53,2,0
"195","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,5,860,55,2,0
"196","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,6,1265,55,2,0
"197","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,7,965,55,2,0
"198","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,8,1200,55,2,0
"199","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,9,922,55,2,0
"200","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,10,875,55,2,0
"201","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,11,865,55,2,1
"202","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,12,780,55,2,0
"203","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,13,835,55,2,0
"204","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,14,880,55,2,0
"205","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,15,870,55,2,0
"206","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,16,880,55,2,0
"207","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,17,815,55,2,0
"208","Elfin Cove",2006-06-10,24,1,"G",82,"G 82",200,1,"C",18535,18,810,55,2,0
"209","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,1,1175,46,2,0
"210","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,2,1275,53,2,0
"211","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,3,1380,53,2,0
"212","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,4,960,28,2,0
"213","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,5,870,28,2,0
"214","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,6,960,55,2,0
"215","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,7,1105,55,2,0
"216","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,8,1395,55,2,0
"217","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,9,1185,55,2,0
"218","Elfin Cove",2006-06-11,24,1,"G",82,"G 82",200,1,"A",18540,10,1395,55,2,0
"219","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,1,1125,61,2,0
"220","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,2,1240,61,2,0
"221","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,3,890,61,2,0
"222","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,4,755,55,2,0
"223","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,5,1195,53,2,0
"224","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,6,1395,53,2,0
"225","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,7,855,55,2,0
"226","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,8,895,55,2,0
"227","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,9,685,55,2,0
"228","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,10,910,55,2,0
"229","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,11,1000,55,2,0
"230","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,12,990,55,2,0
"231","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,13,965,55,2,0
"232","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,14,865,55,2,0
"233","Elfin Cove",2006-06-12,24,2,"G",82,"G 82",200,1,"C",18545,15,1140,55,2,0
"234","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,1,1835,53,2,0
"235","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,2,925,53,2,0
"236","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,3,935,55,2,0
"237","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,4,910,55,2,0
"238","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,5,865,55,2,0
"239","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,6,810,55,2,0
"240","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,7,850,55,2,0
"241","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,8,830,55,2,0
"242","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,9,900,55,2,0
"243","Elfin Cove",2006-06-13,24,2,"G",82,"G 82",200,1,"A",18547,10,785,55,2,0
"244","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,1,805,55,2,0
"245","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,2,855,55,2,0
"246","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,3,740,55,2,0
"247","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,4,875,55,2,0
"248","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,5,895,55,2,0
"249","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,6,850,55,2,0
"250","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,7,1005,55,2,0
"251","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,8,810,55,2,0
"252","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,9,950,55,2,0
"253","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,10,780,55,2,0
"254","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,11,930,55,2,0
"255","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,12,815,55,2,0
"256","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,13,840,55,2,0
"257","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,14,820,55,2,0
"258","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,15,775,55,2,0
"259","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,16,795,55,2,0
"260","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,17,940,55,2,0
"261","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,18,1050,55,2,0
"262","Elfin Cove",2006-06-16,24,2,"G",82,"G 82",200,1,"A",18552,19,1080,55,2,0
"263","Elfin Cove",2006-06-17,25,1,"G",82,"G 82",200,1,"A",12272,1,810,53,2,0
