"","Index","Area_name","Year","DATE","WK","WD","Site","snum","AREA","SPECIES","ID","day_type","LITHCODE","LINE","LENGTH","CATAREA","CHAR_NON","CAS"
"29",29,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,5,710,10,2,0
"30",30,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,6,690,10,2,0
"31",31,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,7,640,10,2,0
"32",32,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,8,690,13,2,0
"33",33,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,9,740,10,2,0
"34",34,"Sitka",2007,2007-05-25,21,2,"D",81,"D 81",200,12,"D",13726,10,770,10,2,0
"35",35,"Sitka",2007,2007-05-27,22,1,"D",81,"D 81",200,13,"A",1033,1,673.49894,9,2,0
"36",36,"Sitka",2007,2007-05-27,22,1,"D",81,"D 81",200,8,"A",3035,1,750,3,2,1
"37",37,"Sitka",2007,2007-05-27,22,1,"D",81,"D 81",200,8,"A",3035,2,690,3,2,0
"38",38,"Sitka",2007,2007-05-27,22,1,"D",81,"D 81",200,8,"A",3035,3,890,14,2,0
"39",39,"Sitka",2007,2007-05-27,22,1,"D",81,"D 81",200,8,"A",3035,4,1200,14,2,0
"40",40,"Sitka",2007,2007-05-27,22,1,"D",81,"D 81",200,8,"A",3035,5,730,14,2,0
"41",41,"Sitka",2007,2007-05-28,22,2,"D",81,"D 81",200,8,"C",3039,1,1550,10,2,0
"42",42,"Sitka",2007,2007-05-28,22,2,"D",81,"D 81",200,8,"C",3039,2,1190,10,2,0
"43",43,"Sitka",2007,2007-05-28,22,2,"D",81,"D 81",200,8,"C",3039,3,1630,10,2,0
"44",44,"Sitka",2007,2007-05-28,22,2,"D",81,"D 81",200,8,"C",3039,4,1280,10,2,0
"45",45,"Sitka",2007,2007-05-28,22,2,"D",81,"D 81",200,8,"C",3039,5,1200,10,2,0
"46",46,"Sitka",2007,2007-05-28,22,2,"D",81,"D 81",200,8,"C",3039,6,990,10,2,0
"47",47,"Sitka",2007,2007-05-28,22,2,"D",81,"D 81",200,8,"C",3039,7,800,10,2,0
"48",48,"Sitka",2007,2007-05-30,22,2,"D",81,"D 81",200,13,"A",1082,1,733.67894,13,2,0
"49",49,"Sitka",2007,2007-05-30,22,2,"D",81,"D 81",200,13,"A",1082,2,773.79894,9,2,0
"50",50,"Sitka",2007,2007-05-30,22,2,"D",81,"D 81",200,13,"A",1082,3,723.64894,9,2,0
"51",51,"Sitka",2007,2007-05-30,22,2,"D",81,"D 81",200,13,"A",1082,4,1270.28394,13,2,0
"52",52,"Sitka",2007,2007-05-30,22,2,"D",81,"D 81",200,13,"A",1082,5,523.04894,13,2,0
"53",53,"Sitka",2007,2007-06-01,22,2,"D",81,"D 81",200,12,"D",13733,1,970,10,2,0
"54",54,"Sitka",2007,2007-06-01,22,2,"D",81,"D 81",200,12,"D",13733,2,865,10,2,0
"55",55,"Sitka",2007,2007-06-01,22,2,"D",81,"D 81",200,12,"D",13733,3,1125,10,2,0
"56",56,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,8,"A",3042,1,790,9,2,0
"57",57,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,8,"A",3042,2,810,14,2,0
"58",58,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,8,"A",3042,3,760,14,2,0
"59",59,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,8,"A",3042,4,740,14,2,0
"60",60,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,1,1235.17894,10,2,0
"61",61,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,2,703.58894,10,2,0
"62",62,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,3,954.33894,10,2,0
"63",63,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,4,728.66394,10,2,0
"64",64,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,5,813.91894,14,2,0
"65",65,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,6,773.79894,14,2,0
"66",66,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,7,833.97894,98,2,0
"67",67,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,8,733.67894,98,2,0
"68",68,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,9,844.00894,98,2,0
"69",69,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,10,1285.32894,9,2,0
"70",70,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,11,693.55894,9,2,0
"71",71,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,12,1134.87894,9,2,0
"72",72,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,13,713.61894,9,2,0
"73",73,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,14,653.43894,9,2,0
"74",74,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,15,1104.78894,9,2,0
"75",75,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,16,894.15894,9,2,0
"76",76,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,17,833.97894,9,2,0
"77",77,"Sitka",2007,2007-06-02,23,1,"D",81,"D 81",200,13,"A",1075,18,773.79894,9,2,0
"78",78,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,1,623.34894,9,2,0
"79",79,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,2,633.37894,9,2,0
"80",80,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,3,743.70894,9,2,0
"81",81,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,4,779.81694,9,2,0
"82",82,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,5,1084.72894,9,2,0
"83",83,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,6,783.82894,13,2,1
"84",84,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,7,884.12894,13,2,1
"85",85,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,8,693.55894,13,2,1
"86",86,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,9,1285.32894,13,2,0
"87",87,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,10,1335.47894,13,2,0
"88",88,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,11,823.94894,13,2,0
"89",89,"Sitka",2007,2007-06-03,23,1,"D",81,"D 81",200,13,"C",1072,12,813.91894,13,2,0
"90",90,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,13,"C",1069,1,703.58894,14,2,0
"91",91,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,13,"C",1069,2,633.37894,14,2,0
"92",92,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,9,"C",2522,1,730,14,2,0
"93",93,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,9,"C",2522,2,920,14,2,0
"94",94,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,9,"C",2522,3,800,14,2,0
"95",95,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,9,"C",2522,4,650,4,2,1
"96",96,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,9,"C",2522,5,710,4,2,1
"97",97,"Sitka",2007,2007-06-04,23,2,"D",81,"D 81",200,9,"C",2522,6,685,10,2,1
"98",98,"Sitka",2007,2007-06-05,23,2,"D",81,"D 81",200,13,"A",1067,1,743.70894,14,2,0
"99",99,"Sitka",2007,2007-06-05,23,2,"D",81,"D 81",200,13,"A",1067,2,753.73894,14,2,0
"100",100,"Sitka",2007,2007-06-05,23,2,"D",81,"D 81",200,13,"A",1067,3,954.33894,9,2,0
"101",101,"Sitka",2007,2007-06-05,23,2,"D",81,"D 81",200,13,"A",1067,4,743.70894,9,2,0
"102",102,"Sitka",2007,2007-06-05,23,2,"D",81,"D 81",200,13,"A",1067,5,663.46894,9,2,0
"103",103,"Sitka",2007,2007-06-05,23,2,"D",81,"D 81",200,13,"A",1067,6,643.40894,9,2,0
"104",104,"Sitka",2007,2007-06-06,23,2,"D",81,"D 81",200,9,"C",2554,1,1090,10,2,1
"105",105,"Sitka",2007,2007-06-06,23,2,"D",81,"D 81",200,9,"C",2554,2,995,10,2,1
"106",106,"Sitka",2007,2007-06-06,23,2,"D",81,"D 81",200,9,"C",2554,3,620,10,2,1
"107",107,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,1,994.45894,9,2,0
"108",108,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,2,1205.08894,9,2,0
"109",109,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,3,1556.13894,9,2,0
"110",110,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,4,1335.47894,9,2,0
"111",111,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,5,909.20394,14,2,0
"112",112,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,6,1034.57894,14,2,1
"113",113,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,7,874.09894,14,2,1
"114",114,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,8,874.09894,14,2,1
"115",115,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,9,823.94894,14,2,1
"116",116,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,10,1285.32894,9,2,0
"117",117,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,11,1425.74894,9,2,0
"118",118,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,12,773.79894,9,2,0
"119",119,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,13,974.39894,9,2,0
"120",120,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,14,954.33894,10,2,1
"121",121,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,15,1355.53894,10,2,1
"122",122,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,16,1455.83894,10,2,1
"123",123,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,17,683.52894,10,2,1
"124",124,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,18,974.39894,10,2,1
"125",125,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,19,859.05394,10,2,0
"126",126,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1063,20,833.97894,10,2,0
"127",127,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1062,1,954.33894,10,2,0
"128",128,"Sitka",2007,2007-06-07,23,2,"D",81,"D 81",200,13,"D",1062,2,844.00894,10,2,0
"129",129,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,1,703.58894,14,2,1
"130",130,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,2,1325.44894,14,2,0
"131",131,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,3,1134.87894,14,2,0
"132",132,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,4,1134.87894,14,2,0
"133",133,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,5,1255.23894,14,2,0
"134",134,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,6,1335.47894,14,2,0
"135",135,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,7,874.09894,9,2,0
"136",136,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,8,954.33894,9,2,0
"137",137,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,9,683.52894,9,2,0
"138",138,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,10,673.49894,9,2,0
"139",139,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,11,723.64894,9,2,0
"140",140,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,12,783.82894,9,2,0
"141",141,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,13,1054.63894,9,2,0
"142",142,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,14,1295.35894,9,2,0
"143",143,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,15,753.73894,9,2,0
"144",144,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,16,703.58894,14,2,1
"145",145,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,17,1576.19894,14,2,0
"146",146,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,18,944.30894,14,2,0
"147",147,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,19,1195.05894,14,2,0
"148",148,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1055,20,1104.78894,14,2,0
"149",149,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,1,713.61894,10,2,0
"150",150,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,2,683.52894,10,2,0
"151",151,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,3,954.33894,10,2,0
"152",152,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,4,1485.92894,98,2,1
"153",153,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,5,733.67894,98,2,1
"154",154,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,6,1004.48894,98,2,1
"155",155,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,7,673.49894,98,2,1
"156",156,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,8,648.42394,98,2,1
"157",157,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,9,763.76894,98,2,1
"158",158,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,10,773.79894,98,2,1
"159",159,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,11,763.76894,9,2,0
"160",160,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,12,673.49894,9,2,0
"161",161,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,13,783.82894,9,2,0
"162",162,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,14,1265.26894,9,2,0
"163",163,"Sitka",2007,2007-06-08,23,2,"D",81,"D 81",200,13,"D",1054,15,763.76894,10,2,0
"164",164,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,1,1154.93894,14,2,0
"165",165,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,2,1225.14894,14,2,0
"166",166,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,3,1415.71894,14,2,0
"167",167,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,4,1345.50894,14,2,0
"168",168,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,5,703.58894,9,2,1
"169",169,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,6,723.64894,9,2,1
"170",170,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,7,803.88894,9,2,1
"171",171,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,8,733.67894,9,2,1
"172",172,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,9,723.64894,9,2,1
"173",173,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,10,783.82894,9,2,1
"174",174,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,11,884.12894,9,2,1
"175",175,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,12,723.64894,9,2,1
"176",176,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,13,1255.23894,14,2,0
"177",177,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,14,1616.31894,14,2,0
"178",178,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,15,783.82894,14,2,0
"179",179,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,16,1576.19894,14,2,0
"180",180,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,17,823.94894,9,2,0
"181",181,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,18,1385.62894,9,2,0
"182",182,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,19,1686.52894,9,2,0
"183",183,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1051,20,1180.01394,9,2,0
"184",184,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,1,743.70894,9,2,0
"185",185,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,2,1536.07894,9,2,0
"186",186,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,3,773.79894,9,2,1
"187",187,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,4,1425.74894,9,2,0
"188",188,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,5,1255.23894,9,2,0
"189",189,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,6,1425.74894,9,2,0
"190",190,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,7,1455.83894,9,2,0
"191",191,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,8,793.85894,9,2,0
"192",192,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,9,803.88894,9,2,0
"193",193,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,10,723.64894,9,2,0
"194",194,"Sitka",2007,2007-06-09,24,1,"D",81,"D 81",200,13,"D",1050,11,703.58894,9,2,0
"195",195,"Sitka",2007,2007-06-10,24,1,"D",81,"D 81",200,7,"C",13514,1,1500,10,1,0
"196",196,"Sitka",2007,2007-06-10,24,1,"D",81,"D 81",200,13,"D",1046,1,683.52894,9,2,0
"197",197,"Sitka",2007,2007-06-10,24,1,"D",81,"D 81",200,13,"D",1046,2,693.55894,9,2,0
"198",198,"Sitka",2007,2007-06-10,24,1,"D",81,"D 81",200,13,"D",1046,3,859.05394,9,2,0
"199",199,"Sitka",2007,2007-06-10,24,1,"D",81,"D 81",200,13,"D",1046,4,783.82894,9,2,0
"200",200,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,1,1375.59894,14,2,1
"201",201,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,2,1215.11894,14,2,1
"202",202,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,3,1325.44894,14,2,1
"203",203,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,4,1295.35894,14,2,1
"204",204,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,5,733.67894,14,2,1
"205",205,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,6,733.67894,14,2,1
"206",206,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,7,693.55894,14,2,1
"207",207,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,8,1385.62894,14,2,0
"208",208,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,9,1265.26894,14,2,0
"209",209,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,10,1305.38894,14,2,0
"210",210,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,11,1114.81894,14,2,0
"211",211,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,12,854.03894,10,2,0
"212",212,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,13,1014.51894,10,2,0
"213",213,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,14,904.18894,10,2,0
"214",214,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,15,1044.60894,14,2,0
"215",215,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,16,1054.63894,14,2,0
"216",216,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,17,1149.92394,14,2,0
"217",217,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,18,1345.50894,14,2,0
"218",218,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,19,783.82894,14,2,1
"219",219,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1022,20,803.88894,14,2,1
"220",220,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,1,823.94894,14,2,1
"221",221,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,2,1114.81894,14,2,1
"222",222,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,3,763.76894,14,2,1
"223",223,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,4,763.76894,14,2,1
"224",224,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,5,753.73894,14,2,1
"225",225,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,6,773.79894,14,2,1
"226",226,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,7,984.42894,10,2,1
"227",227,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,8,954.33894,10,2,1
"228",228,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,9,1295.35894,10,2,1
"229",229,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,10,743.70894,10,2,1
"230",230,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,11,733.67894,10,2,1
"231",231,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,12,683.52894,10,2,1
"232",232,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,13,874.09894,10,2,0
"233",233,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,14,773.79894,10,2,0
"234",234,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,15,773.79894,10,2,0
"235",235,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,16,803.88894,10,2,0
"236",236,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,17,1235.17894,10,2,0
"237",237,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,18,1465.86894,10,2,0
"238",238,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,13,"D",1021,19,793.85894,10,2,0
"239",239,"Sitka",2007,2007-06-11,24,2,"D",81,"D 81",200,10,"A",3401,1,670,3,1,1
