"","MB_MR","SITE","SURVAREA","SHSITE","YEAR","DATE","DAY_TYPE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","techid","SAMPTYPE","SPECCODE","SPECIESCODE","SPEC_GROUP","LITHCODE","LINENO","LENGTH","lEGAL_LENGTH","LENGTH_TYPE","AREA","SUBAREA","THA","CLASS","CLASSN","GAF","INTVNUMB","PHOTO_NUM","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES2","SAMP_TYPE","R_SLOT","MONTH","LENCM","GROSSWT","NETWT","ROUNDWT","ORIGIN","GF_area","LC_area","ATARGET","BIOSAMPLEID","N_AWL_SAMP"
"11","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,2,7,12,"MW","C","200","HA","Halibut","00126846","06",635,NA,"STF",6,NA,"",1,"Private","SF",4,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,63.5,5.56439634496824,4.79905491110062,6.38274303176382,"dta","SSEO","SSEOC","",NA,NA
"12","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-14,1,NA,10,5,20,2,7,12,"MW","C","200","HA","Halibut","00126846","07",650,NA,"STF",6,NA,"",1,"Private","SF",4,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,65,6.00164719885555,5.17616515408831,6.88429965493745,"dta","SSEO","SSEOC","",NA,NA
"13","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-15,1,NA,10,5,21,1,6,9,"AH","C","200","HA","Halibut","00110505","01",1040,NA,"STF",3,NA,"",1,"Private","SF",1,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,104,27.51814825208,23.7332311227181,31.5651973932151,"dta","SSEI","SSEOC","",NA,NA
"14","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-15,1,NA,10,5,21,1,6,9,"AH","C","200","HA","Halibut","00110505","02",870,NA,"STF",2,NA,"",1,"Private","SF",4,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,87,15.4338247731885,13.3110166823064,17.7036521874675,"dta","SSEI","SSEOC","",NA,NA
"15","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-15,1,NA,10,5,21,1,6,9,"AH","C","200","HA","Halibut","00110505","03",1160,NA,"STF",2,NA,"",1,"Private","SF",4,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,116,39.1990075712535,33.8074749051989,44.9639416239146,"dta","SSEI","SSEOC","",NA,NA
"16","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-20,1,NA,10,6,21,2,9,9,"AH","C","200","HA","Halibut","00126633","01",800,NA,"STF",5,NA,"",2,"Charter","SF",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",5,80,11.7609592329861,10.1433265474259,13.4906243080765,"dta","SSEO","SSEOC","",NA,NA
"17","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-20,1,NA,10,6,21,2,9,9,"AH","C","200","HA","Halibut","00126633","02",1060,NA,"STF",5,NA,"",2,"Charter","SF",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",5,106,29.2699641281956,25.2440977221506,33.5746499704604,"dta","SSEO","SSEOC","",NA,NA
"18","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-20,1,NA,10,6,21,2,9,9,"AH","C","200","HA","Halibut","00126633","03",820,NA,"STF",5,NA,"",2,"Charter","SF",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",5,82,12.7405468281241,10.9881791366113,14.614278251693,"dta","SSEO","SSEOC","",NA,NA
"19","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-20,1,NA,10,6,21,2,9,9,"AH","C","200","HA","Halibut","00126633","04",820,NA,"STF",5,NA,"",2,"Charter","SF",3,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","LEGAL",5,82,12.7405468281241,10.9881791366113,14.614278251693,"dta","SSEO","SSEOC","",NA,NA
"20","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-20,1,NA,10,6,21,1,11,10,"JK","C","200","HA","Halibut","00126924","01",1140,NA,"STF",7,NA,"",1,"Private","SF",1,"","2C",104300,"10430","104","30","104-30","","Creel Sampler","N_A",5,114,37.0512534704059,31.9551284463005,42.5003208335797,"dta","SSEO","SSEOC","",NA,NA
"21","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-20,1,NA,10,6,21,1,3,10,"JK","C","200","HA","Halibut","00126924","02",820,NA,"STF",7,NA,"",1,"Private","SF",2,"","2C",104300,"10430","104","30","104-30","","Creel Sampler","N_A",5,82,12.7405468281241,10.9881791366113,14.614278251693,"dta","SSEO","SSEOC","",NA,NA
"22","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-20,1,NA,10,6,21,1,6,10,"JK","C","200","HA","Halibut","00126924","03",730,NA,"STF",1,NA,"",1,"Private","SF",5,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,73,8.74172728105141,7.53936755018688,10.0273588417485,"dta","SSEI","SSEOC","",NA,NA
"23","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-21,1,NA,10,6,21,2,9,12,"MW","C","200","HA","Halibut","00126849","01",820,NA,"STF",4,NA,"",2,"Charter","SF",2,"","2C",103800,"10380","103","80","103-80","","Creel Sampler","LEGAL",5,82,12.7405468281241,10.9881791366113,14.614278251693,"dta","SSEI","SSEOC","",NA,NA
"24","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-21,1,NA,10,6,21,2,9,12,"MW","C","200","HA","Halibut","00126849","02",780,NA,"STF",4,NA,"",2,"Charter","SF",2,"","2C",103800,"10380","103","80","103-80","","Creel Sampler","LEGAL",5,78,10.8347201758416,9.34448480063655,12.4281647848466,"dta","SSEI","SSEOC","",NA,NA
"25","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-21,1,NA,10,6,21,2,9,12,"MW","C","200","HA","Halibut","00126849","03",805,NA,"STF",4,NA,"",2,"Charter","SF",2,"","2C",103800,"10380","103","80","103-80","","Creel Sampler","LEGAL",5,80.5,12.0007900817551,10.3501704423003,13.7657266882595,"dta","SSEI","SSEOC","",NA,NA
"26","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-21,1,NA,10,6,21,2,9,12,"MW","C","200","HA","Halibut","00126849","04",710,NA,"STF",4,NA,"",2,"Charter","SF",2,"","2C",103800,"10380","103","80","103-80","","Creel Sampler","LEGAL",5,71,7.98929093548086,6.89042324147201,9.16426291115777,"dta","SSEI","SSEOC","",NA,NA
"27","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-22,1,NA,10,6,22,1,2,9,"AH","C","200","HA","Halibut","00126631","01",720,NA,"STF",2,NA,"",1,"Private","SF",1,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775072,9.58909847540845,"dta","SSEI","SSEOC","",NA,NA
"28","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-22,1,NA,10,6,22,1,1,9,"AH","C","200","HA","Halibut","00126631","02",730,NA,"STF",2,NA,"",1,"Private","SF",2,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,73,8.74172728105141,7.53936755018688,10.0273588417485,"dta","SSEI","SSEOC","",NA,NA
"29","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-22,1,NA,10,6,22,1,1,9,"AH","C","200","HA","Halibut","00126631","03",810,NA,"STF",2,NA,"",1,"Private","SF",2,"","2C",103500,"10350","103","50","103-50","","Creel Sampler","N_A",5,81,12.2439810253286,10.5599122758681,14.0446833269046,"dta","SSEI","SSEOC","",NA,NA
"30","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-22,1,NA,10,6,22,1,6,11,"GM","D","200","HA","Halibut","00126694","01",790,NA,"STF",6,NA,"",1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Catch Sampler","N_A",5,79,11.2912744200948,9.7382433958611,12.9518637164953,"dta","SSEO","SSEOC","",NA,NA
"31","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-22,1,NA,10,6,22,1,6,11,"GM","D","200","HA","Halibut","00126694","02",730,NA,"STF",6,NA,"",1,"Private","SF",5,"","2C",104350,"10435","104","35","104-35","","Catch Sampler","N_A",5,73,8.74172728105141,7.53936755018688,10.0273588417485,"dta","SSEO","SSEOC","",NA,NA
"32","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-24,1,NA,11,7,22,1,1,11,"GM","D","200","HA","Halibut","00127489","01",940,NA,"STF",6,NA,"",1,"Private","SF",3,"","2C",104350,"10435","104","35","104-35","","Catch Sampler","N_A",5,94,19.8319506194401,17.1042129489918,22.7486032221592,"dta","SSEO","SSEOC","",NA,NA
"33","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-24,1,NA,11,7,22,1,1,11,"GM","D","200","HA","Halibut","00127489","02",810,NA,"STF",6,NA,"",1,"Private","SF",3,"","2C",104350,"10435","104","35","104-35","","Catch Sampler","N_A",5,81,12.2439810253286,10.5599122758681,14.0446833269046,"dta","SSEO","SSEOC","",NA,NA
"34","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-24,1,NA,11,7,22,1,1,11,"GM","D","200","HA","Halibut","00127489","03",750,NA,"STF",6,NA,"",1,"Private","SF",3,"","2C",104350,"10435","104","35","104-35","","Catch Sampler","N_A",5,75,9.54178617567186,8.22938427965115,10.945081091936,"dta","SSEO","SSEOC","",NA,NA
"35","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-25,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126630","01",940,NA,"STF",5,NA,"",1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,94,19.8319506194401,17.1042129489918,22.7486032221592,"dta","SSEO","SSEOC","",NA,NA
"36","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-25,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126630","02",920,NA,"STF",5,NA,"",1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,92,18.497104380677,15.9529649068762,21.2174433261454,"dta","SSEO","SSEOC","",NA,NA
"37","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-25,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126630","03",690,NA,"STF",5,NA,"",1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,69,7.28286468232178,6.2811606783156,8.35394370215975,"dta","SSEO","SSEOC","",NA,NA
"38","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-25,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126630","04",710,NA,"STF",5,NA,"",1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,71,7.98929093548086,6.89042324147201,9.16426291115777,"dta","SSEO","SSEOC","",NA,NA
"39","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-25,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126630","05",910,NA,"STF",5,NA,"",1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,91,17.8535793395215,15.3979519606891,20.4792761077166,"dta","SSEO","SSEOC","",NA,NA
"40","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-25,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126630","06",810,NA,"STF",5,NA,"",1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,81,12.2439810253286,10.5599122758681,14.0446833269046,"dta","SSEO","SSEOC","",NA,NA
"41","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-25,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126630","07",760,NA,"STF",5,NA,"",1,"Private","SF",1,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,76,9.96018088682265,8.5902319024382,11.4250084302428,"dta","SSEO","SSEOC","",NA,NA
"42","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-26,1,NA,11,7,22,2,7,9,"AH","C","200","HA","Halibut","00126629","01",1030,NA,"STF",4,NA,"",1,"Private","SF",1,"","2C",103800,"10380","103","80","103-80","","Creel Sampler","N_A",5,103,26.6700478433973,23.0017806330211,30.5923682419181,"dta","SSEI","SSEOC","",NA,NA
"43","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-26,1,NA,11,7,22,1,3,10,"JK","C","200","HA","Halibut","00127394","01",870,NA,"STF",7,NA,"",1,"Private","SF",1,"","2C",104300,"10430","104","30","104-30","","Creel Sampler","N_A",5,87,15.4338247731885,13.3110166823064,17.7036521874675,"dta","SSEO","SSEOC","",NA,NA
"44","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-26,1,NA,11,7,22,1,3,10,"JK","C","200","HA","Halibut","00127394","02",720,NA,"STF",7,NA,"",1,"Private","SF",1,"","2C",104300,"10430","104","30","104-30","","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775072,9.58909847540845,"dta","SSEO","SSEOC","",NA,NA
"45","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-27,1,NA,11,7,22,1,1,11,"GM","D","200","HA","Halibut","00127499","01",1060,NA,"STF",1,NA,"",1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,106,29.2699641281956,25.2440977221506,33.5746499704604,"dta","SSEI","SSEOC","",NA,NA
"46","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-27,1,NA,11,7,22,1,1,11,"GM","D","200","HA","Halibut","00127499","02",1070,NA,"STF",1,NA,"",1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,107,30.1741209216465,26.0238944567846,34.6117796275235,"dta","SSEI","SSEOC","",NA,NA
"47","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-27,1,NA,11,7,22,1,1,11,"GM","D","200","HA","Halibut","00127499","03",800,NA,"STF",1,NA,"",1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,80,11.7609592329861,10.1433265474259,13.4906243080765,"dta","SSEI","SSEOC","",NA,NA
"48","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-27,1,NA,11,7,22,1,1,11,"GM","D","200","HA","Halibut","00127499","04",900,NA,"STF",1,NA,"",1,"Private","SF",2,"","2C",103600,"10360","103","60","103-60","","Catch Sampler","N_A",5,90,17.2257015058852,14.8564340647168,19.7590573060733,"dta","SSEI","SSEOC","",NA,NA
"49","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,1,9,"AH","C","200","HA","Halibut","00126626","01",670,NA,"STF",5,NA,"",1,"Private","SF",5,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,67,6.62084693163495,5.71019855759206,7.59456408159744,"dta","SSEO","SSEOC","",NA,NA
"50","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,1,9,"AH","C","200","HA","Halibut","00126626","02",720,NA,"STF",5,NA,"",1,"Private","SF",5,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,72,8.35965732014726,7.20984847775072,9.58909847540845,"dta","SSEO","SSEOC","",NA,NA
"51","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,10,9,"AH","C","200","HA","Halibut","00126626","03",760,NA,"STF",5,NA,"",1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,76,9.96018088682265,8.5902319024382,11.4250084302428,"dta","SSEO","SSEOC","",NA,NA
"52","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","04",770,NA,"STF",5,NA,"",1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,77,10.39109071556,8.96187328124,11.9192914640492,"dta","SSEO","SSEOC","",NA,NA
"53","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","05",820,NA,"STF",5,NA,"",1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,82,12.7405468281241,10.9881791366113,14.614278251693,"dta","SSEO","SSEOC","",NA,NA
"54","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","06",1010,NA,"STF",5,NA,"",1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,101,25.0283625747782,21.5858969931053,28.7092430008301,"dta","SSEO","SSEOC","",NA,NA
"55","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","07",790,NA,"STF",5,NA,"",1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,79,11.2912744200948,9.7382433958611,12.9518637164953,"dta","SSEO","SSEOC","",NA,NA
"56","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","08",940,NA,"STF",5,NA,"",1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,94,19.8319506194401,17.1042129489918,22.7486032221592,"dta","SSEO","SSEOC","",NA,NA
"57","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","09",880,NA,"STF",5,NA,"",1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,88,16.0160363013939,13.8131493343522,18.3714886146885,"dta","SSEO","SSEOC","",NA,NA
"58","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","10",760,NA,"STF",5,NA,"",1,"Private","SF",9,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,76,9.96018088682265,8.5902319024382,11.4250084302428,"dta","SSEO","SSEOC","",NA,NA
"59","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,1,6,9,"AH","C","200","HA","Halibut","00126626","11",820,NA,"STF",1,NA,"",1,"Private","SF",10,"","2C",103600,"10360","103","60","103-60","","Creel Sampler","N_A",5,82,12.7405468281241,10.9881791366113,14.614278251693,"dta","SSEI","SSEOC","",NA,NA
"60","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","01",700,NA,"STF",3,NA,"",1,"Private","SF",6,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,70,7.6304269041477,6.58091829516383,8.7526213325679,"dta","SSEI","SSEOC","",NA,NA
"61","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","02",790,NA,"STF",3,NA,"",1,"Private","SF",6,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,79,11.2912744200948,9.7382433958611,12.9518637164953,"dta","SSEI","SSEOC","",NA,NA
"62","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","03",1010,NA,"STF",3,NA,"",1,"Private","SF",6,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,101,25.0283625747782,21.5858969931053,28.7092430008301,"dta","SSEI","SSEOC","",NA,NA
"63","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","04",910,NA,"STF",3,NA,"",1,"Private","SF",6,"","2C",103700,"10370","103","70","103-70","","Creel Sampler","N_A",5,91,17.8535793395215,15.3979519606891,20.4792761077166,"dta","SSEI","SSEOC","",NA,NA
"64","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","05",850,NA,"STF",6,NA,"",1,"Private","SF",8,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,85,14.3135877905572,12.344859985371,16.4186637805435,"dta","SSEO","SSEOC","",NA,NA
"65","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","06",750,NA,"STF",6,NA,"",1,"Private","SF",8,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,75,9.54178617567186,8.22938427965115,10.945081091936,"dta","SSEO","SSEOC","",NA,NA
"66","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","07",740,NA,"STF",6,NA,"",1,"Private","SF",8,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,74,9.13570271299549,7.87915458445051,10.4792755973192,"dta","SSEO","SSEOC","",NA,NA
"67","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-28,1,NA,11,7,22,2,7,12,"MW","C","200","HA","Halibut","00126829","08",780,NA,"STF",6,NA,"",1,"Private","SF",8,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,78,10.8347201758416,9.34448480063655,12.4281647848466,"dta","SSEO","SSEOC","",NA,NA
"68","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-29,1,NA,11,7,23,1,6,9,"AH","C","200","HA","Halibut","00126622","01",1110,NA,"STF",6,NA,"",1,"Private","SF",1,"","2C",104350,"10435","104","35","104-35","","Creel Sampler","N_A",5,111,33.9842459384742,29.3099650456363,38.9822535106963,"dta","SSEO","SSEOC","",NA,NA
"69","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-29,1,NA,11,7,23,1,6,9,"AH","C","200","HA","Halibut","00126622","02",1160,NA,"STF",5,NA,"",1,"Private","SF",7,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,116,39.1990075712535,33.8074749051989,44.9639416239146,"dta","SSEO","SSEOC","",NA,NA
"70","Marine Boat","CRAIG_KLAWOCK","B",760,2016,2016-05-30,1,NA,11,8,23,1,3,10,"JK","C","200","HA","Halibut","00127389","01",830,NA,"STF",5,NA,"",1,"Private","SF",6,"","2C",104400,"10440","104","40","104-40","","Creel Sampler","N_A",5,83,13.2508642867348,11.4283062149386,15.1996472658684,"dta","SSEO","SSEOC","",NA,NA
