"","SUB","YEAR","MONTH","DAY","PAGE","LINE","AGECONF","AGE","AGEERR","SEX","LENGTH","OBSWT","STATAREA","USER","CAS","PORT","NETWT","RNDWT"
"44",NA,2002,6,15,4,7,NA,6,"","F",80,NA,525731,"Private",0,"Kodiak",10.1,13.5
"45",NA,2002,6,15,4,8,NA,NA,"","F",117,NA,525731,"Private",0,"Kodiak",34.8,46.2
"46",NA,2002,6,15,4,9,NA,6,"","F",80,NA,525731,"Private",0,"Kodiak",10.1,13.5
"47",NA,2002,6,15,4,10,NA,7,"","F",95,NA,525731,"Private",0,"Kodiak",17.7,23.5
"48",NA,2002,6,15,4,11,NA,NA,"","F",114,NA,525731,"Private",0,"Kodiak",32,42.5
"49",NA,2002,6,15,4,12,NA,NA,"","F",116,NA,525807,"Private",0,"Kodiak",33.8,45
"50",NA,2002,6,15,4,13,NA,NA,"","M",78,NA,525807,"Private",0,"Kodiak",9.3,12.4
"51",NA,2002,6,15,4,14,NA,12,"","F",110,NA,525807,"Private",0,"Kodiak",28.5,37.9
"52",NA,2002,6,15,4,15,NA,7,"","F",94,NA,525731,"Private",0,"Kodiak",17.1,22.7
"53",NA,2002,6,15,4,16,NA,14,"","F",170,NA,525731,"Private",0,"Kodiak",116.6,155.1
"54",NA,2002,6,15,4,17,NA,9,"","F",95,NA,525733,"Private",0,"Kodiak",17.7,23.5
"55",NA,2002,6,16,5,1,NA,9,"","F",100,NA,525733,"Private",0,"Kodiak",20.9,27.8
"56",NA,2002,6,16,5,2,NA,NA,"","F",159,NA,525733,"Private",0,"Kodiak",93.9,124.9
"57",NA,2002,6,16,5,3,NA,7,"","F",83,NA,525733,"Private",0,"Kodiak",11.4,15.2
"58",NA,2002,6,16,5,4,NA,NA,"","F",99,NA,525731,"Private",0,"Kodiak",20.2,26.9
"59",NA,2002,6,16,5,5,NA,11,"","F",115,NA,525731,"Private",0,"Kodiak",32.9,43.7
"60",NA,2002,6,16,5,6,NA,8,"","F",100,NA,525731,"Private",0,"Kodiak",20.9,27.8
"61",NA,2002,6,16,5,7,NA,NA,"","F",107,NA,525731,"Private",0,"Kodiak",26,34.6
"62",NA,2002,6,16,5,8,NA,7,"","F",112,NA,525731,"Private",0,"Kodiak",30.2,40.1
"63",NA,2002,6,16,5,9,NA,13,"","F",96,NA,525731,"Private",0,"Kodiak",18.3,24.4
"64",NA,2002,6,16,5,10,NA,NA,"","F",100,NA,525731,"Private",0,"Kodiak",20.9,27.8
"65",NA,2002,6,17,6,1,NA,NA,"","F",82,NA,525731,"Private",0,"Kodiak",11,14.6
"66",NA,2002,6,17,6,2,NA,NA,"","M",79,NA,525731,"Private",0,"Kodiak",9.7,13
"67",NA,2002,6,17,6,3,NA,8,"","F",86,NA,525731,"Private",0,"Kodiak",12.8,17.1
"68",NA,2002,6,17,6,4,NA,NA,"","F",83,NA,525731,"Private",0,"Kodiak",11.4,15.2
"69",NA,2002,6,17,6,5,NA,9,"","F",81,NA,525731,"Private",0,"Kodiak",10.6,14
"70",NA,2002,6,17,6,6,NA,9,"","F",107,NA,525731,"Private",0,"Kodiak",26,34.6
"71",NA,2002,6,17,6,7,NA,NA,"I","F",107,NA,525731,"Private",0,"Kodiak",26,34.6
"72",NA,2002,6,17,6,8,NA,14,"","F",93,NA,525733,"Private",0,"Kodiak",16.5,22
"73",NA,2002,6,18,7,1,NA,NA,"","F",103,NA,525733,"Private",0,"Kodiak",23,30.6
"74",NA,2002,6,18,7,2,NA,6,"","F",82,NA,525731,"Private",0,"Kodiak",11,14.6
"75",NA,2002,6,18,7,3,NA,8,"","F",86,NA,525731,"Private",0,"Kodiak",12.8,17.1
"76",NA,2002,6,18,7,4,NA,14,"","F",107,NA,525731,"Private",0,"Kodiak",26,34.6
"77",NA,2002,6,18,7,5,NA,NA,"","F",160,NA,525731,"Private",0,"Kodiak",95.8,127.5
"78",NA,2002,6,18,7,6,NA,NA,"","F",122,NA,525731,"Private",0,"Kodiak",39.8,52.9
"79",NA,2002,6,18,7,7,NA,NA,"","F",93,NA,525731,"Private",0,"Kodiak",16.5,22
"80",NA,2002,6,18,7,8,NA,NA,"","F",78,NA,525733,"Private",0,"Kodiak",9.3,12.4
"81",NA,2002,6,18,7,9,NA,NA,"","F",90,NA,525733,"Private",0,"Kodiak",14.9,19.8
"82",NA,2002,6,18,7,10,NA,10,"","F",122,NA,525733,"Private",0,"Kodiak",39.8,52.9
"83",NA,2002,6,18,7,11,NA,NA,"","M",85,NA,525733,"Private",0,"Kodiak",12.3,16.4
"84",NA,2002,6,18,7,12,NA,8,"","F",105,NA,525733,"Private",0,"Kodiak",24.5,32.6
"85",NA,2002,6,18,7,13,NA,8,"","F",100,NA,525733,"Private",0,"Kodiak",20.9,27.8
"86",NA,2002,6,18,7,14,NA,13,"","F",97,NA,525733,"Private",0,"Kodiak",18.9,25.2
"87",NA,2002,6,19,8,1,NA,NA,"","F",81,NA,525731,"Private",0,"Kodiak",10.6,14
"88",NA,2002,6,19,8,2,NA,NA,"","F",70,NA,525731,"Private",0,"Kodiak",6.6,8.8
"89",NA,2002,6,19,8,3,NA,NA,"","F",106,NA,525731,"Private",0,"Kodiak",25.2,33.6
"90",NA,2002,6,19,8,4,NA,16,"","F",116,NA,525731,"Private",0,"Kodiak",33.8,45
"91",NA,2002,6,19,8,5,NA,NA,"","F",89,NA,525731,"Private",0,"Kodiak",14.3,19.1
"92",NA,2002,6,19,8,6,NA,NA,"","F",99,NA,525731,"Private",0,"Kodiak",20.2,26.9
"93",NA,2002,6,19,8,7,NA,6,"","F",80,NA,525733,"Private",0,"Kodiak",10.1,13.5
"94",NA,2002,6,19,8,8,NA,NA,"","F",88,NA,525733,"Private",0,"Kodiak",13.8,18.4
"95",NA,2002,6,19,8,9,NA,NA,"","F",157,NA,525733,"Private",0,"Kodiak",90.1,119.9
"96",NA,2002,6,19,8,10,NA,14,"","F",81,NA,525733,"Private",0,"Kodiak",10.6,14
"97",NA,2002,6,19,8,11,NA,NA,"","F",71,NA,525733,"Private",0,"Kodiak",6.9,9.2
"98",NA,2002,6,19,8,12,NA,9,"","F",82,NA,525733,"Private",0,"Kodiak",11,14.6
"99",NA,2002,6,19,8,13,NA,8,"","F",69,NA,525733,"Private",0,"Kodiak",6.3,8.4
"100",NA,2002,6,19,8,14,NA,16,"","F",82,NA,525733,"Private",0,"Kodiak",11,14.6
"101",NA,2002,6,19,8,15,NA,14,"","F",91,NA,525733,"Private",0,"Kodiak",15.4,20.5
"102",NA,2002,6,19,8,16,NA,NA,"I","F",91,NA,525733,"Private",0,"Kodiak",15.4,20.5
"103",NA,2002,6,19,8,17,NA,NA,"","F",117,NA,525733,"Private",0,"Kodiak",34.8,46.2
"104",NA,2002,6,19,8,18,NA,NA,"","F",142,NA,525733,"Private",0,"Kodiak",65.1,86.6
"105",NA,2002,6,20,9,1,NA,7,"","F",99,NA,525731,"Private",0,"Kodiak",20.2,26.9
"106",NA,2002,6,20,9,2,NA,NA,"","F",95,NA,525731,"Private",0,"Kodiak",17.7,23.5
"107",NA,2002,6,20,9,3,NA,NA,"","M",103,NA,525731,"Private",0,"Kodiak",23,30.6
"108",NA,2002,6,20,9,4,NA,7,"","F",100,NA,525731,"Private",0,"Kodiak",20.9,27.8
"109",NA,2002,6,20,9,5,NA,6,"","F",89,NA,525731,"Private",0,"Kodiak",14.3,19.1
"110",NA,2002,6,20,9,6,NA,NA,"","F",89,NA,525731,"Private",0,"Kodiak",14.3,19.1
"111",NA,2002,6,23,10,1,NA,NA,"","F",61,NA,525733,"Private",0,"Kodiak",4.2,5.6
"112",NA,2002,6,23,10,2,NA,NA,"","F",85,NA,525733,"Private",0,"Kodiak",12.3,16.4
"113",NA,2002,6,23,10,3,NA,NA,"","F",59,NA,525733,"Private",0,"Kodiak",3.8,5
"114",NA,2002,6,23,10,4,NA,7,"","F",83,NA,525733,"Private",0,"Kodiak",11.4,15.2
"115",NA,2002,6,23,10,5,NA,NA,"","F",64,NA,525733,"Private",0,"Kodiak",4.9,6.5
"116",NA,2002,6,23,10,6,NA,NA,"","F",124,NA,525733,"Private",0,"Kodiak",42,55.8
"117",NA,2002,6,23,10,7,NA,8,"","F",86,NA,525733,"Private",0,"Kodiak",12.8,17.1
"118",NA,2002,6,23,10,8,NA,8,"","F",84,NA,525733,"Private",0,"Kodiak",11.9,15.8
"119",NA,2002,6,23,10,9,NA,7,"","F",78,NA,525733,"Private",0,"Kodiak",9.3,12.4
"120",NA,2002,6,23,10,10,NA,15,"","M",81,NA,525733,"Private",0,"Kodiak",10.6,14
"121",NA,2002,6,23,10,11,NA,5,"","F",74,NA,525733,"Private",0,"Kodiak",7.9,10.5
"122",NA,2002,6,23,10,12,NA,6,"","F",80,NA,525733,"Private",0,"Kodiak",10.1,13.5
"123",NA,2002,6,23,10,13,NA,NA,"","F",91,NA,525733,"Private",0,"Kodiak",15.4,20.5
"124",NA,2002,6,23,10,14,NA,14,"","F",96,NA,525733,"Private",0,"Kodiak",18.3,24.4
"125",NA,2002,6,24,11,1,NA,6,"","M",86,NA,525731,"Private",0,"Kodiak",12.8,17.1
"126",NA,2002,6,24,11,2,NA,NA,"","F",120,NA,525731,"Private",0,"Kodiak",37.7,50.2
"127",NA,2002,6,24,11,3,NA,8,"","F",95,NA,525731,"Private",0,"Kodiak",17.7,23.5
"128",NA,2002,6,25,12,1,NA,NA,"","F",90,NA,525731,"Private",0,"Kodiak",14.9,19.8
"129",NA,2002,6,28,13,1,NA,8,"","F",83,NA,525733,"Private",0,"Kodiak",11.4,15.2
"130",NA,2002,6,28,13,2,NA,8,"","F",99,NA,525733,"Private",0,"Kodiak",20.2,26.9
"131",NA,2002,6,28,13,3,NA,7,"","F",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
"132",NA,2002,6,28,13,4,NA,13,"","F",147,NA,525733,"Private",0,"Kodiak",72.8,96.9
"133",NA,2002,6,28,13,5,NA,8,"","F",89,NA,525733,"Private",0,"Kodiak",14.3,19.1
"134",NA,2002,6,28,13,6,NA,NA,"I","F",72,NA,525733,"Private",0,"Kodiak",7.2,9.6
"135",NA,2002,6,28,13,7,NA,NA,"","F",91,NA,525733,"Private",0,"Kodiak",15.4,20.5
"136",NA,2002,6,28,13,8,NA,NA,"","F",83,NA,525733,"Private",0,"Kodiak",11.4,15.2
"137",NA,2002,6,28,13,9,NA,6,"","F",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
"138",NA,2002,6,28,13,10,NA,11,"","F",122,NA,525733,"Private",0,"Kodiak",39.8,52.9
"139",NA,2002,7,3,14,1,NA,NA,"I","F",117,NA,525731,"Private",0,"Kodiak",34.8,46.2
"140",NA,2002,7,3,14,2,NA,8,"","F",87,NA,525731,"Private",0,"Kodiak",13.3,17.7
"141",NA,2002,7,4,15,1,NA,9,"","F",103,NA,525733,"Private",0,"Kodiak",23,30.6
"142",NA,2002,7,4,15,2,NA,13,"","F",135,NA,525733,"Private",0,"Kodiak",55.3,73.5
"143",NA,2002,7,4,15,3,NA,NA,"","F",74,NA,525733,"Private",0,"Kodiak",7.9,10.5
"144",NA,2002,7,4,15,4,NA,6,"","M",71,NA,525733,"Private",0,"Kodiak",6.9,9.2
"145",NA,2002,7,4,15,5,NA,NA,"","F",93,NA,525733,"Private",0,"Kodiak",16.5,22
"146",NA,2002,7,4,15,6,NA,15,"","F",117,NA,525733,"Private",0,"Kodiak",34.8,46.2
"147",NA,2002,7,4,15,7,NA,NA,"","F",96,NA,525733,"Private",0,"Kodiak",18.3,24.4
"148",NA,2002,7,4,15,8,NA,NA,"","F",102,NA,525733,"Private",0,"Kodiak",22.3,29.6
"149",NA,2002,7,4,15,9,NA,NA,"","F",88,NA,525733,"Private",0,"Kodiak",13.8,18.4
"150",NA,2002,7,4,15,10,NA,NA,"","F",89,NA,525733,"Private",0,"Kodiak",14.3,19.1
"151",NA,2002,7,4,15,11,NA,NA,"","F",86,NA,525731,"Private",0,"Kodiak",12.8,17.1
"152",NA,2002,7,4,15,12,NA,NA,"","M",67,NA,525731,"Private",0,"Kodiak",5.7,7.6
"153",NA,2002,7,4,15,13,NA,NA,"","M",80,NA,525731,"Private",0,"Kodiak",10.1,13.5
"154",NA,2002,7,4,15,14,NA,17,"","M",83,NA,525731,"Private",0,"Kodiak",11.4,15.2
"155",NA,2002,7,4,15,15,NA,5,"","M",71,NA,525731,"Private",0,"Kodiak",6.9,9.2
"156",NA,2002,7,4,15,16,NA,NA,"","M",77,NA,525731,"Private",0,"Kodiak",9,11.9
"157",NA,2002,7,4,15,17,NA,NA,"","M",68,NA,525731,"Private",0,"Kodiak",6,8
"158",NA,2002,7,4,15,18,NA,NA,"","F",78,NA,525731,"Private",0,"Kodiak",9.3,12.4
"159",NA,2002,7,4,15,19,NA,NA,"","F",78,NA,525731,"Private",0,"Kodiak",9.3,12.4
"160",NA,2002,7,5,16,1,NA,NA,"","F",93,NA,525733,"Private",0,"Kodiak",16.5,22
"161",NA,2002,7,5,16,2,NA,4,"","F",75,NA,525733,"Private",0,"Kodiak",8.2,10.9
"162",NA,2002,7,5,16,3,NA,NA,"I","",66,NA,525733,"Private",0,"Kodiak",5.4,7.2
"163",NA,2002,7,5,16,4,NA,NA,"","F",63,NA,525733,"Private",0,"Kodiak",4.7,6.2
"164",NA,2002,7,5,16,5,NA,NA,"","F",74,NA,525731,"Private",0,"Kodiak",7.9,10.5
"165",NA,2002,7,5,16,6,NA,7,"","F",81,NA,525731,"Private",0,"Kodiak",10.6,14
"166",NA,2002,7,5,16,7,NA,NA,"","F",84,NA,525731,"Private",0,"Kodiak",11.9,15.8
"167",NA,2002,7,5,16,8,NA,NA,"","F",87,NA,525731,"Private",0,"Kodiak",13.3,17.7
"168",NA,2002,7,5,16,9,NA,NA,"","M",76,NA,525731,"Private",0,"Kodiak",8.6,11.4
"169",NA,2002,7,7,17,1,NA,NA,"I","M",79,NA,525733,"Private",0,"Kodiak",9.7,13
"170",NA,2002,7,7,17,2,NA,12,"","F",116,NA,525733,"Private",0,"Kodiak",33.8,45
"171",NA,2002,7,7,17,3,NA,NA,"","F",97,NA,525733,"Private",0,"Kodiak",18.9,25.2
"172",NA,2002,7,7,17,4,NA,NA,"","M",84,NA,525733,"Private",0,"Kodiak",11.9,15.8
"173",NA,2002,7,7,17,5,NA,NA,"","F",93,NA,525733,"Private",0,"Kodiak",16.5,22
"174",NA,2002,7,7,17,6,NA,NA,"","F",109,NA,525733,"Private",0,"Kodiak",27.6,36.8
"175",NA,2002,7,7,17,7,NA,NA,"","F",150,NA,525731,"Private",0,"Kodiak",77.8,103.4
"176",NA,2002,7,7,17,8,NA,8,"","F",95,NA,525731,"Private",0,"Kodiak",17.7,23.5
"177",NA,2002,7,7,17,9,NA,6,"","F",91,NA,525731,"Private",0,"Kodiak",15.4,20.5
"178",NA,2002,7,7,17,10,NA,8,"","F",91,NA,525731,"Private",0,"Kodiak",15.4,20.5
"179",NA,2002,7,7,17,11,NA,NA,"I","F",82,NA,525731,"Private",0,"Kodiak",11,14.6
"180",NA,2002,7,7,17,12,NA,NA,"I","M",79,NA,525731,"Private",0,"Kodiak",9.7,13
"181",NA,2002,7,8,18,1,NA,NA,"I","F",98,NA,525731,"Private",0,"Kodiak",19.6,26
"182",NA,2002,7,8,18,2,NA,15,"","F",144,NA,525731,"Private",0,"Kodiak",68.1,90.6
"183",NA,2002,7,8,18,3,NA,NA,"","F",88,NA,525731,"Private",0,"Kodiak",13.8,18.4
"184",NA,2002,7,8,18,4,NA,NA,"","F",96,NA,525733,"Private",0,"Kodiak",18.3,24.4
"185",NA,2002,7,8,18,5,NA,NA,"","M",83,NA,525733,"Private",0,"Kodiak",11.4,15.2
"186",NA,2002,7,8,18,6,NA,8,"","F",86,NA,525733,"Private",0,"Kodiak",12.8,17.1
"187",NA,2002,7,8,18,7,NA,NA,"","F",107,NA,525733,"Private",0,"Kodiak",26,34.6
"188",NA,2002,7,8,18,8,NA,NA,"","F",114,NA,525733,"Private",0,"Kodiak",32,42.5
"189",NA,2002,7,13,19,1,NA,8,"","F",99,NA,525731,"Charter",0,"Kodiak",20.2,26.9
"190",NA,2002,7,13,19,2,NA,9,"","F",87,NA,525731,"Charter",0,"Kodiak",13.3,17.7
"191",NA,2002,7,13,19,3,NA,15,"","F",119,NA,525731,"Charter",0,"Kodiak",36.7,48.8
"192",NA,2002,7,13,19,4,NA,9,"","F",86,NA,525731,"Charter",0,"Kodiak",12.8,17.1
"193",NA,2002,7,13,19,5,NA,19,"","M",97,NA,525731,"Charter",0,"Kodiak",18.9,25.2
"194",NA,2002,7,13,19,6,NA,14,"","F",151,NA,525731,"Charter",0,"Kodiak",79.4,105.7
"195",NA,2002,7,13,19,7,NA,16,"","F",170,NA,525731,"Charter",0,"Kodiak",116.6,155.1
"196",NA,2002,7,13,19,8,NA,8,"","F",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
"197",NA,2002,7,14,20,1,NA,5,"","F",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
"198",NA,2002,7,14,20,2,NA,6,"","F",74,NA,525733,"Charter",0,"Kodiak",7.9,10.5
"199",NA,2002,7,14,20,3,NA,7,"","F",74,NA,525733,"Private",0,"Kodiak",7.9,10.5
"200",NA,2002,7,14,20,4,NA,5,"","F",78,NA,525733,"Private",0,"Kodiak",9.3,12.4
"201",NA,2002,7,14,20,5,NA,NA,"","F",80,NA,525733,"Private",0,"Kodiak",10.1,13.5
"202",NA,2002,7,14,20,6,NA,NA,"","F",111,NA,525733,"Private",0,"Kodiak",29.3,39
"203",NA,2002,7,14,20,7,NA,5,"","F",70,NA,525733,"Charter",0,"Kodiak",6.6,8.8
"204",NA,2002,7,14,20,8,NA,8,"","F",96,NA,525731,"Charter",0,"Kodiak",18.3,24.4
"205",NA,2002,7,14,20,9,NA,8,"","F",95,NA,525731,"Charter",0,"Kodiak",17.7,23.5
"206",NA,2002,7,14,20,10,NA,8,"","F",94,NA,525731,"Charter",0,"Kodiak",17.1,22.7
"207",NA,2002,7,14,20,11,NA,8,"","F",87,NA,525731,"Charter",0,"Kodiak",13.3,17.7
"208",NA,2002,7,14,20,12,NA,5,"","M",67,NA,525731,"Charter",0,"Kodiak",5.7,7.6
"209",NA,2002,7,15,21,1,NA,NA,"","F",114,NA,525731,"Private",0,"Kodiak",32,42.5
"210",NA,2002,7,16,22,1,NA,12,"","F",120,NA,525733,"Charter",0,"Kodiak",37.7,50.2
"211",NA,2002,7,16,22,2,NA,10,"","F",115,NA,525733,"Charter",0,"Kodiak",32.9,43.7
"212",NA,2002,7,16,22,3,NA,15,"","F",125,NA,525733,"Charter",0,"Kodiak",43.1,57.3
"213",NA,2002,7,16,22,4,NA,10,"","F",89,NA,525733,"Charter",0,"Kodiak",14.3,19.1
"214",NA,2002,7,16,22,5,NA,8,"","F",98,NA,525733,"Charter",0,"Kodiak",19.6,26
"215",NA,2002,7,16,22,6,NA,5,"","F",78,NA,525733,"Charter",0,"Kodiak",9.3,12.4
"216",NA,2002,7,16,22,7,NA,10,"","F",114,NA,525733,"Charter",0,"Kodiak",32,42.5
"217",NA,2002,7,16,22,8,NA,15,"","M",110,NA,525733,"Charter",0,"Kodiak",28.5,37.9
"218",NA,2002,7,16,22,9,NA,13,"","F",102,NA,525731,"Private",0,"Kodiak",22.3,29.6
"219",NA,2002,7,16,22,10,NA,5,"","F",73,NA,525731,"Private",0,"Kodiak",7.5,10
"220",NA,2002,7,16,22,11,NA,NA,"","F",149,NA,525731,"Private",0,"Kodiak",76.1,101.2
"221",NA,2002,7,16,22,12,NA,10,"","F",110,NA,525733,"Private",0,"Kodiak",28.5,37.9
"222",NA,2002,7,16,22,13,NA,5,"","F",76,NA,525733,"Private",0,"Kodiak",8.6,11.4
"223",NA,2002,7,16,22,14,NA,NA,"","F",108,NA,525733,"Private",0,"Kodiak",26.8,35.7
"224",NA,2002,7,16,22,15,NA,7,"","F",88,NA,525733,"Private",0,"Kodiak",13.8,18.4
"225",NA,2002,7,16,22,16,NA,NA,"","F",92,NA,525733,"Private",0,"Kodiak",16,21.2
"226",NA,2002,7,16,22,17,NA,NA,"I","F",86,NA,525733,"Private",0,"Kodiak",12.8,17.1
"227",NA,2002,7,16,22,18,NA,14,"","M",89,NA,525733,"Private",0,"Kodiak",14.3,19.1
"228",NA,2002,7,16,22,19,NA,8,"","F",92,NA,525733,"Private",0,"Kodiak",16,21.2
"229",NA,2002,7,17,23,1,NA,6,"","F",77,NA,525731,"Private",0,"Kodiak",9,11.9
"230",NA,2002,7,17,23,2,NA,9,"","M",76,NA,525731,"Private",0,"Kodiak",8.6,11.4
"231",NA,2002,7,17,23,3,NA,NA,"","F",66,NA,525731,"Private",0,"Kodiak",5.4,7.2
"232",NA,2002,7,17,23,4,NA,7,"","F",74,NA,525731,"Private",0,"Kodiak",7.9,10.5
"233",NA,2002,7,17,23,5,NA,NA,"","F",61,NA,525731,"Private",0,"Kodiak",4.2,5.6
"234",NA,2002,7,17,23,6,NA,NA,"","F",81,NA,525733,"Private",0,"Kodiak",10.6,14
"235",NA,2002,7,17,23,7,NA,NA,"","F",80,NA,525733,"Private",0,"Kodiak",10.1,13.5
"236",NA,2002,7,17,23,8,NA,14,"","M",86,NA,525733,"Private",0,"Kodiak",12.8,17.1
"237",NA,2002,7,17,23,9,NA,NA,"","M",81,NA,525733,"Private",0,"Kodiak",10.6,14
"238",NA,2002,7,17,23,10,NA,NA,"I","M",75,NA,525733,"Private",0,"Kodiak",8.2,10.9
"239",NA,2002,7,17,23,11,NA,NA,"","F",76,NA,525733,"Private",0,"Kodiak",8.6,11.4
"240",NA,2002,7,17,23,12,NA,NA,"","M",84,NA,525733,"Private",0,"Kodiak",11.9,15.8
"241",NA,2002,7,17,23,13,NA,NA,"","F",112,NA,525733,"Private",0,"Kodiak",30.2,40.1
"242",NA,2002,7,17,23,14,NA,NA,"","F",84,NA,525733,"Private",0,"Kodiak",11.9,15.8
"243",NA,2002,7,17,23,15,NA,NA,"","M",96,NA,525733,"Private",0,"Kodiak",18.3,24.4
"244",NA,2002,7,17,23,16,NA,NA,"","F",164,NA,525733,"Private",0,"Kodiak",103.8,138.1
"245",NA,2002,7,17,23,17,NA,NA,"","F",92,NA,525733,"Private",0,"Kodiak",16,21.2
"246",NA,2002,7,17,23,18,NA,NA,"","F",147,NA,525733,"Private",0,"Kodiak",72.8,96.9
"247",NA,2002,7,17,23,19,NA,NA,"","F",98,NA,525733,"Private",0,"Kodiak",19.6,26
"248",NA,2002,7,17,23,20,NA,NA,"I","F",103,NA,525733,"Private",0,"Kodiak",23,30.6
"249",NA,2002,7,17,23,21,NA,NA,"","M",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
"250",NA,2002,7,17,23,22,NA,NA,"","M",87,NA,525733,"Private",0,"Kodiak",13.3,17.7
