"","Index","Area_name","Year","DATE","WK","WD","Site","snum","SPECIES","Dock","ID","day_type","LITHCODE","LINE","LENGTH","CATAREA","CHAR_NON"
"32",32,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,14,1115,47,2
"33",33,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,15,750,47,2
"34",34,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,16,815,47,2
"35",35,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,17,940,55,2
"36",36,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,18,865,53,2
"37",37,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,19,1100,53,2
"38",38,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14807,20,1375,53,2
"39",39,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,1,865,53,2
"40",40,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,2,955,53,2
"41",41,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,3,740,47,2
"42",42,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,4,870,45,2
"43",43,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,5,1340,47,2
"44",44,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,6,1155,61,2
"45",45,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,7,1345,55,2
"46",46,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,8,1420,55,2
"47",47,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,9,1255,55,2
"48",48,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,10,1035,55,2
"49",49,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,11,1150,61,2
"50",50,"Elfin Cove",2008,2008-05-19,21,2,"G",82,200,19,1,"C",14808,12,1135,61,2
"51",51,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,1,780,55,2
"52",52,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,2,885,55,2
"53",53,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,3,820,55,2
"54",54,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,4,875,55,2
"55",55,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,5,770,55,2
"56",56,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,6,840,55,2
"57",57,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,7,765,55,2
"58",58,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,8,825,55,2
"59",59,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,9,1100,55,2
"60",60,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,10,990,53,2
"61",61,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,11,910,53,2
"62",62,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,12,810,53,2
"63",63,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,13,835,53,2
"64",64,"Elfin Cove",2008,2008-05-23,21,2,"G",82,200,19,1,"A",14810,14,1080,53,2
"65",65,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,1,915,29,2
"66",66,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,2,790,53,2
"67",67,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,3,1140,53,2
"68",68,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,4,755,53,2
"69",69,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,5,1140,53,2
"70",70,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,6,1105,53,2
"71",71,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,7,1120,53,2
"72",72,"Elfin Cove",2008,2008-05-26,22,2,"G",82,200,19,1,"A",14815,8,1505,53,2
"73",73,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,1,1190,55,2
"74",74,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,2,810,55,2
"75",75,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,3,815,55,2
"76",76,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,4,780,55,2
"77",77,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,5,855,53,2
"78",78,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,6,985,53,2
"79",79,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,7,800,55,2
"80",80,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,8,775,55,2
"81",81,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,9,740,55,2
"82",82,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,10,755,55,2
"83",83,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,11,1205,55,2
"84",84,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,12,945,46,2
"85",85,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,13,795,55,2
"86",86,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,14,975,46,2
"87",87,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,15,750,55,2
"88",88,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,16,845,55,2
"89",89,"Elfin Cove",2008,2008-05-30,22,2,"G",82,200,19,1,"C",14819,17,750,55,2
"90",90,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,1,905,55,2
"91",91,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,2,840,55,2
"92",92,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,3,825,55,2
"93",93,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,4,845,55,2
"94",94,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,5,835,53,2
"95",95,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,6,845,53,2
"96",96,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,7,770,53,2
"97",97,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,8,845,53,2
"98",98,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,9,1370,55,2
"99",99,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,10,1340,55,2
"100",100,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,11,1075,55,2
"101",101,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,12,1225,61,2
"102",102,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,13,835,61,2
"103",103,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,14,700,61,2
"104",104,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,15,970,61,2
"105",105,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,16,745,61,2
"106",106,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,17,835,55,2
"107",107,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,18,935,55,2
"108",108,"Elfin Cove",2008,2008-06-01,23,1,"G",82,200,19,1,"A",4102,19,1160,55,2
"109",109,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,1,640,55,2
"110",110,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,2,810,55,2
"111",111,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,3,750,55,2
"112",112,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,4,805,55,2
"113",113,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,5,765,55,2
"114",114,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,6,745,52,2
"115",115,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,7,1230,47,2
"116",116,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,8,1350,47,2
"117",117,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,9,1360,47,2
"118",118,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,10,1415,47,2
"119",119,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,11,1305,47,2
"120",120,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,12,1445,47,2
"121",121,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,13,1060,NA,2
"122",122,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,14,1585,56,2
"123",123,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,15,1250,56,2
"124",124,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,16,1135,56,2
"125",125,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,17,1485,46,2
"126",126,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,18,1525,46,2
"127",127,"Elfin Cove",2008,2008-06-08,24,1,"G",82,200,19,1,"C",14831,19,1165,46,2
"128",128,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,1,900,61,2
"129",129,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,2,695,61,2
"130",130,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,3,1220,61,2
"131",131,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,4,895,61,2
"132",132,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,5,1175,61,2
"133",133,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,6,805,61,2
"134",134,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,7,655,61,2
"135",135,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,8,760,61,2
"136",136,"Elfin Cove",2008,2008-06-12,24,2,"G",82,200,19,1,"C",14835,9,1375,53,2
"137",137,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,1,1205,53,2
"138",138,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,2,710,55,2
"139",139,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,3,865,55,2
"140",140,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,4,1700,55,2
"141",141,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,5,1630,55,2
"142",142,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,6,830,55,2
"143",143,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,7,800,55,2
"144",144,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,8,820,55,2
"145",145,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,9,755,55,2
"146",146,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,10,855,55,2
"147",147,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,11,795,55,2
"148",148,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,12,965,55,2
"149",149,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,13,765,55,1
"150",150,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,14,995,55,1
"151",151,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,15,790,55,1
"152",152,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,16,695,55,1
"153",153,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,17,730,55,1
"154",154,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,18,830,55,1
"155",155,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,19,795,55,1
"156",156,"Elfin Cove",2008,2008-06-14,25,1,"G",82,200,19,1,"A",14836,20,750,55,1
"157",157,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,1,885,47,2
"158",158,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,2,1105,47,2
"159",159,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,3,850,47,2
"160",160,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,4,1195,47,2
"161",161,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,5,1085,47,2
"162",162,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,6,1455,47,2
"163",163,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,7,1400,47,2
"164",164,"Elfin Cove",2008,2008-06-16,12,1,"G",82,200,19,1,"A",14838,8,1355,47,2
"165",165,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,1,840,55,2
"166",166,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,2,720,55,2
"167",167,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,3,815,55,2
"168",168,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,4,815,55,2
"169",169,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,5,790,55,2
"170",170,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,6,850,55,2
"171",171,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,7,695,55,2
"172",172,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,8,715,55,2
"173",173,"Elfin Cove",2008,2008-06-19,25,2,"G",82,200,19,1,"A",14842,9,1480,55,2
"174",174,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,1,1260,47,2
"175",175,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,2,1395,47,2
"176",176,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,3,1725,47,2
"177",177,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,4,1240,47,2
"178",178,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,5,1350,47,2
"179",179,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,6,1680,47,2
"180",180,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,7,1280,53,2
"181",181,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,8,1430,53,2
"182",182,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,9,1445,53,2
"183",183,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,10,1155,53,2
"184",184,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,11,1220,53,2
"185",185,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,12,1360,53,2
"186",186,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,13,970,46,2
"187",187,"Elfin Cove",2008,2008-06-21,26,1,"G",82,200,19,1,"C",14845,14,1665,53,2
"188",188,"Elfin Cove",2008,2008-06-22,26,1,"G",82,200,19,1,"A",14847,1,1020,53,2
"189",189,"Elfin Cove",2008,2008-06-22,26,1,"G",82,200,19,1,"A",14847,2,975,53,2
"190",190,"Elfin Cove",2008,2008-06-22,26,1,"G",82,200,19,1,"A",14847,3,770,55,2
"191",191,"Elfin Cove",2008,2008-06-22,26,1,"G",82,200,19,1,"A",14847,4,1490,53,2
"192",192,"Elfin Cove",2008,2008-06-22,26,1,"G",82,200,19,1,"A",14847,5,1390,53,2
"193",193,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,1,810,53,2
"194",194,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,2,1175,61,2
"195",195,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,3,1950,47,2
"196",196,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,4,1445,47,2
"197",197,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,5,1090,47,2
"198",198,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,6,1325,47,2
"199",199,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,7,1180,47,2
"200",200,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,8,1155,47,2
"201",201,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,9,1665,61,2
"202",202,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,10,1580,61,2
"203",203,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,11,1185,61,2
"204",204,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,12,1520,61,2
"205",205,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,13,1205,61,2
"206",206,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,14,1120,61,2
"207",207,"Elfin Cove",2008,2008-06-29,26,2,"G",82,200,19,1,"A",14855,15,1265,61,2
"208",208,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,1,1060,53,2
"209",209,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,2,1150,53,2
"210",210,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,3,1065,53,2
"211",211,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,4,1205,53,2
"212",212,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,5,1505,53,2
"213",213,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,6,1115,53,2
"214",214,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,7,1315,53,2
"215",215,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,8,1365,53,2
"216",216,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,9,1305,53,2
"217",217,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,10,1340,53,2
"218",218,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,11,885,46,2
"219",219,"Elfin Cove",2008,2008-07-02,27,2,"G",82,200,19,1,"A",14856,12,855,46,2
"220",220,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,1,775,53,1
"221",221,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,2,1505,53,1
"222",222,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,3,780,53,2
"223",223,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,4,770,53,2
"224",224,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,5,755,53,2
"225",225,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,6,955,53,2
"226",226,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,7,1150,53,2
"227",227,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,8,1020,28,1
"228",228,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,9,1165,28,1
"229",229,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,10,845,28,1
"230",230,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,11,710,28,1
"231",231,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,12,840,28,1
"232",232,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,13,695,28,1
"233",233,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,14,900,28,1
"234",234,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,15,670,28,1
"235",235,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,16,715,28,1
"236",236,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,17,1305,28,1
"237",237,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,18,1310,28,1
"238",238,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,19,760,53,1
"239",239,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14858,20,1250,53,1
"240",240,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14859,1,795,53,1
"241",241,"Elfin Cove",2008,2008-07-03,27,2,"G",82,200,19,1,"C",14859,2,1360,53,1
"242",242,"Elfin Cove",2008,2008-07-04,27,2,"G",82,200,19,1,"C",14860,1,1475,28,1
"243",243,"Elfin Cove",2008,2008-07-04,27,2,"G",82,200,19,1,"C",14860,2,1400,28,1
"244",244,"Elfin Cove",2008,2008-07-04,27,2,"G",82,200,19,1,"C",14860,3,1265,28,1
"245",245,"Elfin Cove",2008,2008-07-04,27,2,"G",82,200,19,1,"C",14860,4,765,28,1
"246",246,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,1,1265,53,2
"247",247,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,2,1465,53,2
"248",248,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,3,1360,53,2
"249",249,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,4,1155,53,2
"250",250,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,5,1650,53,2
"251",251,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,6,1320,46,2
"252",252,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,7,1435,53,2
"253",253,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,8,1270,53,2
"254",254,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,9,875,53,2
"255",255,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,10,1115,53,2
"256",256,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,11,1355,53,2
"257",257,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,12,1215,53,2
"258",258,"Elfin Cove",2008,2008-07-05,28,1,"G",82,200,19,1,"A",14861,13,1070,53,2
