"PORT","SUB","SP","DATE","PAGE","LINE","SEX","LENGTH","WEIGHT","AGE","AGE2","AGECONF","AGEERR","ADU OTO AGE","USER","BOATNAME","STATAREA","COMMENTS","DELETE","YEAR","MONTH","DAY"
"Homer",,130,2018-07-17,10,1,"F",122,,17,,"2",,16,"C","BEAR FORCE I",515903,,,2018,7,17
"Homer",,130,2018-07-20,11,1,"M",96,,13,,"2",,14,"C","RED RYDER",515901,,,2018,7,20
"Homer",,130,2018-07-20,11,2,"F",,16.5,19,,"2",,,"P","P6",525837,"NO LENGTH - BODY CHOPPED UP BEFORE I COULD MEASURE",,2018,7,20
"Homer",,130,2018-07-21,12,1,"F",120,,16,,"2",,16,"C","MISS PATIENCE",515903,,,2018,7,21
"Homer",,130,2018-07-21,12,2,"M",93,,11,11,"2",,14,"C","OUTER COAST",515906,,,2018,7,21
"Homer",,130,2018-07-22,13,1,"M",89,10,11,11,"2",,11,"P","P1",515904,,,2018,7,22
"Homer",,130,2018-07-22,13,2,"F",114,15,14,14,"2",,14,"P","P1",515904,,,2018,7,22
"Homer",,130,2018-07-22,13,3,"M",93,,12,,"2",,12,"P","P1",515904,,,2018,7,22
"Homer",,130,2018-07-22,13,4,"F",135,25.5,20,,"2",,22,"P","P1",515904,,,2018,7,22
"Homer",,130,2018-07-25,14,1,"M",78,,6,,"2",,5,"P","P6",525834,"KINGPIN PRIVATE OVERNIGHT TRIP",,2018,7,25
"Homer",,130,2018-07-25,14,2,"F",102,,11,,"2",,5,"P","P6",525834,"ONLY 1 OTO; KINGPIN PRIVATE OVERNIGHT TRIP",,2018,7,25
"Homer",,130,2018-07-25,14,3,"M",101,,21,,"1",,20,"P","P6",525834,"KINGPIN PRIVATE OVERNIGHT TRIP",,2018,7,25
"Homer",,130,2018-07-25,14,4,"",65,,4,,"2",,3,"P","P6",525834,"KINGPIN PRIVATE OVERNIGHT TRIP",,2018,7,25
"Homer",,130,2018-07-25,14,5,"M",87,,6,,"2",,6,"P","P6",525834,"KINGPIN PRIVATE OVERNIGHT TRIP",,2018,7,25
"Homer",,130,2018-07-25,14,6,"F",117,,14,,"2",,13,"P","P6",525834,"ONLY 1 OTO; KINGPIN PRIVATE OVERNIGHT TRIP",,2018,7,25
"Homer",,130,2018-07-26,15,1,"F",84,,6,7,"2",,7,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,26
"Homer",,130,2018-07-26,15,2,"F",126,,13,,"2",,14,"C","CASINO",525834,,,2018,7,26
"Homer",,130,2018-07-26,15,3,"F",124,,15,,"2",,17,"C","CASINO",525834,,,2018,7,26
"Homer",,130,2018-07-26,15,4,"F",83,,6,,"2",,5,"C","CASINO",525834,,,2018,7,26
"Homer",,130,2018-07-26,15,5,"F",112,,15,,"2",,15,"C","CASINO",525834,,,2018,7,26
"Homer",,130,2018-07-26,15,6,"F",121,,18,,"2",,17,"C","CASINO",525834,"ONLY 1 OTO",,2018,7,26
"Homer",,130,2018-07-26,15,7,"F",123,,16,17,"2",,18,"C","CASINO",525834,,,2018,7,26
"Homer",,130,2018-07-26,15,8,"F",114,,12,,"2",,14,"C","CASINO",525834,,,2018,7,26
"Homer",,130,2018-07-26,15,9,"F",120,,15,,"2",,15,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,10,"F",109,,13,,"2",,13,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,11,"F",106,,13,,"2",,13,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,12,"F",106,,13,,"2",,13,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,13,"F",123,,17,17,"2",,17,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,14,"F",69,,4,,"2",,4,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,15,"F",87,,6,,"2",,7,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,16,"F",108,,13,,"2",,13,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,17,"F",119,,15,,"2",,13,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,18,"F",89,,6,,"2",,5,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,19,"F",118,,18,,"1",,20,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,20,"F",108,,13,,"2",,13,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,21,"F",91,,6,6,"2",,5,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,22,"F",107,,13,13,"2",,15,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,23,"M",75,,6,,"2",,,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-26,15,24,"M",94,,14,,"2",,13,"C","CASINO",525834,"SAMPLED BY MARTIN SCHUSTER",,2018,7,26
"Homer",,130,2018-07-30,16,1,"",133,27,21,,"2",,21,"C","POGO",515901,"ONLY 1 OTO; CONTACT TIM FROM OMER OCEAN CHARTERS TO LET HIM KNOW THE AGE OF THE LINGCOD",,2018,7,30
"Homer",,130,2018-07-30,16,2,"",123,,21,,"2",,21,"C","MISTY",515905,,,2018,7,30
"Homer",,130,2018-07-30,16,3,"",105,13,9,,"2",,,"C","IRISH MIST",515903,"NO OTO",,2018,7,30
"Homer",,130,2018-08-04,17,1,"F",119,19,14,,"2",,15,"P","P1",515905,,,2018,8,4
"Homer",,130,2018-08-04,17,2,"M",103,13,18,,"2",,20,"P","P1",515905,,,2018,8,4
"Homer",,130,2018-08-04,17,3,"F",90,6,6,,"1",,7,"P","P1",515905,,,2018,8,4
"Homer",,130,2018-08-04,17,4,"F",122,20,16,,"2",,19,"P","P1",515905,"ONLY 1 OTO",,2018,8,4
"Homer",,130,2018-08-07,19,1,"F",97,,8,,"2",,7,"C","SEA PREDATOR",515831,,,2018,8,7
"Homer",,130,2018-08-07,19,2,"F",120,17.5,19,,"2",,21,"C","SEA PREDATOR",515831,"ONLY 1 OTO",,2018,8,7
"Homer",,130,2018-08-07,19,3,"F",112,,13,,"2",,14,"C","SEA PREDATOR",515831,,,2018,8,7
"Homer",,130,2018-08-07,19,4,"F",116,,19,,"2",,17,"C","SEA PREDATOR",515831,,,2018,8,7
"Homer",,130,2018-08-07,19,5,"F",119,,17,,"2",,16,"C","SEA PREDATOR",515831,"ONLY 1 OTO",,2018,8,7
"Homer",,130,2018-08-11,20,1,"F",90,6,5,,"2",,,"P","P1",515905,"NO OTO - SHATTERED WHEN CUTTING THROUGH THE HEAD",,2018,8,11
"Homer",,130,2018-08-11,20,2,"",124,,20,,"2",,19,"C","RED RYDER",515903,"COLLECTED 4TH-8TH FIN RAY BUT POSTERIOR FIN WAS ALREADY CUT IN BETWEEN THOSE RAYS TO MARK WHICH CUSTOMER THE FISH BELONGED TO ON THE BOAT",,2018,8,11
"Homer",,130,2018-08-16,21,1,"F",94,,8,8,"2",,7,"C","COLLEGE FUND",515905,,,2018,8,16
"Homer",,130,2018-08-17,22,1,"",90,6,6,,"2",,7,"P","P5",515905,,,2018,8,17
"Homer",,130,2018-08-17,22,2,"F",90,6.5,6,,"2",,7,"P","P5",515905,"1 BROKEN OTO",,2018,8,17
"Homer",,130,2018-08-17,22,3,"F",95,10,13,,"2",,13,"P","P5",515905,,,2018,8,17
"Homer",,130,2018-08-20,23,1,"M",94,,14,,"2",,14,"C","BEAR FORCE II",515905,,,2018,8,20
"Homer",,130,2018-08-21,24,1,"F",91,,,,,,,"P","P1",515832,"JACKPOT PRIVATE TRIP - THE BOAT DROPPED PEOPLE OFF ON AN ISLAND AND FISHED ON THE WAY BACK",,2018,8,21
"Homer",,130,2018-09-01,25,1,"",107,,11,,"2",,12,"C","RED RYDER",515903,"ONLY 1 OTO",,2018,9,1
"Homer",,130,2018-09-04,26,1,"F",106,,12,,"2",,,"C","FRINGE BENEFIT",515832,"ONLY 1 OTO",,2018,9,4
"Homer",,130,2018-09-04,26,2,"F",121,,16,,"2",,18,"C","FRINGE BENEFIT",515832,,,2018,9,4
"Homer",,130,2018-09-05,27,1,"F",109,15,13,,"2",,13,"P","P1",515903,"OVERNIGHT TRIP",,2018,9,5
"Homer",,130,2018-09-05,27,2,"M",98,10.5,,,,,,"P","P1",515903,"OVERNIGHT TRIP; BROKEN OTOS; NO FIN - TOO MANGLED TO DISTINGUISH RAYS",,2018,9,5
"Homer",,130,2018-09-05,27,3,"M",93,10,19,,"2",,18,"P","P1",515903,"OVERNIGHT TRIP",,2018,9,5
"Homer",,130,2018-09-05,27,4,"F",110,14.5,14,14,"2",,,"P","P1",515903,"OVERNIGHT TRIP; ONLY 1 OTO",,2018,9,5
"Homer",,130,2018-09-05,27,5,"F",96,9,8,8,"2",,9,"P","P1",515903,"OVERNIGHT TRIP",,2018,9,5
"Homer",,130,2018-09-05,27,6,"F",128,23,21,,"2",,21,"P","P1",515903,"OVERNIGHT TRIP",,2018,9,5
"Homer",,130,2018-09-05,27,7,"M",90,8,14,14,"2",,12,"P","P1",515903,"OVERNIGHT TRIP",,2018,9,5
"Homer",,130,2018-09-05,27,8,"M",98,11,20,,"1",,21,"P","P1",515903,"OVERNIGHT TRIP",,2018,9,5
"Kodiak",,130,2018-07-01,1,1,"M",67,2.5,5,5,"2",,,"P","P2",525732,"RAY 4-7",,2018,7,1
"Kodiak",,130,2018-07-01,1,2,"F",69,3,4,,"2",,,"P","P2",525732,"RAY 4-7",,2018,7,1
"Kodiak",,130,2018-07-02,2,1,"M",63,,4,,"2",,4,"P","P1",525733,"NO WEIGHT",,2018,7,2
"Kodiak",,130,2018-07-02,2,2,"M",65,,4,,"2",,4,"P","P1",525733,"NO WEIGHT",,2018,7,2
"Kodiak",,130,2018-07-02,2,3,"F",84,5.5,6,,"2",,5,"C","DEBRA KAY",525805,,,2018,7,2
"Kodiak",,130,2018-07-02,2,4,"F",72,3.4,4,4,"2",,3,"C","DEBRA KAY",525805,,,2018,7,2
"Kodiak",,130,2018-07-02,2,5,"F",78,4.4,4,4,"2",,5,"C","DEBRA KAY",525805,,,2018,7,2
"Kodiak",,130,2018-07-02,2,6,"F",65,2.6,4,4,"2",,3,"C","DEBRA KAY",525805,,,2018,7,2
"Kodiak",,130,2018-07-02,2,7,"M",91,7.5,12,15,"1",,14,"C","DEBRA KAY",525805,,,2018,7,2
"Kodiak",,130,2018-07-02,2,8,"M",78,4.5,6,,"2",,6,"C","DEBRA KAY",525805,,,2018,7,2
"Kodiak",,130,2018-07-02,2,9,"M",86,6.5,12,,"2",,15,"P","P3",525733,"WITH OTO",,2018,7,2
"Kodiak",,130,2018-07-02,2,10,"M",84,6,9,,"2",,8,"P","P3",525733,"WITH OTO",,2018,7,2
"Kodiak",,130,2018-07-02,2,11,"M",78,4.5,8,,"2",,8,"P","P3",525733,"WITH OTO",,2018,7,2
"Kodiak",,130,2018-07-02,2,12,"M",91,8.5,14,,"2",,16,"P","P3",525733,"WITH OTO",,2018,7,2
"Kodiak",,130,2018-07-02,2,13,"M",74,3.5,6,,"2",,6,"P","P3",525733,"WITH OTO",,2018,7,2
"Kodiak",,130,2018-07-02,2,14,"M",73,4,6,,"2",,6,"P","P3",525733,"WITH OTO",,2018,7,2
"Kodiak",,130,2018-07-03,3,1,"",65,,4,,"2",,6,"P","P1",525733,"NO WEIGHT",,2018,7,3
"Kodiak",,130,2018-07-04,4,1,"F",118,,14,,"2",,12,"P","P1",525733,"NO WEIGHT",,2018,7,4
"Kodiak",,130,2018-07-04,4,2,"M",99,,18,,"1",,21,"P","P4",525733,"NO WEIGHT",,2018,7,4
"Kodiak",,130,2018-07-10,5,1,"F",66,2.8,4,,"2",,5,"C","DEBRA KAY",525733,"WITH OTO",,2018,7,10
"Kodiak",,130,2018-07-10,5,2,"M",87,7,13,13,"2",,14,"C","DEBRA KAY",525733,"WITH OTO",,2018,7,10
"Kodiak",,130,2018-07-10,5,3,"M",76,4.4,6,6,"2",,8,"C","DEBRA KAY",525733,"WITH OTO",,2018,7,10
"Kodiak",,130,2018-07-10,5,4,"M",85,6,13,13,"1",,13,"C","DEBRA KAY",525733,"WITH OTO",,2018,7,10
"Kodiak",,130,2018-07-10,5,5,"M",97,8.5,14,15,"1",,18,"C","DEBRA KAY",525733,"WITH OTO",,2018,7,10
"Kodiak",,130,2018-07-10,5,6,"M",77,4.8,6,,"2",,4,"C","DEBRA KAY",525733,"WITH OTO",,2018,7,10
"Kodiak",,130,2018-07-10,5,7,"M",78,4.9,6,,"2",,7,"C","DEBRA KAY",525733,"WITH OTO",,2018,7,10
"Kodiak",,130,2018-07-11,6,1,"M",73,4.1,6,,"2",,7,"P","P2",525733,"WITH OTO",,2018,7,11
"Kodiak",,130,2018-07-12,7,1,"F",86,4.7,4,,"2",,5,"P","P1",525732,"WITH OTO",,2018,7,12
"Kodiak",,130,2018-07-15,8,1,"M",63,2.7,4,,"2",,4,"P","P1",525733,"WITH OTO",,2018,7,15
"Kodiak",,130,2018-07-17,9,1,"M",86,6.8,11,,"2",,,"P","P1",525733,"NO OTO",,2018,7,17
"Kodiak",,130,2018-07-17,9,2,"F",83,5.4,6,,"2",,6,"P","P2",525733,"WITH OTO",,2018,7,17
"Kodiak",,130,2018-07-17,9,3,"F",68,,4,,"2",,3,"P","P2",525733,"NO WEIGHT, WITH OTO",,2018,7,17
"Kodiak",,130,2018-07-17,9,4,"M",79,5.1,6,,"2",,6,"P","P2",525733,"WITH OTO",,2018,7,17
"Kodiak",,130,2018-07-17,9,5,"M",64,2.7,4,4,"2",,4,"P","P2",525733,"WITH OTO",,2018,7,17
"Kodiak",,130,2018-07-17,9,6,"M",100,10,16,,"1",,18,"P","P2",525733,"WITH OTO",,2018,7,17
"Kodiak",,130,2018-07-21,10,1,"M",63,2.4,4,,"2",,,"C","DEBRA KAY",525731,"NO OTO",,2018,7,21
"Kodiak",,130,2018-07-28,11,1,"M",62,2.4,4,,"2",,,"C","FISH HAWK",525731,"NO OTO",,2018,7,28
"Kodiak",,130,2018-07-28,11,2,"M",95,9,14,,"2",,14,"C","LUCKY NINE",525733,"WITH OTO",,2018,7,28
"Kodiak",,130,2018-07-28,11,3,"M",92,8,14,,"2",,14,"C","LUCKY NINE",525733,"WITH OTO",,2018,7,28
"Kodiak",,130,2018-08-16,17,1,"M",69,3.3,4,4,"2",,,"P","P2",525732,"NO OTO",,2018,8,16
"Kodiak",,130,2018-08-16,17,2,"M",68,,4,4,"2",,3,"P","P5",525733,"NO WEIGHT, WITH OTO",,2018,8,16
"Kodiak",,130,2018-08-17,18,1,"M",63,,4,4,"2",,4,"P","P1",525733,"NO WEIGHT, WITH OTO",,2018,8,17
"Kodiak",,130,2018-08-17,18,2,"M",63,,4,,"2",,3,"P","P1",525733,"NO WEIGHT, WITH OTO",,2018,8,17
"Kodiak",,130,2018-08-17,18,3,"F",69,3.5,4,,"2",,4,"P","P1",525733,"WITH OTO",,2018,8,17
"Kodiak",,130,2018-08-17,18,4,"M",46,1,2,,"2",,,"P","P3",525733,"NO OTO",,2018,8,17
"Kodiak",,130,2018-08-17,18,5,"M",89,7.3,13,,"2",,12,"P","P4",525731,"WITH OTO",,2018,8,17
"Kodiak",,130,2018-08-20,19,1,"M",77,4.8,6,6,"2",,6,"C","SHEARWATER",525731,"WITH OTO",,2018,8,20
"Kodiak",,130,2018-08-20,19,2,"M",75,4.7,6,,"2",,6,"C","SHEARWATER",525731,"WITH OTO",,2018,8,20
"Kodiak",,130,2018-08-20,19,3,"F",123,22,15,,"2",,18,"C","SHEARWATER",525731,"WITH OTO",,2018,8,20
"Kodiak",,130,2018-08-20,19,4,"M",95,8.7,15,,"2",,12,"C","SHEARWATER",525731,"WITH OTO",,2018,8,20
"Kodiak",,130,2018-08-21,20,1,"F",44,1,2,2,"1",,,"P","P3",525733,"NO OTO",,2018,8,21
"Kodiak",,130,2018-08-21,20,2,"M",88,,12,,"2",,14,"P","P5",525731,"NO WEIGHT,WITH OTO",,2018,8,21
"Kodiak",,130,2018-08-21,20,3,"M",91,8.5,13,,"2",,13,"P","P5",525731,"WITH OTO",,2018,8,21
"Kodiak",,130,2018-08-21,20,4,"M",86,6.4,13,,"2",,12,"P","P5",525731,"WITH OTO",,2018,8,21
"Kodiak",,130,2018-08-21,20,5,"F",73,3.5,4,,"2",,4,"P","P5",525731,"WITH OTO",,2018,8,21
"Kodiak",,130,2018-08-22,21,1,"F",108,,13,13,"2",,13,"P","P4",525731,"NO WEIGHT, WITH OTO",,2018,8,22
"Kodiak",,130,2018-08-23,22,1,"M",72,4.1,6,6,"2",,5,"P","P1",525733,"WITH OTO",,2018,8,23
"Kodiak",,130,2018-08-23,22,2,"M",78,6.8,12,,"2",,8,"P","P1",525733,"WITH OTO",,2018,8,23
"Kodiak",,130,2018-08-27,23,1,"M",78,5.1,10,,"2",,11,"P","P1",525733,"WITH OTO",,2018,8,27
"Kodiak",,130,2018-08-27,23,2,"F",86,6.5,8,,"2",,5,"P","P1",525733,"WITH OTO",,2018,8,27
"Seward",,130,2018-07-02,1,1,"F",107,12.5,13,,"2",,,"C","REVELATION",485932,,,2018,7,2
"Seward",,130,2018-07-02,1,2,"F",112,14,17,,"2",,,"C","REVELATION",485932,,,2018,7,2
"Seward",,130,2018-07-02,1,3,"F",122,20.5,19,,"2",,,"C","REVELATION",485932,,,2018,7,2
"Seward",,130,2018-07-02,1,4,"F",101,12,11,,"1",,,"C","REVELATION",485932,,,2018,7,2
"Seward",,130,2018-07-02,1,5,"F",118,20,12,,"2",,,"C","REVELATION",485932,,,2018,7,2
"Seward",,130,2018-07-02,1,6,"",96,8,8,8,"2",,,"C","REVELATION",485932,,,2018,7,2
"Seward",,130,2018-07-03,2,1,"F",98,10,11,,"2",,11,"C","WAY TO GO II",485931,,,2018,7,3
"Seward",,130,2018-07-03,2,2,"M",96,10.5,15,15,"2",,16,"C","RELENTLESS",485932,,,2018,7,3
"Seward",,130,2018-07-03,2,3,"M",92,8.5,13,13,"1",,,"C","RELENTLESS",485932,,,2018,7,3
"Seward",,130,2018-07-03,2,4,"F",108,14,13,,"2",,12,"C","RELENTLESS",485932,,,2018,7,3
"Seward",,130,2018-07-03,2,5,"F",122,17,18,,"1",,,"C","RELENTLESS",485932,,,2018,7,3
"Seward",,130,2018-07-03,2,6,"F",91,,7,,"2",,,"C","RELENTLESS",485932,,,2018,7,3
"Seward",,130,2018-07-03,2,7,"F",93,8,8,,"1",,13,"C","CRACKERJACK",475934,,,2018,7,3
"Seward",,130,2018-07-03,2,8,"F",105,13,11,,"2",,,"C","CRACKERJACK",475934,,,2018,7,3
"Seward",,130,2018-07-03,2,9,"F",116,15.5,15,,"2",,15,"C","CRACKERJACK",475934,,,2018,7,3
"Seward",,130,2018-07-03,2,10,"F",111,12.5,10,,"2",,16,"C","CRACKERJACK",475934,,,2018,7,3
"Seward",,130,2018-07-03,2,11,"F",120,,14,,"2",,,"C","CRACKERJACK",475934,,,2018,7,3
"Seward",,130,2018-07-04,3,1,"F",117,14.5,19,,"2",,,"P","P1",475933,,,2018,7,4
"Seward",,130,2018-07-04,3,2,"F",111,12,14,,"2",,16,"P","P1",475933,,,2018,7,4
"Seward",,130,2018-07-04,3,3,"F",94,8,8,,"2",,7,"P","P5",495938,,,2018,7,4
"Seward",,130,2018-07-04,3,4,"F",118,17.5,13,13,"1",,,"P","P8",475931,,,2018,7,4
"Seward",,130,2018-07-04,3,5,"M",93,,13,13,"2",,,"P","P10",495937,,,2018,7,4
"Seward",,130,2018-07-04,3,6,"M",88,7.5,14,,"2",,14,"P","P10",495937,,,2018,7,4
"Seward",,130,2018-07-04,3,7,"M",89,9,12,12,"2",,14,"P","P10",495937,,,2018,7,4
"Seward",,130,2018-07-04,3,8,"F",97,,8,,"2",,,"P","P10",495937,,,2018,7,4
"Seward",,130,2018-07-07,4,1,"F",110,13.5,18,,"2",,21,"C","ARCTIC CAT",485932,,,2018,7,7
"Seward",,130,2018-07-07,4,2,"F",107,13,11,,"2",,,"C","ARCTIC CAT",485932,,,2018,7,7
"Seward",,130,2018-07-07,4,3,"F",114,16,11,,"2",,,"C","ARCTIC CAT",485932,,,2018,7,7
"Seward",,130,2018-07-07,4,4,"M",89,8.5,16,,"2",,,"C","GOT FISH",475931,,,2018,7,7
"Seward",,130,2018-07-07,4,5,"F",108,12,15,,"2",,,"C","GOT FISH",475931,,,2018,7,7
"Seward",,130,2018-07-07,4,6,"F",102,10.5,13,,"2",,13,"C","GOT FISH",475931,,,2018,7,7
"Seward",,130,2018-07-07,4,7,"F",118,17,15,,"1",,,"C","GOT FISH",475931,,,2018,7,7
"Seward",,130,2018-07-07,4,8,"F",102,12,12,,"2",,14,"C","GOT FISH",475931,"1 OTOLITH",,2018,7,7
"Seward",,130,2018-07-07,4,9,"F",118,,14,14,"2",,18,"C","GOT FISH",475931,"NO WT.",,2018,7,7
"Seward",,130,2018-07-09,5,1,"F",115,14.5,16,,"2",,20,"C","ARCTIC CAT",495934,,,2018,7,9
"Seward",,130,2018-07-09,5,2,"F",118,14.5,18,,"2",,,"C","ARCTIC CAT",495934,,,2018,7,9
"Seward",,130,2018-07-11,6,1,"F",107,14,14,,"2",,14,"P","P1",495932,,,2018,7,11
"Seward",,130,2018-07-12,7,1,"",98,,8,,"2",,,"P","P6",495932,"NO WT. OR SEX (ALREADY GUTTED)",,2018,7,12
"Seward",,130,2018-07-12,7,2,"",90,,13,,"2",,14,"P","P6",495932,"NO WT. OR SEX (ALREADY GUTTED)",,2018,7,12
